,TF,Target,Label
0,491,1263,1
1,491,370,1
2,491,1618,1
3,491,1379,1
4,491,150,1
5,491,708,1
6,491,950,1
7,491,630,1
8,491,1576,1
9,491,420,1
10,1585,690,1
11,1585,1384,1
12,1585,674,1
13,1585,548,1
14,1585,1284,1
15,1585,1488,1
16,1585,1134,1
17,1585,255,1
18,1585,1597,1
19,1585,620,1
20,1585,950,1
21,1585,707,1
22,1585,1414,1
23,1585,1576,1
24,1585,22,1
25,1585,1351,1
26,1585,1,1
27,1585,999,1
28,1585,1299,1
29,1585,1059,1
30,1585,420,1
31,1585,912,1
32,1585,968,1
33,1585,818,1
34,1585,486,1
35,1585,96,1
36,1585,1593,1
37,1585,1427,1
38,1585,510,1
39,1585,704,1
40,1585,1007,1
41,1011,898,1
42,1011,658,1
43,1011,1327,1
44,1011,625,1
45,1011,912,1
46,1011,166,1
47,1011,770,1
48,1011,1303,1
49,1011,1231,1
50,1011,49,1
51,1011,807,1
52,1011,182,1
53,1011,193,1
54,1011,1064,1
55,1011,858,1
56,1011,372,1
57,1011,830,1
58,1011,1319,1
59,1011,1222,1
60,1011,1164,1
61,1011,760,1
62,1011,405,1
63,1011,563,1
64,1011,1534,1
65,1011,865,1
66,1011,224,1
67,1011,332,1
68,1011,584,1
69,1011,587,1
70,1011,1163,1
71,1011,801,1
72,1011,1022,1
73,1011,267,1
74,1011,660,1
75,1011,1230,1
76,1011,1245,1
77,1011,779,1
78,1011,1458,1
79,1011,589,1
80,1011,1387,1
81,1011,1353,1
82,1011,640,1
83,1011,480,1
84,1011,441,1
85,1011,1579,1
86,1011,286,1
87,1011,1488,1
88,1011,276,1
89,1011,1038,1
90,1011,1139,1
91,1011,1251,1
92,1011,44,1
93,1011,114,1
94,1011,342,1
95,1011,467,1
96,1011,716,1
97,1011,1518,1
98,1011,627,1
99,1011,89,1
100,1011,720,1
101,1011,544,1
102,1011,822,1
103,1011,880,1
104,1011,904,1
105,1011,766,1
106,1011,1413,1
107,1011,634,1
108,1011,1484,1
109,1011,1351,1
110,1011,1265,1
111,1011,1152,1
112,1011,1035,1
113,1011,1146,1
114,1011,503,1
115,1011,1212,1
116,1011,1582,1
117,1011,733,1
118,1011,899,1
119,1011,744,1
120,1011,620,1
121,1011,834,1
122,1011,1411,1
123,1011,844,1
124,1011,1360,1
125,1011,751,1
126,1011,194,1
127,1011,705,1
128,1011,805,1
129,1011,132,1
130,1011,172,1
131,1011,965,1
132,1011,475,1
133,1011,293,1
134,1011,706,1
135,1011,551,1
136,1011,1601,1
137,1011,1355,1
138,1011,995,1
139,1011,622,1
140,1011,249,1
141,1011,462,1
142,1011,889,1
143,1011,57,1
144,1011,1183,1
145,1011,41,1
146,1011,264,1
147,1011,922,1
148,1011,851,1
149,1011,1523,1
150,1011,906,1
151,1011,1341,1
152,1011,1145,1
153,1011,548,1
154,1011,1049,1
155,1011,1210,1
156,1011,1405,1
157,1011,1384,1
158,1011,562,1
159,1011,1219,1
160,1011,674,1
161,1011,764,1
162,1011,683,1
163,1011,1576,1
164,1011,269,1
165,1011,79,1
166,1011,549,1
167,1011,1184,1
168,1011,104,1
169,1011,1059,1
170,1011,1396,1
171,1011,1284,1
172,1011,153,1
173,1011,1095,1
174,1011,1442,1
175,1011,1247,1
176,1011,378,1
177,1011,1254,1
178,1011,1536,1
179,1011,1549,1
180,1011,1354,1
181,1011,1243,1
182,1011,1046,1
183,1011,123,1
184,1011,1447,1
185,1011,1490,1
186,1011,1071,1
187,1011,1207,1
188,1011,288,1
189,1011,116,1
190,1011,35,1
191,1011,458,1
192,1011,1073,1
193,1011,1530,1
194,1011,571,1
195,1011,539,1
196,1011,609,1
197,1011,846,1
198,1011,1356,1
199,1011,1493,1
200,1011,600,1
201,1011,1352,1
202,1011,1099,1
203,1011,958,1
204,1011,793,1
205,1011,919,1
206,1011,260,1
207,1011,453,1
208,1011,616,1
209,1011,1611,1
210,1011,216,1
211,1011,754,1
212,1011,806,1
213,1011,1597,1
214,1011,535,1
215,1011,897,1
216,1011,941,1
217,1011,1441,1
218,1011,1295,1
219,1011,529,1
220,1011,1083,1
221,1011,578,1
222,1011,614,1
223,1011,516,1
224,1011,1336,1
225,1011,1044,1
226,1011,1226,1
227,1011,508,1
228,1011,765,1
229,1011,1277,1
230,1011,1541,1
231,1011,1346,1
232,1011,0,1
233,1011,1412,1
234,1011,1516,1
235,1011,1586,1
236,1011,416,1
237,1011,78,1
238,1011,371,1
239,1011,1462,1
240,684,610,1
241,684,808,1
242,684,1046,1
243,684,947,1
244,684,1135,1
245,684,802,1
246,684,795,1
247,684,1523,1
248,684,844,1
249,684,1167,1
250,684,746,1
251,684,820,1
252,684,701,1
253,684,1611,1
254,684,442,1
255,684,38,1
256,684,616,1
257,684,58,1
258,684,1261,1
259,684,747,1
260,684,852,1
261,684,1015,1
262,684,828,1
263,684,1205,1
264,684,405,1
265,684,961,1
266,684,928,1
267,684,1133,1
268,684,514,1
269,684,1295,1
270,684,1276,1
271,684,233,1
272,684,1129,1
273,684,630,1
274,684,1151,1
275,684,1213,1
276,684,1130,1
277,684,798,1
278,684,1045,1
279,684,826,1
280,684,602,1
281,684,1136,1
282,684,464,1
283,684,1153,1
284,684,1346,1
285,684,1333,1
286,684,628,1
287,684,751,1
288,684,144,1
289,684,900,1
290,684,886,1
291,684,767,1
292,684,71,1
293,684,901,1
294,684,916,1
295,684,978,1
296,684,150,1
297,684,1197,1
298,684,627,1
299,684,910,1
300,684,1255,1
301,684,660,1
302,684,52,1
303,684,567,1
304,684,1048,1
305,684,1355,1
306,684,827,1
307,684,153,1
308,684,1077,1
309,684,1098,1
310,684,903,1
311,684,1274,1
312,684,1326,1
313,684,940,1
314,684,994,1
315,684,1173,1
316,684,528,1
317,684,41,1
318,684,706,1
319,684,839,1
320,684,1032,1
321,684,1083,1
322,684,1336,1
323,684,11,1
324,684,1377,1
325,684,1074,1
326,684,942,1
327,684,491,1
328,684,1187,1
329,684,77,1
330,684,349,1
331,684,1597,1
332,684,1070,1
333,684,137,1
334,684,1271,1
335,684,898,1
336,684,320,1
337,684,193,1
338,684,195,1
339,684,726,1
340,684,1207,1
341,684,1335,1
342,684,251,1
343,684,1299,1
344,684,754,1
345,684,249,1
346,684,1125,1
347,684,1165,1
348,684,669,1
349,684,1284,1
350,684,1263,1
351,684,1226,1
352,684,1141,1
353,684,476,1
354,684,1403,1
355,684,1128,1
356,684,666,1
357,684,1443,1
358,684,589,1
359,684,1076,1
360,684,253,1
361,684,1044,1
362,684,256,1
363,684,34,1
364,1514,899,1
365,1514,584,1
366,1514,132,1
367,1514,286,1
368,1514,441,1
369,1514,240,1
370,1514,669,1
371,1514,89,1
372,1514,1046,1
373,1514,35,1
374,1514,420,1
375,1514,1580,1
376,1514,713,1
377,1514,947,1
378,1514,539,1
379,1514,1133,1
380,1514,1381,1
381,1514,571,1
382,1514,411,1
383,1514,437,1
384,1514,1061,1
385,1514,1146,1
386,1200,708,1
387,1200,713,1
388,1200,19,1
389,1200,968,1
390,1200,150,1
391,1200,961,1
392,1200,1255,1
393,1200,311,1
394,1200,420,1
395,1200,1206,1
396,1200,898,1
397,1284,26,1
398,1284,1027,1
399,1284,606,1
400,1284,201,1
401,1284,636,1
402,1284,671,1
403,1284,222,1
404,1284,309,1
405,1284,574,1
406,1284,535,1
407,1284,770,1
408,1284,1481,1
409,1284,488,1
410,1284,707,1
411,1284,899,1
412,1284,605,1
413,1284,396,1
414,1284,844,1
415,1284,743,1
416,1284,1505,1
417,1284,1580,1
418,1284,878,1
419,1284,1212,1
420,1284,714,1
421,1284,264,1
422,1284,17,1
423,1284,995,1
424,1284,1206,1
425,1284,1231,1
426,1284,211,1
427,1284,118,1
428,1284,1325,1
429,1284,1207,1
430,1284,89,1
431,1284,1249,1
432,1284,769,1
433,1284,1336,1
434,1284,1536,1
435,1284,279,1
436,1284,1413,1
437,1284,1210,1
438,1284,1147,1
439,1284,253,1
440,1284,1379,1
441,1284,972,1
442,1284,158,1
443,1284,1243,1
444,1284,203,1
445,1284,1142,1
446,1284,580,1
447,1284,1554,1
448,1284,622,1
449,1284,1530,1
450,1284,1431,1
451,1284,350,1
452,1284,276,1
453,1284,584,1
454,1284,1271,1
455,1284,1445,1
456,1284,901,1
457,1284,1174,1
458,1284,516,1
459,1284,854,1
460,1284,195,1
461,1284,1099,1
462,1284,740,1
463,1284,267,1
464,1284,720,1
465,1284,963,1
466,1284,634,1
467,1284,660,1
468,1284,194,1
469,1284,114,1
470,1284,631,1
471,1284,130,1
472,1284,757,1
473,1284,1403,1
474,1284,1044,1
475,1284,401,1
476,1284,1179,1
477,1284,754,1
478,1284,1443,1
479,1284,373,1
480,1284,1485,1
481,1284,551,1
482,1284,916,1
483,1284,900,1
484,1284,1049,1
485,1284,1076,1
486,1284,1614,1
487,1284,485,1
488,1284,1470,1
489,1284,58,1
490,1284,1043,1
491,1284,52,1
492,1284,261,1
493,1284,694,1
494,1284,1098,1
495,1284,1295,1
496,1284,518,1
497,1284,704,1
498,1284,544,1
499,1284,447,1
500,1284,934,1
501,1284,1567,1
502,1284,857,1
503,1284,1122,1
504,1284,464,1
505,1284,166,1
506,1284,415,1
507,1284,287,1
508,1284,1588,1
509,1284,830,1
510,1284,1203,1
511,1284,1255,1
512,1284,1183,1
513,1284,1165,1
514,1284,652,1
515,1284,1494,1
516,1284,808,1
517,1284,467,1
518,1284,477,1
519,1284,1238,1
520,1284,1278,1
521,1284,579,1
522,1284,475,1
523,1284,822,1
524,1284,68,1
525,1284,1468,1
526,1284,623,1
527,1284,197,1
528,1284,255,1
529,1284,377,1
530,1284,1432,1
531,1284,1442,1
532,1284,275,1
533,1284,560,1
534,1284,905,1
535,1284,1496,1
