,TF,Target,Label
0,1281,735,0
1,459,350,0
2,757,1123,1
3,1207,879,1
4,1197,561,0
5,1018,1285,0
6,805,1133,0
7,409,596,0
8,812,420,1
9,11,797,0
10,757,1530,1
11,1072,1381,1
12,867,1598,0
13,1072,1053,1
14,386,1095,1
15,757,1192,1
16,1011,544,1
17,1281,504,0
18,1207,898,1
19,1207,1088,1
20,66,1008,1
21,1172,521,0
22,1547,962,1
23,722,1127,1
24,940,509,1
25,1284,1174,1
26,1200,311,1
27,1382,362,0
28,386,1465,1
29,246,374,0
30,650,301,0
31,225,264,0
32,812,371,1
33,66,1295,1
34,486,965,1
35,940,407,1
36,422,248,0
37,1178,1428,0
38,990,339,0
39,519,1584,0
40,89,779,1
41,757,755,0
42,1547,128,1
43,948,1137,0
44,1297,473,0
45,1200,479,0
46,467,785,1
47,722,371,1
48,781,1024,0
49,862,237,0
50,1216,50,0
51,722,828,1
52,118,494,1
53,1283,1537,0
54,196,444,0
55,1011,475,1
56,1378,1447,0
57,1197,1035,1
58,757,77,1
59,1547,660,1
60,783,66,0
61,722,1387,1
62,1284,1179,1
63,1502,712,0
64,506,912,1
65,1284,1122,1
66,189,701,1
67,757,1215,1
68,1351,86,0
69,156,1258,0
70,722,1496,1
71,1478,1391,0
72,722,967,1
73,4,331,0
74,1011,1462,1
75,1235,144,0
76,1146,1217,0
77,924,1293,0
78,281,560,0
79,585,842,0
80,699,478,0
81,941,104,0
82,1547,802,1
83,722,579,1
84,757,542,1
85,757,1458,1
86,1050,653,0
87,654,1597,1
88,1284,757,1
89,467,798,1
90,1284,632,1
91,1284,1255,1
92,506,619,1
93,722,132,1
94,136,644,0
95,722,1460,1
96,1451,1408,0
97,506,1219,1
98,244,662,0
99,757,1346,1
100,1072,1576,1
101,545,128,0
102,1017,226,0
103,342,514,0
104,169,1230,0
105,128,218,0
106,297,441,0
107,654,754,1
108,108,398,0
109,799,828,0
110,940,822,1
111,848,1587,0
112,1011,1412,1
113,66,45,1
114,554,272,0
115,984,1141,0
116,160,901,0
117,940,537,1
118,722,1095,1
119,66,81,1
120,707,1057,0
121,669,1033,1
122,1011,1441,1
123,707,380,0
124,940,842,1
125,1284,279,1
126,1547,1256,1
127,1520,1343,0
128,506,172,1
129,722,704,1
130,467,734,1
131,1364,1254,0
132,1122,1497,0
133,940,1282,1
134,164,233,0
135,1315,1357,0
136,729,414,0
137,370,518,1
138,781,1339,0
139,1283,720,0
140,896,724,0
141,967,76,0
142,386,137,1
143,654,257,1
144,64,150,0
145,757,632,1
146,608,805,1
147,661,565,0
148,486,417,0
149,467,1217,1
150,980,192,0
151,361,404,0
152,757,1218,1
153,506,852,1
154,809,1482,0
155,1364,688,0
156,553,531,0
157,577,913,0
158,881,978,0
159,1617,360,0
160,491,864,0
161,757,114,1
162,370,770,1
163,812,367,1
164,889,527,0
165,722,602,1
166,118,336,1
167,1249,1040,0
168,1485,833,0
169,386,563,1
170,83,753,0
171,1368,1032,0
172,757,672,1
173,1011,1541,1
174,66,1344,1
175,669,1035,0
176,324,1461,0
177,785,1049,0
178,753,1149,0
179,594,664,0
180,1284,299,1
181,805,1452,0
182,1011,49,1
183,1011,1059,1
184,118,822,1
185,1398,1511,0
186,1384,1364,0
187,897,1140,0
188,467,1613,1
189,506,1536,1
190,1240,1441,0
191,66,1588,1
192,1160,695,0
193,506,1244,1
194,467,1552,1
195,467,1257,1
196,1011,1549,1
197,1547,888,1
198,940,1558,1
199,749,420,0
200,1285,305,0
201,118,1524,1
202,722,494,1
203,467,1325,1
204,302,1616,0
205,940,1348,1
206,940,510,1
207,883,873,0
208,1118,1150,0
209,757,401,1
210,45,198,0
211,1011,104,1
212,158,320,0
213,940,785,1
214,757,323,1
215,66,449,1
216,1619,1319,0
217,599,819,0
218,1284,99,1
219,550,1071,0
220,196,1250,0
221,722,491,1
222,1489,1175,0
223,757,1603,1
224,1468,1306,0
225,940,1588,1
226,1011,589,1
227,675,1176,0
228,11,1402,0
229,1331,1471,0
230,403,1227,0
231,264,1462,0
232,1284,643,1
233,1072,766,1
234,1501,1584,0
235,722,1260,1
236,1096,323,0
237,1341,283,0
238,812,399,1
239,11,1023,1
240,1197,235,1
241,1331,1203,0
242,1207,897,1
243,722,1576,1
244,1289,1364,0
245,1122,1399,1
246,1222,389,0
247,672,1429,0
248,940,695,1
249,709,302,0
250,460,747,0
251,467,113,1
252,1284,1414,1
253,940,1343,1
254,1564,920,0
255,647,1615,0
256,722,1170,1
257,11,580,1
258,940,898,1
259,1207,919,1
260,79,1216,0
261,1511,171,0
262,1284,1554,1
263,757,579,1
264,673,698,0
265,66,1465,1
266,1011,467,1
267,638,1342,0
268,722,58,1
269,1284,194,1
270,1207,248,1
271,663,1511,0
272,757,328,1
273,386,734,1
274,1284,518,1
275,386,1142,1
276,785,327,0
277,1118,534,0
278,32,792,1
279,1232,406,0
280,478,1265,0
281,729,235,0
282,311,319,0
283,722,526,1
284,1503,1394,0
285,118,897,1
286,757,1027,1
287,46,1253,0
288,1284,1207,1
289,722,1521,1
290,32,1549,1
291,414,394,0
292,567,212,0
293,386,293,1
294,189,254,1
295,1197,1523,1
296,722,747,1
297,669,60,1
298,146,5,0
299,212,145,0
300,886,758,0
301,1247,1355,0
302,663,878,0
303,450,1572,0
304,1284,1210,1
305,757,319,1
306,467,274,1
307,1485,1038,0
308,1284,864,1
309,1197,315,1
310,1011,760,1
311,506,26,1
312,783,905,0
313,940,1210,1
314,1284,1403,1
315,1284,1496,1
316,1284,602,1
317,172,1595,0
318,1585,620,1
319,812,40,0
320,386,1410,1
321,761,1387,0
322,467,701,1
323,722,256,1
324,1514,571,1
325,757,89,1
326,1284,697,1
327,940,421,1
328,812,479,1
329,486,631,1
330,77,568,0
331,1012,468,0
332,722,507,1
333,1180,1619,0
334,1072,1016,1
335,766,241,0
336,684,1523,1
337,1421,153,0
338,1066,303,0
339,1505,1224,1
340,940,1064,1
341,1122,1142,1
342,1607,1208,0
343,11,1142,1
344,840,864,0
345,940,723,1
346,86,467,0
347,1493,332,0
348,726,45,0
349,722,1251,1
350,467,104,1
351,332,400,0
352,1534,1111,0
353,467,775,1
354,1547,510,1
355,386,1226,1
356,511,1299,0
357,1283,1378,0
358,1072,876,1
359,864,1188,0
360,867,843,0
361,173,84,0
362,1468,1491,0
363,1198,620,0
364,1284,905,1
365,669,670,1
366,1585,912,1
367,757,390,1
