,TF,Target,Label
0,400,4,1
1,400,230,1
2,400,964,1
3,400,129,1
4,400,141,1
5,394,6,1
6,394,352,1
7,394,850,1
8,394,872,1
9,394,650,1
10,230,383,1
11,230,342,1
12,230,659,1
13,230,6,1
14,230,120,1
15,230,123,1
16,230,1030,1
17,230,616,1
18,230,306,1
19,230,730,1
20,230,1278,1
21,230,895,1
22,230,602,1
23,230,295,1
24,230,718,1
25,230,320,1
26,230,831,1
27,230,50,1
28,230,1287,1
29,230,1203,1
30,230,438,1
31,230,807,1
32,230,286,1
33,230,587,1
34,230,1353,1
35,230,189,1
36,230,837,1
37,230,742,1
38,230,380,1
39,230,128,1
40,230,1047,1
41,230,94,1
42,230,530,1
43,230,820,1
44,230,673,1
45,230,681,1
46,230,1360,1
47,230,498,1
48,230,1371,1
49,230,1009,1
50,230,1218,1
51,230,250,1
52,230,1365,1
53,230,1107,1
54,230,1320,1
55,230,1319,1
56,230,218,1
57,230,1366,1
58,556,171,1
59,556,617,1
60,1119,441,1
61,1119,271,1
62,557,1047,1
63,179,171,1
64,179,394,1
65,179,97,1
66,278,1163,1
67,278,942,1
68,278,980,1
69,278,585,1
70,278,1053,1
71,931,853,1
72,931,1300,1
73,931,320,1
74,931,607,1
75,931,985,1
76,931,384,1
77,931,504,1
78,931,394,1
79,931,126,1
80,6,1404,1
81,6,926,1
82,6,1375,1
83,6,141,1
84,6,662,1
85,6,972,1
86,6,875,1
87,6,123,1
88,6,384,1
89,6,230,1
90,6,1334,1
91,6,212,1
92,6,75,1
93,6,431,1
94,6,946,1
95,6,1047,1
96,6,919,1
97,340,24,1
98,340,1367,1
99,340,86,1
100,340,940,1
101,340,758,1
102,340,907,1
103,340,1063,1
104,340,713,1
105,340,680,1
106,340,527,1
107,340,319,1
108,340,382,1
109,340,1380,1
110,340,387,1
111,340,286,1
112,340,1164,1
113,340,388,1
114,340,518,1
115,340,1023,1
116,340,116,1
117,340,652,1
118,340,806,1
119,340,762,1
120,340,592,1
121,340,22,1
122,340,521,1
123,340,16,1
124,340,1200,1
125,340,89,1
126,340,47,1
127,340,766,1
128,340,410,1
129,340,953,1
130,340,809,1
131,340,608,1
132,340,364,1
133,340,1010,1
134,340,289,1
135,340,1280,1
136,340,1406,1
137,340,727,1
138,340,1282,1
139,340,307,1
140,340,1394,1
141,340,1084,1
142,340,1025,1
143,340,1058,1
144,340,263,1
145,340,650,1
146,340,229,1
147,340,851,1
148,340,665,1
149,340,765,1
150,340,745,1
151,340,3,1
152,340,528,1
153,340,1375,1
154,340,1401,1
155,340,1018,1
156,340,238,1
157,340,638,1
158,340,1006,1
159,340,280,1
160,340,318,1
161,340,612,1
162,340,103,1
163,340,1119,1
164,340,1126,1
165,340,479,1
166,340,1373,1
167,340,1019,1
168,340,964,1
169,340,1207,1
170,340,451,1
171,1287,171,1
172,1287,45,1
173,1287,78,1
174,1287,1030,1
175,1287,286,1
176,1287,808,1
177,1287,230,1
178,440,650,1
179,440,700,1
180,850,1287,1
181,850,175,1
182,850,171,1
183,850,747,1
184,850,1358,1
185,850,995,1
186,850,341,1
187,747,1144,1
188,747,173,1
189,747,478,1
190,747,1295,1
191,436,393,1
192,436,688,1
193,436,631,1
194,436,314,1
195,436,684,1
196,436,758,1
197,436,890,1
198,436,344,1
199,436,1181,1
200,436,647,1
201,436,447,1
202,436,504,1
203,436,45,1
204,436,1076,1
205,436,1347,1
206,436,172,1
207,436,841,1
208,436,362,1
209,436,1098,1
210,436,673,1
211,436,1008,1
212,436,201,1
213,436,123,1
214,436,347,1
215,436,1287,1
216,436,383,1
217,436,1391,1
218,436,1166,1
219,436,610,1
220,436,315,1
221,436,825,1
222,436,743,1
223,436,1059,1
224,436,440,1
225,436,350,1
226,436,174,1
227,436,1007,1
228,436,405,1
229,436,340,1
230,436,243,1
231,436,1243,1
232,436,1405,1
233,436,1396,1
234,436,542,1
235,436,766,1
236,436,11,1
237,436,972,1
238,436,587,1
239,436,554,1
240,436,349,1
241,436,829,1
242,436,850,1
243,436,19,1
244,436,1326,1
245,436,1337,1
246,436,807,1
247,436,1358,1
248,1285,850,1
249,1285,855,1
250,1285,829,1
251,1285,946,1
252,1285,582,1
253,1285,194,1
254,1285,793,1
255,1285,9,1
256,1285,447,1
257,1285,1003,1
258,1285,347,1
259,1285,218,1
260,1285,1252,1
261,1285,393,1
262,1285,19,1
263,1285,875,1
264,1285,1337,1
265,1285,202,1
266,1285,834,1
267,1285,1294,1
268,1285,686,1
269,1285,1191,1
270,1285,1243,1
271,1285,935,1
272,1285,1063,1
273,1285,560,1
274,1285,1082,1
275,1285,134,1
276,1285,556,1
277,1285,1166,1
278,1285,1197,1
279,1285,436,1
280,1285,1402,1
281,1285,1238,1
282,1285,1373,1
283,1285,758,1
284,1285,738,1
285,1285,309,1
286,1285,888,1
287,1285,1351,1
288,1285,321,1
289,1285,50,1
290,1285,314,1
291,1285,546,1
292,1285,466,1
293,1285,1375,1
294,1285,610,1
295,1285,172,1
296,1285,275,1
297,1285,1008,1
298,1285,349,1
299,1285,1287,1
300,1285,917,1
301,1285,632,1
302,1285,383,1
303,1285,684,1
304,1285,1358,1
305,1285,1059,1
306,1285,688,1
307,1285,319,1
308,1285,1312,1
309,1285,1007,1
310,1285,890,1
311,1285,417,1
312,1285,1087,1
313,1285,171,1
314,1285,11,1
315,1285,243,1
316,1285,765,1
317,1285,1405,1
318,1285,773,1
319,1285,174,1
320,1285,958,1
321,1285,162,1
322,1285,1033,1
323,1285,1347,1
324,1285,212,1
325,1285,35,1
326,1285,620,1
327,1285,310,1
328,1285,841,1
329,1285,918,1
330,1285,1391,1
331,1285,1397,1
332,1285,1181,1
333,1285,1076,1
334,1285,82,1
335,1285,1383,1
336,1285,608,1
337,1285,1223,1
338,1285,697,1
339,1285,425,1
340,1285,760,1
341,1285,230,1
342,1285,53,1
343,1285,54,1
344,1285,201,1
345,1285,311,1
346,975,180,1
347,975,336,1
348,975,15,1
349,975,1018,1
350,975,854,1
351,975,831,1
352,975,35,1
353,975,614,1
354,975,526,1
355,975,903,1
356,975,1218,1
357,975,370,1
358,975,832,1
359,975,306,1
360,975,224,1
361,975,765,1
362,975,931,1
363,975,1132,1
364,975,661,1
365,975,811,1
366,975,917,1
367,975,565,1
368,975,640,1
369,975,940,1
370,975,348,1
371,975,647,1
372,975,1108,1
373,975,1155,1
374,975,1343,1
375,975,928,1
376,975,250,1
377,975,230,1
378,975,415,1
379,975,175,1
380,975,532,1
381,975,810,1
