,TF,Target,Label
0,473,157,0
1,448,299,1
2,89,862,0
3,221,906,1
4,526,14,1
5,830,331,0
6,19,433,1
7,276,528,0
8,123,441,1
9,739,130,0
10,217,333,0
11,77,80,1
12,270,255,0
13,772,891,1
14,834,517,1
15,20,865,0
16,145,378,0
17,305,269,1
18,125,627,1
19,832,703,0
20,879,313,0
21,394,70,0
22,75,235,0
23,484,804,0
24,365,873,1
25,396,384,1
26,651,602,1
27,85,96,1
28,524,142,0
29,682,149,1
30,569,327,1
31,87,541,1
32,263,517,1
33,378,560,1
34,35,53,1
35,340,673,0
36,735,562,0
37,290,138,0
38,176,330,1
39,185,534,0
40,903,726,1
41,663,553,1
42,227,797,1
43,330,467,1
44,263,834,1
45,865,38,0
46,639,884,0
47,69,765,1
48,663,231,1
49,433,276,0
50,650,718,0
51,624,447,1
52,69,330,1
53,330,53,1
54,110,330,1
55,374,739,0
56,626,775,1
57,905,376,0
58,682,191,0
59,805,429,1
60,121,170,1
61,651,6,1
62,123,613,1
63,554,488,0
64,788,577,0
65,123,571,1
66,586,460,0
67,385,752,1
68,41,385,0
69,207,19,0
70,423,867,0
71,102,325,1
72,123,32,1
73,85,794,1
74,888,294,0
75,151,866,1
76,694,785,0
77,150,411,0
78,185,10,0
79,539,772,1
80,898,498,1
81,878,276,0
82,506,73,0
83,536,439,0
84,801,825,0
85,87,500,1
86,898,154,1
87,219,426,0
88,404,613,1
89,879,751,0
90,888,318,0
91,151,884,0
92,145,42,0
93,276,632,1
94,568,80,0
95,253,234,0
96,85,120,1
97,247,208,0
98,327,626,1
99,27,177,1
100,524,750,0
101,372,655,0
102,634,648,0
103,374,741,1
104,69,130,1
105,553,262,1
106,330,528,1
107,406,39,1
108,786,31,1
109,455,220,0
110,784,444,0
111,180,221,0
112,538,590,0
113,152,455,0
114,624,100,1
115,273,516,1
116,651,389,1
117,494,831,1
118,663,393,0
119,402,554,1
120,85,627,1
121,829,330,1
122,682,669,1
123,184,371,0
124,202,440,0
125,176,338,0
126,305,749,1
127,371,738,0
128,62,63,0
129,449,552,0
130,85,408,1
131,402,718,1
132,410,237,0
133,378,512,1
134,705,510,0
135,51,48,0
136,553,425,1
137,377,665,1
138,374,354,0
139,762,424,1
140,485,521,1
141,330,889,1
142,225,876,0
143,406,73,0
144,889,609,1
145,76,766,0
146,573,73,0
147,73,262,0
148,343,441,1
149,123,879,1
150,378,176,1
151,587,84,0
152,879,580,1
153,809,727,0
154,896,343,1
155,628,573,0
156,63,734,0
157,330,20,1
158,570,783,0
159,330,335,1
160,410,384,1
161,616,732,0
162,786,776,1
163,650,204,0
164,534,665,0
165,305,294,0
166,741,247,1
167,24,898,1
168,330,31,1
169,484,391,0
170,223,630,0
171,244,747,0
172,732,27,1
173,367,874,0
174,366,284,0
175,121,425,1
176,40,569,0
177,636,693,0
178,223,43,0
179,771,467,0
180,788,462,1
181,901,86,0
182,280,226,0
183,160,343,1
184,385,792,1
185,626,898,1
186,553,11,1
187,695,146,0
188,576,10,0
189,194,354,0
190,227,514,1
191,378,817,1
192,199,543,0
193,553,479,1
194,176,834,0
195,496,905,0
196,903,493,1
197,61,133,0
198,123,41,1
199,801,204,0
200,14,683,1
201,276,207,1
202,340,455,1
203,788,121,1
204,343,361,1
205,372,7,0
206,77,596,1
207,40,264,1
208,227,273,1
209,772,522,0
210,4,121,1
211,696,70,0
212,667,4,0
213,553,75,1
214,69,254,1
215,834,261,0
216,580,93,0
217,703,838,0
218,624,829,0
219,422,35,0
220,425,121,1
221,422,788,0
222,144,301,0
223,330,282,1
224,276,843,1
225,365,528,0
226,515,779,0
227,85,596,1
228,85,111,1
229,369,882,0
230,662,737,0
231,227,705,1
232,494,444,1
233,432,354,0
234,473,293,0
235,896,524,1
236,485,384,1
237,305,161,1
238,414,883,0
239,284,843,0
240,227,334,1
241,425,365,1
242,108,871,1
243,682,346,1
244,121,788,1
245,678,722,1
246,425,205,0
247,856,899,0
248,330,14,0
249,205,30,0
250,544,793,0
251,586,685,0
252,482,356,0
253,264,18,1
254,63,350,0
255,553,612,1
256,624,73,1
257,685,529,1
258,494,303,1
259,34,249,0
260,788,341,0
261,566,228,0
262,385,135,0
263,385,41,1
264,378,377,1
265,85,416,0
266,896,136,1
267,877,620,1
268,365,169,1
269,504,549,1
270,626,47,1
271,145,616,0
272,578,190,1
273,848,275,0
274,889,829,1
275,898,453,1
276,903,741,1
277,76,605,0
278,281,566,0
279,905,609,1
280,828,545,0
281,834,669,0
282,553,779,1
283,553,275,1
284,121,531,1
285,553,445,1
286,805,114,1
287,35,445,0
288,343,393,1
289,81,330,1
290,242,692,0
291,896,561,1
292,539,302,1
293,624,855,0
294,801,583,0
295,30,279,0
296,564,250,0
297,87,384,1
298,569,502,1
299,125,691,0
300,123,896,1
301,784,618,0
302,677,286,0
303,150,291,0
304,110,295,1
305,878,493,0
306,377,202,1
307,506,20,0
308,648,579,0
309,515,844,0
310,494,111,1
311,85,569,1
312,404,530,0
313,682,367,1
314,218,448,0
315,235,421,0
316,826,752,0
317,792,821,0
318,536,194,0
319,123,698,1
320,227,665,1
321,878,215,0
322,801,529,0
323,207,524,1
324,85,205,1
325,117,641,0
326,830,804,0
327,87,560,1
328,674,173,0
329,80,145,1
330,600,330,1
331,62,835,0
332,514,784,0
333,820,390,0
334,366,69,1
335,121,190,1
336,269,518,0
337,225,405,0
338,374,908,0
339,85,549,1
340,35,164,1
341,330,427,1
342,643,155,0
343,553,896,1
344,77,514,1
345,123,438,1
346,645,48,0
347,123,305,1
348,504,471,0
349,737,889,0
350,263,649,0
351,482,330,1
352,686,359,0
353,378,113,1
354,795,783,0
355,682,512,1
356,553,817,1
357,74,65,1
358,626,327,1
359,705,668,0
360,85,865,1
361,360,130,0
362,230,594,0
363,817,418,0
364,125,27,1
365,87,381,1
366,494,445,1
367,762,390,0
368,706,842,1
369,178,526,0
370,438,522,0
371,385,361,1
372,87,77,1
373,227,816,1
374,125,620,1
375,378,630,0
376,553,495,1
377,378,318,1
378,404,737,0
379,121,795,1
380,762,128,0
381,121,384,1
382,705,12,0
383,729,637,0
384,185,769,0
385,682,486,1
386,582,775,1
387,685,160,1
388,385,662,1
389,341,542,0
390,343,239,1
391,227,874,1
392,682,749,1
393,576,312,0
394,536,541,0
395,31,385,0
396,450,276,1
397,244,419,0
398,31,39,1
399,73,177,0
400,385,763,1
401,185,524,0
402,618,796,1
403,685,827,1
404,245,549,0
405,222,70,0
406,627,811,0
407,538,762,0
408,284,460,1
409,624,342,0
410,677,387,0
411,473,38,0
412,61,170,0
413,286,183,0
414,125,857,1
415,264,680,1
416,111,590,0
417,682,884,1
418,896,523,1
419,524,892,0
420,520,410,1
421,205,401,0
422,651,303,1
423,14,536,1
424,694,453,0
425,651,627,1
426,85,276,1
427,898,613,1
428,800,203,0
429,553,437,1
430,153,418,0
431,706,618,1
432,385,77,1
433,264,53,1
434,805,269,1
435,150,384,0
436,330,548,1
437,682,328,1
438,883,782,0
439,845,899,0
440,80,240,0
441,119,517,1
442,385,585,1
443,849,648,0
444,21,821,0
445,121,494,1
446,885,433,0
447,77,32,1
448,820,705,1
449,85,450,1
450,771,219,0
451,845,192,0
452,470,530,0
453,482,879,0
454,682,705,0
455,123,249,1
456,722,655,0
457,489,573,0
458,372,265,0
459,63,864,0
460,553,571,1
461,805,27,1
462,881,795,1
463,185,179,0
