,TF,Target,Label
0,1242,826,1
1,1242,747,1
2,1242,528,1
3,1242,664,1
4,1242,1228,1
5,740,108,1
6,740,110,1
7,740,1302,1
8,740,1043,1
9,740,880,1
10,740,885,1
11,740,491,1
12,740,595,1
13,740,649,1
14,740,1321,1
15,740,329,1
16,740,1238,1
17,740,807,1
18,740,412,1
19,740,344,1
20,740,44,1
21,740,1007,1
22,740,230,1
23,740,81,1
24,740,886,1
25,740,57,1
26,740,1218,1
27,740,829,1
28,740,351,1
29,740,27,1
30,740,1272,1
31,740,1407,1
32,740,1143,1
33,740,1045,1
34,740,1010,1
35,740,214,1
36,740,587,1
37,740,1137,1
38,740,599,1
39,740,358,1
40,740,887,1
41,740,1223,1
42,740,201,1
43,740,1395,1
44,740,1351,1
45,740,1323,1
46,740,1358,1
47,740,878,1
48,740,60,1
49,740,342,1
50,740,1445,1
51,740,1106,1
52,740,1249,1
53,740,1144,1
54,740,304,1
55,740,596,1
56,740,767,1
57,740,1009,1
58,740,1065,1
59,740,213,1
60,740,424,1
61,740,1033,1
62,740,226,1
63,740,661,1
64,740,119,1
65,740,1378,1
66,740,1329,1
67,382,845,1
68,382,181,1
69,382,1061,1
70,382,610,1
71,382,747,1
72,587,578,1
73,587,1015,1
74,587,661,1
75,587,378,1
76,587,278,1
77,587,420,1
78,587,82,1
79,587,427,1
80,587,893,1
81,587,352,1
82,587,358,1
83,587,193,1
84,587,90,1
85,587,967,1
86,587,747,1
87,587,1016,1
88,587,788,1
89,587,703,1
90,587,1185,1
91,587,1403,1
92,587,1365,1
93,587,800,1
94,587,504,1
95,587,8,1
96,587,896,1
97,587,715,1
98,587,992,1
99,587,329,1
100,587,583,1
101,728,826,1
102,728,747,1
103,356,1286,1
104,356,826,1
105,1148,896,1
106,1148,603,1
107,1148,362,1
108,1148,204,1
109,1148,285,1
110,1148,1295,1
111,1148,1228,1
112,1148,478,1
113,1148,9,1
114,1148,930,1
115,1148,696,1
116,1148,1288,1
117,1148,528,1
118,1148,194,1
119,1148,838,1
120,1148,99,1
121,1148,1364,1
122,1148,410,1
123,1148,1301,1
124,1148,242,1
125,1148,65,1
126,1148,819,1
127,1148,635,1
128,1148,257,1
129,1148,1138,1
130,1148,957,1
131,1148,890,1
132,1148,561,1
133,1148,747,1
134,9,1235,1
135,9,472,1
136,9,1148,1
137,9,932,1
138,1119,1148,1
139,1119,1301,1
140,271,320,1
141,271,351,1
142,1402,579,1
143,1402,946,1
144,1402,1426,1
145,1402,992,1
146,205,589,1
147,205,310,1
148,205,412,1
149,205,1059,1
150,205,1016,1
151,205,1145,1
152,205,409,1
153,205,819,1
154,205,477,1
155,205,826,1
156,205,719,1
157,205,417,1
158,205,689,1
159,205,1138,1
160,205,1426,1
161,205,558,1
162,205,747,1
163,205,232,1
164,205,1327,1
165,205,538,1
166,205,829,1
167,205,745,1
168,205,1163,1
169,205,364,1
170,205,346,1
171,205,1183,1
172,205,1215,1
173,205,1371,1
174,205,803,1
175,205,649,1
176,205,249,1
177,205,115,1
178,205,1051,1
179,205,1224,1
180,205,575,1
181,205,322,1
182,205,159,1
183,205,896,1
184,205,693,1
185,205,1316,1
186,205,383,1
187,205,1124,1
188,205,303,1
189,205,486,1
190,205,614,1
191,205,856,1
192,205,410,1
193,205,1053,1
194,205,1143,1
195,205,910,1
196,205,160,1
197,205,1218,1
198,205,36,1
199,205,235,1
200,205,1286,1
201,205,210,1
202,205,43,1
203,205,996,1
204,205,1151,1
205,205,540,1
206,205,230,1
207,205,204,1
208,205,1271,1
209,205,998,1
210,205,500,1
211,205,1391,1
212,205,99,1
213,205,63,1
214,205,855,1
215,205,1168,1
216,205,1142,1
217,205,1040,1
218,205,583,1
219,205,1127,1
220,205,1399,1
221,205,304,1
222,205,490,1
223,205,11,1
224,205,344,1
225,205,359,1
226,205,887,1
227,205,70,1
228,205,467,1
229,205,462,1
230,205,1228,1
231,205,1260,1
232,205,215,1
233,205,1042,1
234,205,931,1
235,205,68,1
236,205,324,1
237,205,992,1
238,205,1076,1
239,467,205,1
240,467,1086,1
241,467,61,1
242,467,1017,1
243,467,1426,1
244,467,490,1
245,1443,540,1
246,89,826,1
247,1010,826,1
248,1218,431,1
249,1218,236,1
250,1218,780,1
251,1218,294,1
252,1218,930,1
253,1218,651,1
254,1218,48,1
255,1218,235,1
256,1218,1226,1
257,1218,66,1
258,1218,1231,1
259,1218,378,1
260,1218,463,1
261,1218,1307,1
262,1218,1233,1
263,1218,617,1
264,1218,1269,1
265,1218,739,1
266,1218,382,1
267,1218,800,1
268,1218,271,1
269,1218,237,1
270,1218,214,1
271,1218,622,1
272,1218,834,1
273,1218,81,1
274,1218,835,1
275,1218,299,1
276,1218,1149,1
277,1218,60,1
278,1218,654,1
279,1218,320,1
280,1218,155,1
281,1218,1132,1
282,1218,392,1
283,1218,1260,1
284,1218,129,1
285,1218,1276,1
286,1218,580,1
287,1218,1168,1
288,1218,669,1
289,1218,893,1
290,1218,147,1
291,1218,349,1
292,1218,65,1
293,1218,1088,1
294,1218,658,1
295,1218,592,1
296,1218,152,1
297,1218,1209,1
298,1218,412,1
299,1218,975,1
300,1218,1057,1
301,1218,1349,1
302,1218,351,1
303,1218,486,1
304,1218,616,1
305,1218,58,1
306,1218,596,1
307,1218,1185,1
308,1218,1086,1
309,1218,844,1
310,1218,979,1
311,1218,117,1
312,1218,729,1
313,1218,1053,1
314,1218,1250,1
315,1218,1087,1
316,1218,1270,1
317,1218,1046,1
318,1218,163,1
319,1218,856,1
320,1218,356,1
321,1218,726,1
322,1218,1038,1
323,1218,362,1
324,711,689,1
325,711,362,1
326,711,595,1
327,711,9,1
328,711,1288,1
329,711,1148,1
330,896,158,1
331,896,1143,1
332,896,235,1
333,896,996,1
334,896,63,1
335,896,587,1
336,896,105,1
337,896,1403,1
338,896,205,1
339,896,1166,1
340,896,1062,1
341,896,1358,1
342,896,1151,1
343,896,285,1
344,896,424,1
345,896,70,1
