,TF,Target,Label
0,835,485,1
1,651,236,0
2,292,664,1
3,663,294,0
4,281,342,1
5,194,569,0
6,308,327,0
7,68,61,1
8,327,585,1
9,647,16,0
10,825,643,0
11,558,145,0
12,551,827,0
13,116,648,0
14,287,397,1
15,585,790,1
16,628,162,0
17,187,274,1
18,839,263,1
19,198,918,0
20,340,393,1
21,767,729,1
22,298,140,1
23,158,260,1
24,472,390,1
25,227,405,1
26,350,585,1
27,669,492,1
28,767,407,1
29,597,737,1
30,765,466,0
31,65,439,0
32,48,887,0
33,794,23,0
34,119,722,1
35,762,310,0
36,913,40,1
37,561,481,0
38,68,212,1
39,251,915,1
40,761,809,1
41,578,712,1
42,839,840,1
43,662,67,0
44,43,188,0
45,461,313,1
46,480,759,1
47,841,861,0
48,287,736,1
49,586,421,0
50,565,916,0
51,104,614,1
52,158,300,1
53,275,20,0
54,817,798,1
55,913,140,1
56,682,817,1
57,551,890,0
58,480,631,1
59,400,52,1
60,730,581,0
61,843,135,0
62,621,647,1
63,650,735,0
64,475,157,0
65,472,427,1
66,470,793,1
67,519,69,1
68,837,498,0
69,681,728,0
70,65,86,0
71,281,410,1
72,585,181,1
73,68,182,1
74,224,20,0
75,545,513,0
76,132,672,0
77,406,606,0
78,355,513,1
79,251,857,1
80,43,255,0
81,328,81,1
82,400,346,1
83,119,349,1
84,193,763,1
85,390,692,0
86,512,482,0
87,133,668,0
88,659,677,0
89,189,781,1
90,102,397,0
91,470,338,0
92,71,560,0
93,759,21,1
94,107,581,0
95,746,394,0
96,196,556,0
97,461,121,1
98,614,454,1
99,284,83,0
100,92,938,0
101,292,143,1
102,158,667,1
103,617,488,0
104,409,626,0
105,321,791,0
106,472,305,1
107,445,169,1
108,839,318,1
109,236,474,1
110,84,589,0
111,300,155,0
112,756,317,0
113,281,101,1
114,119,683,1
115,251,407,1
116,761,366,0
117,586,935,0
118,722,551,1
119,445,298,1
120,669,583,1
121,518,915,1
122,140,123,1
123,825,212,1
124,759,338,1
125,722,727,1
126,625,474,1
127,648,659,0
128,759,121,1
129,158,324,1
130,826,737,0
131,669,140,1
132,427,736,1
133,637,47,1
134,122,375,0
135,328,786,1
136,886,535,1
137,564,421,0
138,284,500,0
139,131,64,0
140,296,607,1
141,281,502,1
142,298,160,1
143,503,71,0
144,70,365,0
145,656,648,1
146,614,245,1
147,839,124,1
148,868,107,0
149,821,391,0
150,284,484,0
151,461,609,1
152,719,823,1
153,194,459,1
154,68,316,1
155,764,328,1
156,236,344,0
157,113,793,1
158,348,176,0
159,323,562,0
160,839,356,1
161,823,85,0
162,281,807,1
163,122,328,1
164,656,82,1
165,229,586,1
166,4,116,0
167,66,943,1
168,132,281,1
169,864,757,0
170,386,360,0
171,140,468,0
172,485,287,1
173,438,791,0
174,722,328,1
175,699,831,1
176,194,356,0
177,281,455,1
178,227,587,1
179,722,794,1
180,461,79,1
181,537,39,0
182,640,182,1
183,459,276,0
184,204,624,0
185,292,120,1
186,227,292,1
187,431,80,0
188,86,138,1
189,561,186,0
190,193,259,1
191,893,504,1
192,176,421,0
193,767,346,1
194,609,709,0
195,269,682,1
196,557,115,0
197,442,435,0
198,400,595,1
199,281,905,1
200,694,116,0
201,119,862,1
202,178,272,0
203,140,342,1
204,182,201,1
205,281,530,1
206,698,809,1
207,868,41,0
208,343,938,1
209,582,838,0
210,942,445,1
211,424,515,0
212,850,438,0
213,588,855,0
214,758,583,0
215,287,170,1
216,48,736,1
217,197,849,1
218,113,584,0
219,292,562,1
220,251,520,1
221,470,40,0
222,799,99,1
223,890,561,0
224,699,707,0
225,197,416,0
226,817,38,1
227,194,760,0
228,886,602,0
229,702,694,0
230,650,914,0
231,834,896,0
232,140,913,1
233,310,144,0
234,464,825,0
235,109,292,1
236,251,350,1
237,659,742,0
238,503,6,0
239,281,232,1
240,68,7,1
241,158,821,1
242,255,592,0
243,287,60,1
244,618,546,0
245,281,447,1
246,292,861,1
247,722,554,1
248,288,492,0
249,14,110,0
250,545,323,0
251,250,933,0
252,752,890,1
253,902,772,0
254,598,485,0
255,362,296,0
256,61,641,0
257,227,233,1
258,759,934,0
259,198,882,0
260,916,393,1
261,182,393,1
262,119,504,1
263,329,174,0
264,817,625,1
265,413,465,0
266,933,587,0
267,292,462,1
268,921,96,0
269,878,119,1
270,139,472,1
271,281,569,1
272,519,389,1
273,334,155,0
274,728,540,0
275,585,674,1
276,461,670,1
277,292,290,1
278,817,104,1
279,719,682,0
280,44,287,1
281,275,527,0
282,196,789,0
283,400,923,1
284,618,492,1
285,329,453,0
286,578,290,1
287,281,210,1
288,599,60,0
289,852,509,0
290,472,748,1
291,187,204,0
292,263,271,0
293,614,682,1
294,202,135,0
295,943,644,0
296,119,878,1
297,840,911,1
298,371,798,0
299,298,807,1
300,839,177,1
301,328,400,1
302,146,360,1
303,75,825,1
304,439,702,0
305,933,5,0
306,328,274,1
307,413,70,0
308,263,821,1
309,176,455,1
310,218,834,1
311,377,227,0
312,676,748,0
313,585,820,1
314,578,90,1
315,158,169,1
316,181,281,1
317,169,356,0
318,933,825,1
319,650,681,0
320,531,524,0
321,365,453,0
322,564,209,0
323,585,469,1
324,47,430,0
325,227,944,1
326,747,793,0
327,445,865,0
328,578,403,1
329,108,152,0
330,662,96,0
331,286,804,0
332,764,301,1
333,133,211,0
334,431,877,0
335,176,244,1
336,833,683,0
337,916,543,0
338,328,227,1
339,158,897,1
340,139,704,0
341,661,236,0
342,826,95,0
343,390,673,0
344,305,392,0
345,1,563,0
346,357,853,0
347,406,243,0
348,37,221,0
349,614,478,1
350,578,287,1
351,841,279,0
352,68,840,1
353,453,588,1
354,48,443,0
355,287,378,1
356,204,762,0
357,897,141,1
358,251,200,0
359,227,75,1
360,251,267,1
361,227,675,1
362,786,561,1
363,184,330,0
364,599,97,0
365,255,214,1
366,913,405,1
367,697,163,0
368,287,761,1
369,85,942,1
370,617,45,0
371,706,38,0
372,378,129,0
373,893,393,1
374,724,91,0
375,472,912,1
376,722,767,1
377,839,222,1
378,158,167,1
379,177,644,1
380,683,682,1
381,578,201,1
382,187,376,0
383,40,748,0
384,585,327,1
385,281,300,1
386,140,185,0
387,81,901,0
388,6,71,0
389,229,736,1
390,280,665,0
391,54,99,0
392,843,732,0
393,913,832,1
394,465,328,0
395,197,195,0
396,158,221,1
397,68,678,1
398,688,221,0
399,455,66,0
400,582,757,0
401,472,215,1
402,624,177,0
403,187,840,1
404,281,32,1
405,164,585,0
406,275,704,0
407,902,494,0
408,232,258,1
409,40,206,0
410,108,587,0
411,187,623,1
412,648,257,0
413,129,763,0
414,766,366,0
415,825,327,1
416,480,888,1
417,734,666,1
418,719,417,0
419,281,477,1
420,799,683,1
421,861,817,1
422,269,572,0
423,663,247,0
424,119,674,1
425,461,201,1
426,298,634,1
427,578,938,1
428,169,357,0
429,763,34,0
430,218,146,0
431,501,736,0
432,395,905,0
433,197,121,1
434,68,746,1
435,684,937,0
436,227,68,1
437,288,71,0
438,519,172,1
439,604,225,0
440,537,251,0
441,585,76,0
442,182,274,1
443,132,753,0
444,442,945,0
445,913,427,1
446,625,275,0
447,182,142,1
448,298,388,1
449,38,811,1
450,68,375,1
451,246,128,0
452,350,701,0
453,158,305,1
454,140,826,1
455,470,924,1
456,711,374,0
457,119,136,1
458,431,392,0
459,377,328,0
460,176,107,0
461,68,258,1
462,472,140,1
463,906,586,0
464,194,11,0
465,923,362,0
466,759,543,1
467,388,585,1
468,620,747,0
469,839,828,1
470,795,662,0
471,786,372,0
472,764,38,1
473,825,104,1
474,656,814,1
475,323,424,0
476,287,866,0
477,661,682,1
478,182,813,1
479,194,297,0
480,227,305,1
481,806,421,0
482,461,758,0
483,156,788,0
484,298,480,1
485,921,614,1
486,156,671,1
487,189,206,0
488,286,133,1
489,825,191,1
490,140,321,1
491,177,764,1
492,786,847,0
493,158,657,1
494,656,769,1
495,721,910,0
496,276,741,0
497,821,212,0
498,281,346,1
499,701,614,1
500,480,544,1
501,865,725,0
502,724,817,1
503,470,886,0
504,281,427,1
505,448,519,1
506,68,870,1
507,68,335,1
508,201,292,1
509,6,229,1
510,285,157,0
511,834,873,1
512,227,175,1
513,719,354,1
514,681,12,0
515,746,884,0
516,938,884,0
517,68,414,1
518,108,138,0
519,270,858,0
520,916,614,1
521,747,940,0
522,281,236,1
523,928,195,0
524,734,490,0
525,793,228,0
526,625,817,1
527,227,786,1
528,839,911,1
529,671,823,1
530,873,843,1
531,183,688,0
532,839,715,1
533,158,656,1
534,187,681,0
535,472,291,0
536,722,472,0
537,158,476,1
538,897,694,1
539,292,356,1
540,255,74,1
541,158,85,1
542,656,789,1
543,281,180,1
544,365,362,0
545,251,576,1
546,651,817,1
547,380,265,0
548,614,227,1
549,897,44,1
550,614,940,1
551,523,383,0
552,400,864,0
553,281,804,1
554,68,300,1
555,767,799,1
556,10,79,0
557,119,85,1
558,568,431,0
559,834,286,1
560,232,687,1
561,10,603,0
562,767,446,1
563,146,223,0
564,786,945,0
565,923,528,0
566,810,181,1
567,227,169,1
568,158,567,1
569,197,907,1
570,699,712,0
571,598,930,1
572,585,718,1
573,924,673,0
574,455,627,0
575,165,642,0
576,75,474,1
577,472,132,1
578,388,233,0
579,288,471,0
580,671,487,1
581,614,189,1
582,840,291,1
583,866,265,0
584,288,540,0
585,37,184,0
586,674,292,1
587,400,629,0
588,68,84,1
589,841,478,0
590,158,15,0
591,614,681,1
592,328,281,1
593,928,588,1
594,453,825,0
595,675,698,0
596,312,466,0
597,756,837,1
598,519,283,1
599,452,558,0
600,158,342,1
601,218,85,0
602,752,172,1
603,763,386,1
604,512,553,0
605,835,110,0
606,355,764,0
607,557,200,0
608,470,305,0
609,328,42,0
610,523,781,0
611,281,358,1
612,281,645,1
613,839,609,1
614,523,644,1
615,232,646,1
616,176,636,1
617,874,243,0
618,227,607,1
619,839,82,1
620,408,675,0
621,640,304,1
622,92,631,0
623,177,614,1
624,597,894,0
625,597,577,1
626,521,728,0
627,699,461,0
628,408,480,1
629,232,775,1
630,292,893,1
631,328,722,1
632,793,487,0
633,298,158,1
634,697,115,0
635,165,326,0
636,281,328,1
637,100,717,0
638,68,367,1
639,764,480,0
640,916,867,0
641,386,569,1
642,287,442,0
643,202,617,0
644,356,725,0
645,292,776,1
646,474,20,1
647,578,367,1
648,119,72,1
649,585,418,1
650,616,38,1
651,933,436,0
652,124,85,0
653,408,76,0
654,474,737,1
655,311,169,1
656,582,554,1
657,916,939,0
658,767,388,1
659,357,741,0
660,604,657,0
661,364,919,0
662,184,741,0
663,93,503,1
664,891,823,0
665,284,396,0
666,182,392,1
667,14,517,0
668,537,903,1
669,913,223,0
670,585,92,0
671,906,553,0
672,287,204,0
673,286,642,0
674,764,768,0
675,281,598,1
676,227,797,0
677,723,164,0
678,304,191,0
679,614,301,1
680,407,267,1
681,249,45,0
682,390,852,0
683,86,633,0
684,924,915,1
685,796,93,1
686,292,886,1
687,100,590,0
688,68,692,1
689,519,727,1
690,891,520,0
691,196,801,0
692,586,794,0
693,251,382,1
694,281,347,1
695,673,50,0
696,281,353,1
697,640,604,1
698,67,821,1
699,585,686,1
700,554,170,0
701,158,222,1
702,182,321,1
703,86,61,0
704,85,498,0
705,585,491,1
706,281,339,1
707,366,683,0
708,640,862,1
709,168,56,0
710,390,766,0
711,474,592,1
712,503,491,0
713,251,913,0
714,181,423,0
715,129,541,0
716,4,696,0
717,193,50,0
718,764,634,0
719,640,825,1
720,441,421,0
721,861,669,0
722,193,410,1
723,355,546,1
724,193,470,1
725,453,535,1
726,599,719,0
727,232,839,1
728,585,190,0
729,711,393,1
730,794,281,1
731,651,734,0
732,733,485,1
733,915,99,1
734,158,740,1
735,721,358,0
736,767,124,1
737,791,939,0
738,360,550,0
739,580,851,0
740,68,328,1
741,629,500,0
742,916,803,0
743,328,689,1
744,861,298,1
745,55,130,0
746,795,433,0
747,465,934,0
748,568,532,0
749,674,614,1
750,474,682,1
751,158,881,1
752,697,676,1
753,254,859,0
754,213,342,0
755,193,557,0
756,55,805,0
757,55,119,0
758,328,694,1
759,366,614,1
760,182,820,1
761,189,502,0
762,340,614,1
763,786,940,1
764,393,146,0
765,767,393,1
766,340,549,0
767,187,602,0
768,280,37,1
769,472,478,1
770,227,301,1
771,54,262,0
772,158,234,1
773,472,915,0
774,281,239,1
775,232,226,0
776,631,471,0
777,624,445,1
778,839,581,0
779,238,660,0
780,821,614,1
781,861,474,1
782,474,823,1
783,572,422,0
784,281,500,1
785,663,500,0
786,817,308,1
787,193,641,1
788,68,71,1
789,390,755,0
790,660,700,0
791,694,297,0
792,146,128,0
793,227,286,1
794,761,839,0
795,269,525,1
796,540,945,0
797,86,669,0
798,928,420,0
799,119,680,1
800,292,546,1
801,839,468,1
802,181,720,0
803,177,238,1
804,237,30,0
805,68,664,1
806,270,167,0
807,430,489,0
808,304,388,1
809,585,323,0
810,640,720,1
811,921,474,1
812,407,488,0
813,388,556,1
814,585,728,1
815,820,222,1
816,158,454,1
817,764,614,1
818,442,287,0
819,159,176,0
820,607,231,1
821,913,249,1
822,602,864,0
823,227,692,1
824,281,344,1
825,640,276,1
826,839,191,1
827,441,209,0
828,648,281,1
829,519,486,1
830,763,942,0
831,158,19,1
832,360,335,0
833,298,669,1
834,614,839,1
835,798,441,0
836,229,109,0
837,868,673,0
838,492,10,1
839,794,744,1
840,296,407,0
841,240,306,0
842,430,103,0
843,488,636,0
844,614,828,1
845,697,180,0
846,292,379,1
847,285,359,0
848,795,895,0
849,194,546,0
850,158,752,1
851,390,454,0
852,744,393,1
853,102,39,0
854,182,763,1
855,124,381,0
856,674,726,0
857,292,200,1
858,296,364,1
859,36,222,0
860,609,527,0
861,61,449,0
862,614,873,1
863,472,913,1
864,585,694,1
865,614,738,1
866,752,418,1
867,744,301,0
868,768,783,0
869,877,39,0
870,274,518,0
871,923,763,1
872,68,98,1
873,467,764,1
874,675,697,0
875,608,126,0
876,467,126,0
877,928,453,0
878,829,182,0
879,538,539,0
880,825,143,1
881,857,782,0
882,621,140,0
883,614,158,1
884,380,396,0
885,218,918,0
886,825,795,0
887,640,759,1
888,292,236,1
889,687,178,0
890,938,292,1
891,246,8,0
892,455,351,0
893,674,791,0
894,229,837,1
895,281,26,1
896,292,328,1
897,17,901,0
898,232,221,0
899,201,229,1
900,334,759,0
901,519,551,1
902,839,775,1
903,29,321,0
904,70,709,1
905,187,572,1
906,284,665,0
907,897,712,0
908,133,401,0
909,799,470,1
910,465,229,1
911,281,747,1
912,507,681,0
913,120,696,0
914,328,805,1
915,825,179,1
916,480,389,0
917,761,287,1
918,571,672,0
919,227,782,0
920,158,316,1
921,674,214,0
922,140,466,1
923,683,393,1
924,356,136,0
925,640,42,0
926,227,907,1
927,274,244,0
928,765,667,0
929,673,142,0
930,86,799,0
931,767,698,1
932,168,301,0
933,512,554,0
934,78,434,0
935,426,848,1
936,530,474,1
937,227,651,0
938,308,483,0
939,69,717,0
940,6,767,0
941,650,572,1
942,734,922,0
943,158,235,1
944,575,460,0
945,292,20,1
946,340,413,0
947,224,80,0
948,681,144,0
949,193,56,1
950,227,571,1
951,400,648,1
952,629,722,0
953,817,281,1
954,227,570,1
955,632,378,0
956,515,821,0
957,641,643,0
958,113,99,1
959,92,643,1
960,839,59,1
961,36,542,0
962,19,699,0
963,504,436,0
964,156,625,1
965,409,247,0
966,288,644,0
967,488,933,0
968,767,30,1
969,923,749,0
970,53,911,0
971,141,652,0
972,281,471,1
973,214,458,0
974,870,566,1
975,640,232,1
976,676,212,0
977,6,763,1
978,193,480,1
979,607,132,0
980,682,292,1
981,204,511,0
982,244,455,0
983,634,461,0
984,614,479,1
985,478,851,0
986,932,90,0
987,839,556,1
988,734,531,0
989,660,841,0
990,140,404,0
991,158,859,1
992,265,449,0
993,614,400,1
994,298,61,1
995,10,832,0
996,637,516,0
997,281,72,1
998,251,839,0
999,298,905,1
1000,837,756,1
1001,187,597,1
1002,569,440,0
1003,403,244,0
1004,113,518,1
1005,506,147,0
1006,588,928,1
1007,810,394,0
1008,871,781,0
1009,331,777,0
1010,649,387,0
1011,37,828,1
1012,356,370,0
1013,68,297,1
1014,474,530,1
1015,292,479,1
1016,861,692,0
1017,159,20,0
1018,864,200,0
1019,169,428,0
1020,174,737,0
1021,521,621,0
1022,388,834,1
1023,851,714,0
1024,119,592,1
1025,354,439,0
1026,187,24,0
1027,251,886,1
1028,682,613,0
1029,572,275,0
1030,877,406,0
1031,736,449,0
1032,196,10,0
1033,305,614,1
1034,119,583,1
1035,12,544,0
1036,641,602,1
1037,359,54,0
1038,811,54,0
1039,839,8,0
1040,355,945,1
1041,133,286,1
1042,903,451,0
1043,561,242,0
1044,296,877,1
1045,682,328,1
1046,578,597,1
1047,298,687,1
1048,902,617,0
1049,632,937,0
1050,165,464,0
1051,924,518,1
1052,878,671,0
1053,187,910,0
1054,913,355,1
1055,119,893,1
1056,461,91,1
1057,409,305,0
1058,632,147,0
1059,624,232,0
1060,868,495,0
1061,764,447,1
1062,113,915,1
1063,826,170,0
1064,255,631,1
1065,355,836,1
1066,554,365,0
1067,761,44,1
1068,820,356,1
1069,328,662,0
1070,292,588,1
1071,176,285,0
1072,737,839,1
1073,251,390,1
1074,943,783,0
1075,187,714,1
1076,281,739,1
1077,218,126,0
1078,668,281,1
1079,158,699,1
1080,227,793,1
1081,189,699,1
1082,400,347,0
1083,697,646,0
1084,706,779,0
1085,673,482,0
1086,140,663,0
1087,656,845,1
1088,178,776,0
1089,286,634,1
1090,475,56,0
1091,745,37,0
1092,498,595,0
1093,535,781,1
1094,564,95,0
1095,688,810,0
1096,124,582,0
1097,839,731,1
1098,200,502,0
1099,364,634,0
1100,284,804,0
1101,767,595,1
1102,683,645,0
1103,218,757,0
1104,924,178,0
1105,229,328,1
1106,721,629,0
1107,227,603,1
1108,683,906,0
1109,47,732,0
1110,859,926,0
1111,193,189,1
1112,839,568,0
1113,227,281,1
1114,621,804,0
1115,767,301,1
1116,38,556,1
1117,507,101,0
1118,232,638,0
1119,329,398,0
1120,498,903,1
1121,328,873,1
1122,116,535,0
1123,281,197,1
1124,68,287,1
1125,828,370,0
1126,94,824,0
1127,823,597,1
1128,921,213,0
1129,414,920,0
1130,523,445,0
1131,687,507,0
1132,474,867,0
1133,400,763,1
1134,825,17,1
1135,311,435,0
1136,187,303,1
1137,388,933,1
1138,281,869,1
1139,240,391,0
1140,194,387,0
1141,145,402,0
1142,798,598,0
1143,201,109,0
1144,834,259,0
1145,941,497,1
1146,682,780,1
1147,871,474,0
1148,292,707,1
1149,640,445,0
1150,413,152,0
1151,200,462,0
1152,688,576,0
1153,250,327,0
1154,864,135,0
1155,843,590,0
1156,480,271,1
1157,722,219,0
1158,614,187,0
1159,943,670,0
1160,380,141,0
1161,485,733,1
1162,629,855,0
1163,837,739,0
1164,68,199,1
1165,334,99,0
1166,669,614,1
1167,578,816,0
1168,287,215,0
1169,158,736,1
1170,187,232,1
1171,53,455,0
1172,267,436,0
1173,504,21,0
1174,794,246,0
1175,528,726,0
1176,852,357,0
1177,400,360,1
1178,525,701,1
1179,651,544,0
1180,291,235,0
1181,331,140,0
1182,504,772,1
1183,68,805,1
1184,61,490,0
1185,506,818,0
1186,647,11,0
1187,139,29,0
1188,719,667,1
1189,614,905,1
1190,158,694,1
1191,886,141,1
1192,474,568,0
1193,269,371,0
1194,158,355,1
1195,227,642,1
1196,61,591,0
1197,281,327,1
1198,66,520,0
1199,501,535,0
1200,328,682,1
1201,656,823,1
1202,891,513,0
1203,359,231,1
1204,933,908,1
1205,839,837,1
1206,665,374,0
1207,682,843,1
1208,68,72,1
1209,572,643,1
1210,158,236,1
1211,571,940,1
1212,288,156,0
1213,292,825,1
1214,766,590,0
1215,275,367,0
1216,614,37,1
1217,786,328,1
1218,38,470,1
1219,781,396,0
1220,736,420,0
1221,409,79,0
1222,281,602,1
1223,722,301,1
1224,408,582,0
1225,274,70,0
1226,588,419,1
1227,61,17,0
1228,504,709,0
1229,886,828,1
1230,614,825,1
1231,913,306,1
1232,614,661,1
1233,933,170,0
1234,843,89,0
1235,585,886,1
1236,452,449,0
1237,204,21,0
1238,174,792,0
1239,81,294,0
1240,492,271,0
1241,298,761,1
1242,719,668,1
1243,119,767,0
1244,507,444,0
1245,400,75,1
1246,265,908,0
1247,238,83,0
1248,703,89,0
1249,281,133,1
1250,459,641,0
1251,84,658,0
1252,140,462,1
1253,890,885,0
1254,346,467,1
1255,269,778,0
1256,227,639,1
1257,298,354,1
1258,6,542,1
1259,649,34,0
1260,839,687,1
1261,721,774,0
1262,465,552,0
1263,752,201,1
1264,6,465,0
1265,933,915,1
1266,327,152,0
1267,561,168,0
1268,461,624,1
1269,878,217,0
1270,84,507,0
1271,437,630,0
1272,625,537,0
1273,364,786,0
1274,767,795,1
1275,461,411,1
1276,177,519,0
1277,561,787,0
1278,877,418,1
1279,747,434,0
1280,296,719,0
1281,766,292,1
1282,159,781,1
1283,140,202,1
1284,575,652,0
1285,201,886,1
1286,821,906,0
1287,810,236,1
1288,68,582,1
1289,461,556,1
1290,770,498,0
1291,424,711,0
1292,786,569,0
1293,806,89,0
1294,292,156,1
1295,12,792,0
1296,752,354,1
1297,250,422,0
1298,464,2,0
1299,281,736,1
1300,224,162,0
1301,281,740,1
1302,68,363,1
1303,362,279,1
1304,585,862,1
1305,119,291,1
1306,386,139,1
1307,766,271,0
1308,614,533,1
1309,586,374,1
1310,274,292,1
1311,682,232,1
1312,841,657,0
1313,227,940,1
1314,897,804,1
1315,767,390,1
1316,442,842,0
1317,472,600,1
1318,614,711,1
1319,229,281,1
1320,140,532,1
1321,465,660,0
1322,281,371,1
1323,614,100,1
1324,913,603,1
1325,578,355,1
1326,470,915,1
1327,556,379,0
1328,921,643,0
1329,556,471,0
1330,158,42,1
1331,292,736,1
1332,915,731,0
1333,839,99,1
1334,865,578,0
1335,472,868,1
1336,141,226,0
1337,850,218,0
1338,6,156,0
1339,461,945,1
1340,269,861,1
1341,352,659,1
1342,281,725,1
1343,671,945,0
1344,711,578,0
1345,86,20,1
1346,465,599,0
1347,614,306,1
1348,403,537,0
1349,682,484,1
1350,519,761,1
1351,933,539,0
1352,251,763,1
1353,504,678,0
1354,119,189,1
1355,877,668,0
1356,395,7,0
1357,614,692,1
1358,578,37,1
1359,472,763,1
1360,36,194,0
1361,394,352,0
1362,168,639,0
1363,380,495,0
1364,287,224,1
1365,513,682,0
1366,873,519,1
1367,140,763,1
1368,913,497,0
1369,169,303,0
1370,227,518,1
1371,643,486,0
1372,285,355,0
1373,461,328,1
1374,608,474,1
1375,408,665,0
1376,292,780,1
1377,131,263,0
1378,602,484,0
1379,374,682,0
1380,400,886,1
1381,394,41,0
1382,687,288,0
1383,851,697,0
1384,437,147,0
1385,55,604,0
1386,359,296,1
1387,480,182,1
1388,870,261,1
1389,793,902,1
1390,736,828,1
1391,292,150,1
1392,676,663,1
1393,274,161,0
1394,3,732,0
1395,770,270,0
1396,586,189,1
1397,328,291,1
1398,902,814,0
1399,287,393,1
1400,308,393,1
