,TF,Target,Label
0,910,515,1
1,910,9,1
2,910,497,1
3,910,358,1
4,910,197,1
5,399,662,1
6,819,170,1
7,819,348,1
8,819,354,1
9,819,367,1
10,819,1293,1
11,819,641,1
12,819,1032,1
13,909,348,1
14,909,9,1
15,909,563,1
16,909,521,1
17,909,31,1
18,909,367,1
19,909,1256,1
20,909,431,1
21,1248,431,1
22,1248,641,1
23,258,1258,1
24,258,706,1
25,258,1287,1
26,258,776,1
27,258,691,1
28,258,853,1
29,258,37,1
30,258,989,1
31,258,148,1
32,258,1203,1
33,258,794,1
34,258,1121,1
35,258,682,1
36,258,1269,1
37,258,307,1
38,258,1054,1
39,258,1169,1
40,258,703,1
41,258,543,1
42,258,533,1
43,258,578,1
44,258,532,1
45,258,783,1
46,258,936,1
47,258,1045,1
48,258,1242,1
49,258,562,1
50,258,378,1
51,258,1194,1
52,1023,240,1
53,1023,18,1
54,1023,70,1
55,1023,81,1
56,1023,445,1
57,1023,1168,1
58,1023,310,1
59,1023,1283,1
60,1023,40,1
61,1023,637,1
62,1023,362,1
63,1023,167,1
64,1023,721,1
65,1023,508,1
66,1023,633,1
67,1023,1021,1
68,1023,37,1
69,1023,687,1
70,1023,591,1
71,1023,960,1
72,1023,373,1
73,1023,1294,1
74,1023,582,1
75,1023,1035,1
76,1023,298,1
77,1023,488,1
78,1023,1047,1
79,1023,925,1
80,1023,89,1
81,1023,216,1
82,1023,426,1
83,1023,1171,1
84,1023,1244,1
85,1023,818,1
86,1023,1192,1
87,1023,710,1
88,1023,202,1
89,1023,561,1
90,1023,746,1
91,1023,776,1
92,1023,542,1
93,1023,53,1
94,1023,702,1
95,1023,1299,1
96,1023,213,1
97,1023,375,1
98,1023,794,1
99,1023,1,1
100,1023,198,1
101,1023,187,1
102,1023,1242,1
103,1023,1274,1
104,1023,302,1
105,1023,34,1
106,186,1256,1
107,186,34,1
108,186,637,1
109,936,9,1
110,936,367,1
111,936,354,1
112,936,822,1
113,936,702,1
114,936,1032,1
115,31,367,1
116,31,905,1
117,31,484,1
118,31,1120,1
119,31,1168,1
120,31,702,1
121,31,957,1
122,31,53,1
123,31,616,1
124,31,857,1
125,31,925,1
126,31,829,1
127,31,434,1
128,31,455,1
129,31,170,1
130,31,1058,1
131,31,365,1
132,31,1159,1
133,31,521,1
134,31,497,1
135,31,359,1
136,31,909,1
137,31,1246,1
138,31,818,1
139,921,31,1
140,921,1242,1
141,921,1206,1
142,921,674,1
143,921,868,1
144,921,915,1
145,921,1229,1
146,921,27,1
147,921,539,1
148,921,816,1
149,921,451,1
150,921,188,1
151,921,702,1
152,921,855,1
153,921,871,1
154,921,890,1
155,921,497,1
156,921,96,1
157,921,509,1
158,921,641,1
159,921,377,1
160,921,905,1
161,106,497,1
162,106,146,1
163,106,1038,1
164,106,182,1
165,106,508,1
166,106,905,1
167,106,1242,1
168,106,857,1
169,106,434,1
170,106,275,1
171,106,1227,1
172,390,104,1
173,390,508,1
