,TF,Target,Label
0,1135,960,0
1,464,831,1
2,627,219,1
3,1063,408,0
4,288,86,0
5,210,456,1
6,353,1076,0
7,347,794,1
8,521,1038,1
9,588,629,0
10,1053,467,1
11,662,476,0
12,277,661,0
13,464,387,1
14,627,719,1
15,1266,729,1
16,1285,998,0
17,179,861,0
18,829,358,1
19,902,941,1
20,881,295,0
21,573,438,0
22,1052,328,0
23,98,952,1
24,1021,367,1
25,336,958,0
26,288,969,1
27,434,497,1
28,849,590,1
29,873,520,0
30,258,682,1
31,381,306,0
32,256,621,0
33,423,1246,1
34,572,1247,1
35,367,116,1
36,591,957,1
37,1302,218,0
38,1256,1204,1
39,156,1099,0
40,464,1004,1
41,150,902,1
42,627,688,1
43,407,375,0
44,702,563,1
45,423,469,1
46,258,543,1
47,1001,596,0
48,1112,334,0
49,82,505,1
50,836,426,1
51,1174,1170,1
52,941,250,0
53,1140,1287,0
54,1145,1262,1
55,613,1283,0
56,1079,1131,0
57,105,362,0
58,590,143,1
59,1112,869,0
60,1114,591,1
61,915,423,1
62,1287,444,1
63,1205,1130,0
64,122,72,0
65,1023,542,1
66,1144,1258,0
67,1258,827,0
68,219,957,1
69,1230,986,1
70,1293,1224,0
71,216,1001,0
72,116,1287,1
73,1256,719,1
74,813,543,1
75,1038,372,1
76,535,1278,0
77,365,477,1
78,909,946,0
79,794,601,1
80,226,682,1
81,1053,477,1
82,505,324,1
83,1205,879,0
84,256,1116,0
85,4,1069,1
86,1159,1052,1
87,794,1008,1
88,951,323,1
89,161,228,1
90,265,1167,0
91,367,1000,1
92,951,367,1
93,210,15,0
94,744,1238,0
95,367,792,1
96,258,853,1
97,676,872,0
98,950,134,0
99,941,482,0
100,1264,1100,0
101,1050,1274,1
102,1204,306,0
103,1266,580,1
104,1256,1290,1
105,292,505,1
106,512,950,1
107,333,543,0
108,777,276,0
109,254,31,0
110,921,1206,1
111,909,563,1
112,766,1297,0
113,358,723,0
114,535,1274,0
115,1145,444,0
116,434,915,1
117,521,489,1
118,743,1213,0
119,873,1006,0
120,987,756,0
121,292,602,0
122,1290,372,1
123,1068,322,1
124,317,109,1
125,587,195,0
126,1178,1233,0
127,591,1005,1
128,310,633,1
129,574,722,0
130,819,181,0
131,627,1150,1
132,31,1183,0
133,206,484,0
134,497,269,0
135,324,63,0
136,452,1123,0
137,1158,1008,0
138,464,868,1
139,936,112,0
140,464,892,1
141,1172,430,0
142,336,561,0
143,150,1053,1
144,4,1290,1
145,464,1069,1
146,433,371,0
147,1135,477,1
148,1285,1209,1
149,554,599,0
150,726,260,0
151,977,601,0
152,88,1219,1
153,473,177,0
154,755,322,1
155,591,661,0
156,518,1238,0
157,226,144,1
158,1164,46,0
159,31,1168,1
160,464,386,1
161,676,192,1
162,502,1103,0
163,1038,116,1
164,641,1293,1
165,794,649,1
166,144,137,0
167,574,164,0
168,587,182,1
169,312,299,0
170,434,1062,1
171,1145,1146,0
172,505,1066,1
173,950,767,0
174,1159,129,1
175,987,816,0
176,1290,664,0
177,791,1186,0
178,464,38,1
179,959,324,1
180,210,621,0
181,333,203,0
182,1291,240,1
183,98,690,0
184,275,841,1
185,1266,676,1
186,1063,750,0
187,1220,51,0
188,999,356,0
189,538,1135,1
190,104,433,0
191,840,335,0
192,1023,34,1
193,763,735,0
194,627,995,1
195,794,835,1
196,477,944,1
197,1304,152,0
198,182,357,1
199,656,561,0
200,818,1088,0
201,627,115,1
202,216,493,0
203,1266,674,1
204,591,703,1
205,1181,573,1
206,1085,54,1
207,423,207,0
208,1205,1077,0
209,81,359,1
210,590,642,0
211,794,58,1
212,1293,515,0
213,434,348,1
214,497,622,1
215,443,437,0
216,554,1117,0
217,924,1040,0
218,186,637,1
219,912,1029,0
220,676,1232,1
221,226,925,1
222,627,822,1
223,464,245,1
224,781,793,0
225,328,380,0
226,464,99,1
227,521,1256,1
228,23,1296,0
229,434,1167,0
230,68,871,1
231,412,1270,0
232,464,452,1
233,745,1043,0
234,818,702,1
235,1178,787,0
236,98,682,1
237,536,217,0
238,627,711,1
239,1256,716,1
240,464,662,1
241,239,310,1
242,44,108,1
243,590,234,1
244,559,1174,1
245,726,1063,1
246,150,1182,1
247,1181,754,0
248,44,938,0
249,1256,884,1
250,836,719,1
251,1268,490,0
252,591,580,1
253,1266,1258,1
254,187,910,0
255,5,853,0
256,302,223,0
257,505,267,0
258,957,310,1
259,497,131,1
260,116,1001,0
261,399,799,0
262,275,9,1
263,722,343,0
264,791,1307,0
265,819,53,0
266,520,807,0
267,39,652,0
268,1038,353,1
269,444,1308,0
270,1032,506,0
271,430,605,0
272,836,1168,1
273,330,674,0
274,434,440,1
275,745,349,0
276,367,507,1
