,TF,Target,Label
0,673,1450,1
1,673,48,1
2,673,716,1
3,743,1536,1
4,743,1500,1
5,743,885,1
6,1385,1054,1
7,1385,1139,1
8,1385,903,1
9,1385,926,1
10,1385,929,1
11,1385,263,1
12,1385,1341,1
13,867,588,1
14,1517,1281,1
15,1517,1371,1
16,1517,1355,1
17,1517,244,1
18,1517,1370,1
19,1517,1291,1
20,647,1241,1
21,647,1057,1
22,647,1162,1
23,647,1469,1
24,1550,596,1
25,1550,1557,1
26,1550,459,1
27,1550,338,1
28,1550,1249,1
29,275,557,1
30,275,723,1
31,275,830,1
32,275,538,1
33,275,1281,1
34,275,1332,1
35,275,505,1
36,1585,1343,1
37,1585,48,1
38,1585,773,1
39,1585,600,1
40,1585,557,1
41,1585,649,1
42,1585,354,1
43,1585,1519,1
44,1585,145,1
45,731,509,1
46,731,903,1
47,731,1557,1
48,731,1519,1
49,731,1146,1
50,731,773,1
51,731,257,1
52,731,267,1
53,1427,1557,1
54,1541,48,1
55,1541,1031,1
56,1541,1363,1
57,1541,447,1
58,1541,1130,1
59,1091,461,1
60,1091,393,1
61,1091,197,1
62,1091,1327,1
63,1091,1443,1
64,1091,1403,1
65,1091,385,1
66,1091,1518,1
67,1091,335,1
68,1091,4,1
69,1091,612,1
70,1091,191,1
71,1091,733,1
72,1091,1592,1
73,1091,544,1
74,1091,1064,1
75,1091,1384,1
76,1091,1183,1
77,1091,1282,1
78,1027,468,1
79,1027,1236,1
80,1027,557,1
81,668,1053,1
82,668,1471,1
83,668,716,1
84,668,128,1
85,668,1494,1
86,668,254,1
87,668,189,1
88,668,69,1
89,668,678,1
90,668,1423,1
91,847,1454,1
92,1254,773,1
93,1254,1264,1
94,1254,588,1
95,1254,716,1
96,1254,1339,1
97,1254,1364,1
98,1254,520,1
99,1363,1308,1
100,1363,48,1
101,1363,1254,1
102,1363,716,1
103,1363,520,1
104,1107,1053,1
105,1107,1052,1
106,2,723,1
107,2,538,1
108,2,1038,1
109,2,658,1
110,2,317,1
111,2,1219,1
112,2,653,1
113,2,1438,1
114,2,1057,1
115,43,261,1
116,43,231,1
117,43,1575,1
118,43,317,1
119,43,105,1
120,43,649,1
121,374,1268,1
122,374,1501,1
123,374,1003,1
124,374,1191,1
125,1317,909,1
126,1317,582,1
127,1317,1,1
128,1317,1233,1
