,TF,Target,Label
0,416,556,0
1,9,216,1
2,731,1519,1
3,253,38,0
4,1132,971,1
5,121,1326,1
6,1181,138,0
7,1199,1576,1
8,1269,400,0
9,1054,201,0
10,1210,168,1
11,1053,1043,1
12,1199,1295,1
13,1053,1433,1
14,2,886,0
15,928,500,0
16,538,1185,1
17,1168,58,0
18,1548,877,0
19,1219,765,1
20,9,13,1
21,530,474,1
22,557,1277,0
23,1439,582,0
24,1447,919,1
25,1199,1141,1
26,1191,374,1
27,1359,309,1
28,1436,45,0
29,1168,697,0
30,1057,1112,0
31,664,545,0
32,494,1132,1
33,638,1542,1
34,530,364,1
35,834,1218,1
36,733,1386,1
37,48,1288,1
38,1060,1234,1
39,1496,467,1
40,192,1330,1
41,48,254,1
42,1273,243,0
43,494,1281,1
44,723,748,1
45,454,1438,1
46,1534,506,0
47,1224,465,1
48,306,267,1
49,504,84,0
50,1615,55,1
51,544,559,1
52,1408,1439,1
53,401,1407,0
54,1454,76,1
55,1364,616,1
56,1262,155,1
57,1408,1028,1
58,923,371,1
59,248,723,1
60,553,455,0
61,1061,992,0
62,1301,1307,0
63,867,261,0
64,520,693,0
65,1400,374,0
66,575,247,1
67,1058,495,0
68,645,113,0
69,1542,1331,1
70,510,425,0
71,192,1071,1
72,108,965,0
73,187,1312,0
74,762,979,0
75,1363,1308,1
76,675,522,0
77,384,1359,1
78,1219,379,1
79,627,1190,0
80,1072,1127,0
81,731,1544,0
82,492,153,0
83,593,403,0
84,1438,48,1
85,229,200,0
86,1060,678,1
87,566,1578,1
88,192,1289,1
89,1115,541,0
90,1214,248,1
91,1497,682,0
92,960,379,0
93,1468,1238,0
94,541,723,1
95,1063,1339,0
96,1147,1615,0
97,1185,1119,1
98,1454,527,1
99,275,505,1
100,1519,501,1
101,1283,466,0
102,669,1056,0
103,1222,691,0
104,91,1219,1
105,733,796,1
106,192,730,1
107,1541,1130,1
108,1053,266,0
109,1235,1394,0
110,647,1496,0
111,1551,1044,0
112,192,1111,1
113,530,200,1
114,1424,1055,0
115,1468,602,0
116,1454,719,1
117,1129,454,1
118,1060,1042,1
119,1274,391,0
120,923,154,0
121,1439,950,0
122,88,1241,1
123,360,601,1
124,1219,337,1
125,1308,1168,1
126,582,986,0
127,584,1305,0
128,1219,1117,1
129,884,170,0
130,614,1177,0
131,242,1167,0
132,1551,689,0
133,563,467,1
134,1199,120,1
135,814,1066,0
136,1339,151,1
137,1129,467,1
138,653,1029,1
139,336,765,0
140,1185,369,1
141,1580,1573,1
142,1191,957,1
143,416,1359,0
144,50,1578,1
145,1390,467,0
146,660,1057,1
147,867,588,1
148,16,914,0
149,566,803,0
150,559,258,0
151,1318,385,0
152,1064,1338,0
153,1219,773,1
154,637,1353,0
155,438,1526,0
156,1264,374,1
157,48,260,1
158,1339,545,0
159,1079,1242,0
160,458,1161,1
161,347,425,0
162,119,1054,1
163,254,566,1
164,1454,890,1
165,1149,1069,0
166,1169,1318,1
167,923,499,1
168,963,995,0
169,494,1,1
170,1219,652,1
171,2,843,0
172,1576,1057,1
173,490,1,1
174,1063,905,1
175,530,723,1
176,1169,520,0
177,566,381,0
178,1219,1054,1
179,71,91,0
180,1214,1494,0
181,1363,194,0
182,600,883,1
183,814,317,1
184,1308,830,1
185,878,798,0
186,1237,63,0
187,1057,1472,1
188,35,469,1
189,289,1102,0
190,897,764,0
191,1129,572,1
192,176,1133,0
193,1177,1014,0
194,98,716,1
195,9,920,1
196,1385,263,1
197,1233,490,1
198,1576,1419,1
199,1264,980,1
200,1224,818,1
201,1079,1223,1
202,1501,1479,0
203,1264,439,1
204,1169,1056,1
205,945,142,0
206,1078,675,1
207,368,453,0
208,1248,321,0
209,909,1343,0
210,192,1101,1
211,275,428,0
212,481,112,0
213,589,664,1
214,1471,144,0
215,491,1598,0
216,1210,384,1
217,48,175,1
218,1185,1303,1
219,1573,1231,1
220,254,1111,1
221,927,946,0
222,878,190,1
223,1315,884,0
224,1370,1355,1
225,985,1257,0
226,1062,1206,0
227,1519,166,1
228,274,1097,0
229,314,48,1
230,1585,326,0
231,544,333,1
232,773,492,1
233,191,484,0
234,8,138,0
235,647,1135,0
236,231,207,0
237,9,1203,1
238,773,414,1
239,748,512,0
240,1177,1451,0
241,1229,1157,1
242,59,586,0
243,1011,1373,0
244,1087,1002,0
245,48,1332,1
246,234,355,1
247,1439,919,0
248,1517,1370,1
249,1202,1314,0
250,64,190,1
251,190,64,1
252,1291,410,0
253,155,17,1
254,1495,48,1
255,1264,1067,1
256,247,366,1
257,374,1268,1
258,566,677,1
259,485,1561,1
260,742,273,0
261,669,970,0
262,1370,1003,1
263,566,278,1
264,120,32,0
265,1264,1148,1
266,211,1288,0
267,813,771,0
268,1149,455,1
269,1407,965,0
270,311,530,1
271,538,544,1
272,898,1221,1
273,254,668,1
274,1423,1477,0
275,1219,405,1
276,1078,1560,0
277,566,533,1
278,1312,1191,1
279,254,150,0
280,494,376,1
281,198,372,0
282,254,119,1
283,130,1592,0
284,1134,931,0
285,968,1492,1
286,1199,716,1
287,809,651,0
288,187,433,0
289,265,1567,0
290,382,616,0
291,267,276,0
292,951,1159,1
293,590,44,1
294,800,113,0
295,485,452,0
296,431,1222,1
297,192,604,1
298,454,1494,0
299,1488,917,0
300,887,152,0
301,1168,793,0
302,618,465,0
303,1494,1488,0
304,951,1438,1
305,1331,1439,1
306,1453,714,1
307,908,718,0
