,TF,Target,Label
0,953,581,1
1,827,684,1
2,827,1147,1
3,827,1177,1
4,20,483,1
5,20,587,1
6,20,763,1
7,20,873,1
8,20,1147,1
9,20,901,1
10,846,1100,1
11,846,541,1
12,846,426,1
13,846,1155,1
14,846,814,1
15,846,1060,1
16,846,977,1
17,846,428,1
18,846,953,1
19,846,781,1
20,846,944,1
21,846,887,1
22,846,1130,1
23,846,139,1
24,846,736,1
25,846,102,1
26,846,114,1
27,846,140,1
28,846,467,1
29,846,950,1
30,846,384,1
31,846,576,1
32,846,882,1
33,846,1112,1
34,846,68,1
35,846,567,1
36,846,681,1
37,454,1038,1
38,454,513,1
39,324,490,1
40,277,1008,1
41,277,581,1
42,277,617,1
43,277,18,1
44,277,268,1
45,277,797,1
46,277,215,1
47,277,858,1
48,277,596,1
49,277,384,1
50,277,977,1
51,277,962,1
52,277,706,1
53,277,1041,1
54,277,823,1
55,277,519,1
56,277,930,1
57,277,300,1
58,819,394,1
59,819,626,1
60,819,78,1
61,819,404,1
62,819,548,1
63,819,188,1
64,819,864,1
65,819,602,1
66,819,843,1
67,819,444,1
68,819,8,1
69,819,977,1
70,819,799,1
71,819,858,1
72,819,579,1
73,819,1177,1
74,819,1156,1
75,819,826,1
76,819,719,1
77,819,1167,1
78,819,881,1
79,819,842,1
80,819,846,1
81,819,1053,1
82,819,1095,1
83,819,1092,1
84,858,786,1
85,858,59,1
86,858,1182,1
87,858,1170,1
88,858,977,1
89,858,979,1
90,858,118,1
91,858,810,1
92,858,484,1
93,858,735,1
94,858,261,1
95,858,384,1
96,858,638,1
97,858,164,1
98,858,999,1
99,858,62,1
100,858,579,1
101,858,940,1
102,858,534,1
103,858,897,1
104,858,846,1
105,858,463,1
106,858,160,1
107,858,217,1
108,858,1195,1
109,858,40,1
110,858,1095,1
111,858,426,1
112,858,255,1
113,76,290,1
114,76,781,1
115,76,1046,1
116,76,847,1
117,76,596,1
118,76,721,1
119,76,980,1
120,76,1162,1
121,76,779,1
122,76,846,1
123,76,930,1
124,76,40,1
125,76,1041,1
126,76,135,1
127,76,166,1
128,76,1177,1
129,76,314,1
130,1096,338,1
131,1096,694,1
132,1096,61,1
133,1096,1120,1
134,1096,1039,1
135,1096,18,1
136,1096,261,1
137,1096,758,1
138,1096,86,1
139,1096,927,1
140,1096,653,1
141,1096,822,1
142,1096,384,1
143,1096,667,1
144,1096,272,1
145,1096,146,1
146,1096,858,1
147,1096,44,1
148,1096,569,1
149,1096,866,1
150,1096,1057,1
151,1096,828,1
152,1096,1171,1
153,1096,135,1
154,1096,483,1
155,1096,191,1
156,1096,118,1
157,1096,871,1
158,1096,847,1
159,1096,339,1
160,1096,692,1
161,1096,518,1
162,1096,803,1
163,1096,155,1
164,1096,540,1
165,1096,853,1
166,1096,115,1
167,1096,575,1
168,1096,589,1
169,1096,290,1
170,1096,517,1
171,1096,917,1
172,1096,344,1
173,1096,721,1
174,1096,779,1
175,1096,1052,1
176,1096,1140,1
177,78,779,1
178,78,56,1
179,78,866,1
180,78,858,1
181,78,40,1
182,78,853,1
183,78,927,1
184,78,1096,1
185,78,1057,1
186,78,261,1
187,78,439,1
188,78,667,1
189,78,176,1
190,78,44,1
191,78,819,1
192,78,1039,1
193,736,819,1
194,736,62,1
195,736,847,1
196,736,575,1
197,811,736,1
198,811,1087,1
199,811,228,1
200,811,608,1
201,1082,185,1
202,1082,483,1
203,228,1096,1
204,228,1144,1
205,228,621,1
206,228,68,1
207,228,1177,1
208,228,589,1
209,228,711,1
210,228,100,1
211,228,918,1
212,228,483,1
213,228,1146,1
214,1131,325,1
215,1131,798,1
216,1131,1190,1
217,1131,7,1
218,1131,725,1
219,1131,473,1
220,1131,256,1
221,1131,1156,1
222,1131,884,1
223,1131,1138,1
224,1131,405,1
225,1131,744,1
226,1131,498,1
227,1131,628,1
228,1131,366,1
229,1131,398,1
230,743,152,1
231,743,62,1
232,743,76,1
233,743,853,1
234,743,967,1
235,714,781,1
236,714,1101,1
237,714,100,1
238,714,647,1
239,714,455,1
240,714,99,1
241,714,395,1
242,714,728,1
243,714,800,1
244,714,803,1
245,714,483,1
246,714,425,1
247,847,483,1
248,847,78,1
249,847,484,1
250,847,575,1
251,1177,692,1
252,1177,846,1
253,1177,468,1
254,1177,105,1
255,1177,1112,1
256,1177,581,1
257,1177,435,1
258,1177,228,1
259,831,277,1
260,831,415,1
261,831,718,1
262,831,1146,1
263,831,861,1
264,831,376,1
265,831,940,1
266,831,738,1
267,831,721,1
268,831,979,1
269,831,43,1
270,831,454,1
271,831,406,1
272,831,12,1
273,831,883,1
274,415,255,1
275,415,940,1
276,415,831,1
277,415,662,1
278,415,1146,1
279,130,483,1
280,130,14,1
281,384,1095,1
282,384,534,1
283,384,979,1
284,384,217,1
285,384,579,1
286,384,738,1
287,384,484,1
288,384,786,1
289,384,1187,1
290,384,426,1
291,384,300,1
292,384,930,1
293,384,65,1
294,384,1167,1
295,384,1082,1
296,384,277,1
297,384,439,1
298,384,1035,1
299,384,546,1
300,384,59,1
301,384,62,1
302,384,229,1
303,384,326,1
304,384,46,1
305,384,312,1
306,384,538,1
307,384,135,1
308,384,3,1
309,384,590,1
310,384,1041,1
311,384,810,1
312,384,160,1
313,384,1102,1
314,384,440,1
315,384,26,1
316,384,57,1
317,384,164,1
318,384,714,1
319,384,1185,1
320,384,1033,1
321,384,129,1
322,384,500,1
323,384,40,1
324,384,608,1
325,384,736,1
326,384,839,1
327,790,538,1
328,1095,846,1
329,989,998,1
330,989,1156,1
331,989,164,1
332,1088,485,1
333,1088,781,1
334,1088,657,1
335,1088,889,1
336,1088,777,1
337,1088,147,1
338,1088,293,1
339,1088,757,1
340,1088,254,1
341,1088,1021,1
342,1088,1039,1
343,1088,493,1
344,1088,617,1
345,1088,543,1
346,1088,615,1
347,1088,22,1
348,1088,135,1
349,1088,1156,1
350,1088,43,1
351,1088,823,1
352,1088,1147,1
353,1088,1178,1
354,1088,834,1
355,1088,105,1
356,1088,140,1
357,1088,319,1
358,1088,120,1
359,1088,229,1
360,1088,957,1
361,1088,773,1
362,1088,446,1
363,1088,541,1
364,1088,908,1
365,1088,182,1
366,1088,162,1
367,1088,711,1
368,1088,57,1
369,1088,906,1
370,1088,2,1
371,1088,230,1
372,1088,1096,1
373,1088,359,1
374,1088,54,1
375,1088,392,1
376,1088,160,1
377,1088,546,1
378,1088,245,1
379,977,1089,1
380,977,316,1
381,977,156,1
382,977,91,1
383,977,352,1
384,977,178,1
385,977,230,1
386,977,376,1
387,977,291,1
388,977,1116,1
389,977,245,1
390,977,1190,1
391,977,475,1
392,977,535,1
393,977,463,1
394,977,271,1
395,977,1129,1
396,977,1035,1
397,977,150,1
398,977,579,1
399,977,901,1
400,977,780,1
401,977,435,1
402,977,440,1
403,977,100,1
404,977,210,1
405,977,1184,1
406,977,325,1
407,977,36,1
408,977,817,1
409,977,647,1
410,977,877,1
411,977,366,1
412,977,219,1
413,977,910,1
414,977,510,1
415,977,1171,1
416,977,252,1
417,977,1095,1
418,977,732,1
419,977,581,1
420,977,164,1
421,977,845,1
422,977,1179,1
423,977,659,1
424,977,854,1
425,977,891,1
426,977,1174,1
427,977,770,1
428,977,192,1
429,977,546,1
430,977,551,1
431,977,976,1
432,977,675,1
433,977,951,1
434,977,144,1
435,977,741,1
436,977,491,1
437,977,18,1
438,977,409,1
439,977,1200,1
440,977,237,1
441,977,881,1
442,977,439,1
443,977,871,1
444,977,126,1
445,977,908,1
446,977,261,1
447,977,228,1
448,977,1135,1
449,977,343,1
450,977,423,1
451,977,847,1
452,977,526,1
453,977,612,1
454,977,395,1
455,198,739,1
456,198,151,1
457,198,150,1
458,198,159,1
459,198,1142,1
460,198,481,1
461,198,343,1
462,198,675,1
463,198,66,1
464,198,796,1
465,198,1044,1
466,198,423,1
467,198,658,1
468,198,366,1
469,198,53,1
470,198,912,1
471,198,245,1
472,198,354,1
473,198,854,1
474,198,1176,1
475,198,1106,1
476,198,1041,1
