,TF,Target,Label
0,168,666,0
1,224,78,0
2,587,1147,1
3,255,415,1
4,246,425,1
5,168,638,1
6,198,630,1
7,687,279,0
8,1041,468,1
9,950,992,0
10,22,1106,1
11,205,386,0
12,977,352,1
13,785,1068,0
14,648,9,1
15,166,566,0
16,743,816,0
17,1034,235,0
18,858,484,1
19,1144,899,0
20,1144,1036,0
21,150,163,1
22,858,1170,1
23,1096,540,1
24,100,322,0
25,1088,757,1
26,1096,290,1
27,469,644,0
28,277,519,1
29,1177,468,1
30,260,171,0
31,1170,370,0
32,196,858,1
33,1184,497,0
34,1139,1176,0
35,1041,395,0
36,977,891,1
37,228,643,0
38,384,500,1
39,791,739,0
40,527,491,0
41,1102,1166,0
42,743,848,0
43,1088,1039,1
44,166,76,1
45,1184,230,0
46,198,252,1
47,648,726,1
48,78,21,0
49,1096,866,1
50,246,300,1
51,819,1156,1
52,7,48,1
53,1041,587,1
54,610,380,0
55,167,527,1
56,469,61,0
57,575,989,1
58,454,698,0
59,918,238,0
60,648,364,1
61,505,767,1
62,684,456,0
63,977,1190,1
64,827,913,0
65,750,577,0
66,178,744,1
67,246,645,1
68,166,0,1
69,1112,72,0
70,274,1061,0
71,100,1001,0
72,873,548,0
73,78,40,1
74,228,621,1
75,666,479,1
76,1041,57,1
77,274,425,0
78,777,1144,0
79,324,659,0
80,1088,105,1
81,918,967,0
82,1186,1086,0
83,1165,7,1
84,977,847,1
85,1035,858,1
86,130,14,1
87,1025,918,1
88,1096,135,1
89,921,460,1
90,326,930,0
91,78,927,1
92,198,1017,0
93,527,1132,1
94,358,907,0
95,216,1125,0
96,1184,624,0
97,198,1171,1
98,1088,669,0
99,846,114,1
100,1186,519,0
101,168,408,0
102,819,1177,1
103,68,507,1
104,354,129,0
105,316,1033,0
106,1095,1124,0
107,1177,1112,1
108,800,941,0
109,610,1150,0
110,610,646,0
111,873,300,0
112,648,350,1
113,611,810,0
114,205,125,1
115,687,1047,0
116,343,359,0
117,1040,226,0
118,415,255,1
119,800,714,1
120,998,839,0
121,664,970,0
122,7,108,1
123,811,1087,1
124,634,468,0
125,899,434,0
126,791,23,0
127,977,423,1
128,198,942,1
129,133,333,0
130,198,404,1
131,469,888,1
132,977,877,1
133,1132,840,0
134,967,558,0
135,22,350,1
136,274,338,0
137,684,1119,0
138,1041,834,1
139,989,1156,1
