,TF,Target,Label
0,199,82,1
1,199,74,1
2,199,137,1
3,199,553,1
4,199,363,1
5,283,494,1
6,283,363,1
7,283,212,1
8,283,472,1
9,283,141,1
10,283,224,1
11,283,538,1
12,283,128,1
13,283,590,1
14,283,532,1
15,283,367,1
16,283,232,1
17,283,84,1
18,283,28,1
19,283,78,1
20,471,477,1
21,333,466,1
22,360,559,1
23,360,299,1
24,360,389,1
25,360,315,1
26,360,187,1
27,360,283,1
28,360,29,1
29,360,422,1
30,360,550,1
31,453,292,1
32,453,536,1
33,453,436,1
34,453,213,1
35,453,15,1
36,453,304,1
37,453,263,1
38,429,67,1
39,429,357,1
40,367,198,1
41,367,82,1
42,67,82,1
43,67,292,1
44,67,81,1
45,67,78,1
46,67,429,1
47,29,301,1
48,29,363,1
49,29,475,1
50,29,318,1
51,29,261,1
52,29,413,1
53,29,283,1
54,27,293,1
55,27,536,1
56,27,251,1
57,27,109,1
58,64,200,1
59,64,232,1
60,64,109,1
61,64,57,1
62,64,79,1
63,263,232,1
64,263,194,1
65,263,270,1
66,263,590,1
67,263,575,1
68,263,631,1
69,263,437,1
70,263,394,1
71,263,177,1
72,263,362,1
73,263,410,1
74,263,224,1
75,263,622,1
76,263,441,1
77,263,140,1
78,263,219,1
79,263,104,1
80,263,6,1
81,263,283,1
82,263,175,1
83,263,47,1
84,263,20,1
85,394,590,1
86,394,283,1
87,357,410,1
88,357,537,1
89,357,331,1
90,357,226,1
91,357,212,1
92,357,198,1
93,357,82,1
94,357,422,1
95,437,526,1
96,437,432,1
97,437,514,1
98,437,450,1
99,437,362,1
100,437,519,1
101,437,23,1
102,437,0,1
103,437,150,1
104,437,128,1
105,437,561,1
106,437,366,1
107,437,8,1
108,437,136,1
109,437,363,1
110,437,74,1
111,437,559,1
112,437,422,1
113,437,237,1
114,437,396,1
115,437,475,1
116,437,595,1
117,437,201,1
118,437,48,1
119,363,220,1
120,363,154,1
121,363,489,1
122,363,345,1
123,363,562,1
124,363,261,1
125,363,170,1
126,363,484,1
127,363,177,1
128,363,3,1
129,363,533,1
130,363,570,1
131,363,224,1
132,363,497,1
133,363,394,1
134,363,212,1
135,363,82,1
136,363,564,1
137,363,577,1
138,363,464,1
139,363,217,1
140,363,256,1
141,363,67,1
142,363,475,1
143,363,34,1
144,363,521,1
145,363,440,1
146,363,306,1
147,363,472,1
148,363,377,1
149,363,486,1
150,363,402,1
151,363,368,1
152,363,414,1
153,363,389,1
154,363,134,1
155,363,166,1
156,363,186,1
157,363,508,1
158,137,480,1
159,137,464,1
160,137,310,1
161,137,364,1
162,137,274,1
163,137,261,1
164,137,186,1
165,137,210,1
166,137,235,1
167,137,336,1
168,137,300,1
169,137,345,1
170,137,204,1
171,137,508,1
172,137,351,1
173,137,525,1
174,137,570,1
175,137,121,1
176,137,463,1
177,137,217,1
178,137,62,1
179,137,430,1
180,137,258,1
181,137,521,1
182,137,497,1
183,137,421,1
184,137,122,1
185,137,298,1
186,137,596,1
187,137,24,1
188,137,377,1
189,137,256,1
190,137,98,1
191,137,554,1
192,137,424,1
193,137,13,1
194,137,134,1
195,137,486,1
196,137,3,1
197,137,496,1
198,137,104,1
199,137,417,1
200,137,545,1
201,137,197,1
202,137,154,1
203,137,67,1
204,137,338,1
205,137,83,1
206,137,440,1
207,198,363,1
208,198,450,1
209,50,224,1
210,50,475,1
211,482,435,1
212,482,557,1
213,482,372,1
214,28,226,1
215,28,351,1
216,28,206,1
217,28,299,1
218,28,165,1
219,435,409,1
220,435,580,1
221,377,305,1
222,157,283,1
223,436,517,1
224,82,299,1
225,82,485,1
226,82,199,1
227,82,471,1
228,82,161,1
229,82,53,1
230,82,263,1
231,82,536,1
232,82,561,1
233,82,67,1
234,276,255,1
235,276,486,1
236,276,216,1
237,276,152,1
238,276,363,1
239,276,50,1
240,276,177,1
241,276,289,1
242,276,232,1
243,276,262,1
244,276,278,1
245,177,437,1
246,177,363,1
247,559,475,1
248,557,209,1
249,536,48,1
250,536,162,1
251,536,471,1
252,536,212,1
253,536,219,1
254,79,631,1
255,79,64,1
256,79,293,1
257,589,119,1
258,485,82,1
259,6,631,1
260,353,449,1
261,414,259,1
262,414,86,1
263,414,102,1
264,414,118,1
265,414,30,1
266,550,475,1
267,99,396,1
268,99,606,1
269,439,259,1
270,439,621,1
271,351,290,1
272,351,28,1
273,351,226,1
274,575,226,1
275,575,426,1
276,165,28,1
277,81,554,1
278,292,81,1
279,304,453,1
280,42,323,1
281,42,554,1
282,42,345,1
283,42,74,1
284,42,500,1
285,42,30,1
286,42,350,1
287,42,620,1
288,251,27,1
289,251,293,1
290,251,64,1
291,251,109,1
292,293,183,1
293,293,504,1
294,293,251,1
295,293,609,1
296,293,57,1
297,293,268,1
298,293,64,1
299,161,180,1
300,34,292,1
301,34,363,1
302,224,590,1
303,204,290,1
304,204,21,1
305,204,182,1
306,204,407,1
307,204,561,1
308,204,345,1
309,204,350,1
310,204,102,1
311,204,273,1
312,204,554,1
313,204,323,1
314,204,30,1
315,204,240,1
316,204,297,1
317,204,299,1
318,204,500,1
319,204,411,1
320,204,279,1
321,500,82,1
322,500,299,1
323,500,273,1
324,500,345,1
325,500,297,1
326,500,350,1
327,500,42,1
328,500,620,1
329,500,478,1
330,500,561,1
331,500,246,1
332,500,30,1
333,500,290,1
334,500,204,1
335,500,74,1
336,500,411,1
337,500,399,1
338,500,554,1
