,TF,Target,Label
0,42,30,1
1,79,582,0
2,323,42,1
3,137,210,1
4,608,331,0
5,3,73,0
6,500,299,1
7,575,226,1
8,276,557,0
9,347,358,1
10,204,182,1
11,559,77,0
12,580,316,0
13,79,631,1
14,363,217,1
15,350,500,1
16,304,362,0
17,137,197,1
18,226,145,0
19,589,566,0
20,621,130,0
21,68,414,1
22,510,566,0
23,518,207,0
24,453,409,0
25,351,226,1
26,471,477,1
27,559,221,0
28,500,399,1
29,373,471,0
30,453,263,1
31,472,87,0
32,433,335,0
33,58,491,0
34,204,561,1
35,561,273,1
36,350,273,1
37,535,308,0
38,517,354,0
39,156,434,0
40,414,102,1
41,323,497,1
42,137,545,1
43,99,606,1
44,561,82,1
45,137,97,0
46,276,576,0
47,137,83,1
48,64,109,1
49,204,240,1
50,276,486,1
51,187,201,0
52,50,182,0
53,353,594,0
54,1,104,0
55,161,601,0
56,3,82,0
57,350,53,1
58,371,182,1
59,251,452,0
60,284,564,0
61,299,561,1
62,299,53,1
63,485,454,0
64,533,324,0
65,549,36,0
66,78,161,1
67,589,191,0
68,276,232,1
69,363,389,1
70,94,0,0
71,435,563,0
72,251,293,1
73,29,192,0
74,156,67,0
75,137,486,1
76,199,137,1
77,78,606,1
78,263,437,1
79,510,24,0
80,377,75,0
81,78,39,1
82,375,33,1
83,137,417,1
84,347,323,0
85,34,292,1
86,429,67,1
87,137,593,0
88,276,163,0
89,371,593,0
90,28,173,0
91,224,318,0
92,536,471,1
93,410,67,1
94,263,622,1
95,559,522,0
96,226,575,1
97,437,514,1
98,405,320,0
99,299,118,1
100,363,402,1
101,561,399,1
102,94,124,0
103,299,604,1
104,557,67,0
105,283,590,1
106,204,416,0
107,50,422,0
108,357,420,0
109,323,399,1
110,536,48,1
111,429,357,1
112,375,226,1
113,28,206,1
114,187,428,0
115,263,283,1
116,396,371,0
117,445,87,0
118,84,229,0
119,94,7,0
120,263,590,1
121,82,199,1
122,353,290,0
123,375,173,0
124,134,66,0
125,445,528,0
126,251,241,0
127,360,315,1
128,137,98,1
129,6,600,0
130,78,560,1
131,606,346,0
132,37,600,0
133,500,297,1
134,29,188,0
135,429,199,0
136,292,304,0
137,293,547,0
138,137,134,1
139,351,181,0
140,27,109,1
141,311,457,0
142,364,251,0
143,1,588,0
144,485,578,0
145,270,73,1
146,414,86,1
147,293,575,0
148,3,210,1
149,206,28,1
150,276,152,1
151,350,42,1
152,137,554,1
153,218,55,0
154,435,580,1
155,276,255,1
156,350,398,0
157,204,19,0
158,134,547,0
159,367,82,1
160,311,67,0
161,89,92,0
162,27,251,1
163,42,74,1
164,621,619,0
165,154,288,0
166,550,37,0
167,293,367,0
168,198,470,0
169,436,258,0
170,78,38,1
171,482,372,1
172,82,561,1
173,137,121,1
174,276,238,0
175,99,524,0
176,363,345,1
177,263,362,1
178,409,132,0
179,437,432,1
180,357,422,1
181,189,407,1
182,226,28,1
183,441,610,0
184,350,512,0
185,396,201,0
186,533,183,0
187,204,273,1
188,602,624,0
189,189,271,0
190,561,620,1
191,29,488,0
192,161,261,0
193,363,414,1
194,293,268,1
195,472,307,0
196,410,540,0
197,323,561,1
198,631,253,0
199,363,306,1
200,410,536,0
201,323,266,1
202,270,566,0
203,532,160,0
204,263,177,1
205,367,290,0
206,350,361,1
207,28,165,1
208,37,373,0
209,199,553,1
210,82,299,1
211,209,74,1
212,363,383,0
213,204,374,0
214,536,212,1
215,175,386,0
216,292,81,1
217,157,283,1
218,73,270,1
219,437,561,1
220,276,350,0
221,471,298,0
222,357,410,1
223,350,219,0
224,58,23,0
225,363,484,1
226,263,224,1
227,204,297,1
228,433,523,0
229,198,537,0
230,165,28,1
231,532,125,0
232,607,439,0
233,64,393,0
234,353,50,0
235,396,570,0
236,42,323,1
237,360,299,1
238,333,431,0
239,628,171,0
240,518,4,0
241,561,610,1
242,270,207,0
243,1,472,0
244,363,489,1
245,70,509,0
246,439,621,1
247,204,407,1
248,445,449,0
249,441,566,0
250,67,341,0
251,224,141,0
252,562,214,0
253,436,517,1
254,31,453,0
255,283,367,1
256,83,419,0
257,350,246,1
258,628,589,0
259,561,21,1
260,500,82,1
261,437,450,1
262,363,475,1
263,70,250,0
264,433,594,0
265,518,410,1
266,358,586,0
267,333,466,1
268,323,279,1
269,510,620,0
270,471,108,0
271,299,80,0
272,437,475,1
273,557,455,0
274,525,265,0
275,363,368,1
276,557,187,0
277,79,293,1
278,137,464,1
279,29,413,1
280,536,219,1
281,364,401,0
282,495,493,0
283,251,27,1
284,84,517,0
285,137,261,1
286,608,257,0
287,137,596,1
288,363,134,1
289,206,339,0
290,137,186,1
291,589,137,0
292,363,177,1
293,323,564,0
294,198,96,0
295,137,521,1
296,81,571,0
297,561,220,0
298,559,73,0
299,436,363,0
