,TF,Target,Label
0,91,472,1
1,91,393,1
2,116,299,1
3,116,246,1
4,116,80,1
5,116,327,1
6,116,621,1
7,116,51,1
8,116,658,1
9,116,328,1
10,116,534,1
11,116,604,1
12,58,440,1
13,58,316,1
14,58,416,1
15,58,202,1
16,58,168,1
17,58,204,1
18,58,190,1
19,58,542,1
20,58,87,1
21,58,402,1
22,58,200,1
23,58,10,1
24,58,472,1
25,58,353,1
26,74,606,1
27,74,144,1
28,74,617,1
29,74,641,1
30,74,17,1
31,74,105,1
32,74,243,1
33,517,654,1
34,517,625,1
35,516,31,1
36,516,485,1
37,516,489,1
38,516,445,1
39,516,266,1
40,245,222,1
41,245,296,1
42,245,459,1
43,245,168,1
44,245,654,1
45,245,524,1
46,382,400,1
47,382,272,1
48,382,604,1
49,382,325,1
50,382,81,1
51,382,616,1
52,442,639,1
53,442,570,1
54,442,73,1
55,236,328,1
56,654,374,1
57,654,247,1
58,654,459,1
59,654,222,1
60,654,594,1
61,654,493,1
62,654,573,1
63,654,9,1
64,654,645,1
65,654,245,1
66,604,532,1
67,604,348,1
68,604,573,1
69,604,247,1
70,604,400,1
71,604,566,1
72,604,653,1
73,604,353,1
74,604,328,1
75,604,4,1
76,604,527,1
77,604,504,1
78,604,293,1
79,604,217,1
80,604,393,1
81,604,77,1
82,604,199,1
83,604,365,1
84,604,544,1
85,604,238,1
86,604,541,1
87,604,675,1
88,604,629,1
89,604,378,1
90,604,13,1
91,604,401,1
92,604,268,1
93,604,183,1
94,594,679,1
95,594,132,1
96,238,171,1
97,123,414,1
98,524,654,1
99,51,408,1
100,51,116,1
101,194,477,1
102,194,577,1
103,194,30,1
104,194,546,1
105,194,690,1
106,194,604,1
107,194,58,1
108,606,472,1
109,606,400,1
110,171,382,1
111,171,345,1
112,222,400,1
113,222,540,1
114,540,648,1
115,540,442,1
116,540,272,1
117,540,507,1
118,540,91,1
119,583,431,1
120,583,171,1
121,541,127,1
122,345,355,1
123,345,171,1
124,243,482,1
125,243,236,1
126,105,74,1
127,431,583,1
128,431,58,1
129,639,542,1
130,653,243,1
131,31,566,1
132,31,629,1
133,31,244,1
134,31,489,1
135,31,340,1
136,31,445,1
137,31,520,1
138,244,31,1
139,244,489,1
140,244,520,1
141,244,266,1
142,244,445,1
143,244,516,1
144,244,566,1
145,409,606,1
146,409,58,1
147,409,565,1
148,409,602,1
149,409,131,1
150,409,291,1
151,409,41,1
152,409,569,1
153,409,428,1
154,409,643,1
155,409,543,1
156,409,647,1
157,409,555,1
158,409,621,1
159,409,478,1
160,409,222,1
161,671,232,1
162,671,373,1
163,671,513,1
164,671,656,1
165,671,300,1
166,671,559,1
167,671,611,1
168,671,403,1
169,671,432,1
170,671,3,1
171,671,623,1
172,671,486,1
173,671,185,1
174,671,566,1
175,671,685,1
176,671,183,1
177,671,65,1
178,671,422,1
179,671,410,1
180,671,544,1
181,671,325,1
182,671,462,1
183,671,328,1
184,671,353,1
185,671,532,1
186,671,199,1
187,671,541,1
188,671,38,1
189,671,323,1
190,518,680,1
191,203,535,1
192,686,149,1
