,TF,Target,Label
0,203,433,0
1,226,201,0
2,203,220,0
3,280,302,0
4,409,58,1
5,123,414,1
6,51,15,0
7,470,247,0
8,471,91,0
9,219,668,0
10,524,576,0
11,222,273,0
12,74,513,0
13,51,679,0
14,604,13,1
15,244,641,0
16,409,428,1
17,74,144,1
18,243,482,1
19,31,613,0
20,671,462,1
21,230,34,0
22,77,292,0
23,671,185,1
24,382,325,1
25,171,615,0
26,654,363,0
27,226,355,0
28,409,469,0
29,604,573,1
30,442,157,0
31,382,558,0
32,245,654,1
33,51,392,0
34,671,199,1
35,516,31,1
36,604,544,1
37,639,516,0
38,686,651,0
39,335,199,0
40,116,534,1
41,528,47,0
42,222,419,0
43,58,402,1
44,409,643,1
45,116,658,1
46,517,204,0
47,516,445,1
48,409,555,1
49,77,251,0
50,671,566,1
51,516,266,1
52,671,656,1
53,517,654,1
54,51,60,0
55,639,44,0
56,583,431,1
57,431,296,0
58,516,145,0
59,592,128,0
60,31,244,1
61,471,538,0
62,518,424,0
63,409,543,1
64,31,174,0
65,219,119,0
66,606,295,0
67,194,604,1
68,31,520,1
69,116,604,1
70,31,445,1
71,323,562,0
72,244,445,1
73,116,246,1
74,516,485,1
75,236,233,0
76,58,316,1
77,116,51,1
78,527,425,0
79,671,300,1
80,524,326,0
81,116,327,1
82,409,179,0
83,540,104,0
84,654,9,1
85,171,15,0
86,280,510,0
87,345,355,1
88,671,544,1
89,540,91,1
90,61,103,0
91,686,195,0
92,409,606,1
93,74,265,0
94,191,276,0
95,604,328,1
96,518,89,0
97,604,653,1
98,583,503,0
99,409,565,1
100,212,60,0
101,671,403,1
102,592,181,0
103,74,521,0
104,58,440,1
105,541,531,0
106,323,472,0
107,226,317,0
108,244,489,1
109,91,393,1
110,409,478,1
111,606,174,0
112,516,443,0
113,382,604,1
114,409,546,0
115,527,263,0
116,527,318,0
117,671,325,1
118,431,614,0
119,382,123,0
120,654,374,1
121,604,675,1
122,471,314,0
123,442,639,1
124,527,218,0
125,230,595,0
126,518,570,0
127,345,46,0
128,244,113,0
129,409,621,1
130,540,507,1
131,604,217,1
132,245,386,0
133,238,620,0
134,31,489,1
135,686,524,0
136,244,31,1
137,671,373,1
138,236,172,0
139,431,689,0
140,409,131,1
141,653,243,1
142,470,181,0
143,671,685,1
144,167,50,0
145,244,516,1
146,604,401,1
147,541,135,0
148,594,132,1
149,518,680,1
150,517,494,0
151,442,570,1
152,492,36,0
153,671,38,1
154,244,316,0
155,244,566,1
156,604,378,1
157,74,606,1
158,116,7,0
159,245,296,1
160,365,160,0
161,686,149,1
162,654,247,1
163,382,272,1
164,58,472,1
165,671,65,1
166,194,477,1
167,517,625,1
168,604,629,1
169,470,440,0
170,604,527,1
171,606,553,0
172,244,520,1
173,604,247,1
174,606,472,1
175,83,508,0
176,245,524,1
177,604,348,1
178,528,155,0
179,518,568,0
180,222,145,0
181,604,268,1
182,245,168,1
183,409,222,1
184,58,190,1
185,58,416,1
186,219,216,0
187,541,650,0
188,222,540,1
189,323,383,0
190,604,77,1
191,116,118,0
192,492,216,0
193,116,536,0
194,671,532,1
195,654,573,1
196,671,611,1
197,583,387,0
198,51,116,1
199,516,489,1
200,527,83,0
201,524,199,0
202,516,435,0
203,219,175,0
204,654,590,0
205,653,94,0
206,194,30,1
207,58,542,1
208,238,171,1
209,382,616,1
210,540,272,1
211,492,648,0
212,540,648,1
213,639,542,1
214,58,200,1
215,639,25,0
216,226,0,0
217,191,672,0
218,431,58,1
219,236,93,0
220,230,112,0
221,604,238,1
222,470,29,0
223,74,641,1
224,671,232,1
225,171,382,1
226,382,548,0
227,527,227,0
228,654,317,0
229,91,530,0
230,194,690,1
231,77,524,0
232,238,575,0
233,611,240,0
234,524,513,0
235,604,353,1
236,671,358,0
237,541,127,1
238,219,74,0
239,606,400,1
240,409,602,1
241,116,80,1
242,409,291,1
243,671,541,1
244,58,168,1
245,323,465,0
246,365,687,0
247,518,640,0
248,168,89,0
249,527,40,0
250,238,262,0
251,74,80,0
252,414,658,0
253,541,269,0
254,236,16,0
255,74,617,1
256,91,256,0
257,671,513,1
258,74,243,1
259,671,323,1
260,604,183,1
261,335,417,0
262,51,553,0
263,226,437,0
264,653,269,0
265,31,629,1
266,31,340,1
267,671,422,1
268,604,4,1
269,611,564,0
270,594,199,0
271,31,566,1
272,91,424,0
273,654,459,1
274,604,504,1
275,604,532,1
276,280,157,0
277,592,349,0
278,442,272,0
279,686,398,0
280,382,557,0
281,245,222,1
282,583,277,0
283,604,199,1
284,116,328,1
285,244,324,0
286,414,435,0
287,74,17,1
288,518,632,0
289,471,515,0
290,91,472,1
291,191,106,0
292,654,245,1
293,382,400,1
294,671,353,1
295,51,408,1
296,611,580,0
297,244,493,0
298,604,293,1
299,203,535,1
300,653,234,0
301,345,487,0
302,245,459,1
303,58,353,1
304,335,655,0
305,671,432,1
306,442,425,0
307,203,74,0
308,671,183,1
309,431,453,0
310,245,509,0
311,230,126,0
312,194,58,1
313,471,422,0
314,335,573,0
315,105,74,1
316,604,365,1
317,456,633,0
318,604,400,1
319,382,218,0
320,116,299,1
321,611,624,0
322,83,249,0
323,244,266,1
324,194,675,0
325,671,559,1
326,345,171,1
327,654,594,1
328,686,103,0
329,583,171,1
330,116,621,1
331,611,109,0
332,222,560,0
333,442,73,1
334,524,654,1
335,604,566,1
336,431,583,1
337,222,521,0
338,583,177,0
339,604,541,1
340,58,87,1
341,431,426,0
342,171,345,1
343,583,329,0
344,365,235,0
345,77,297,0
346,244,333,0
347,654,645,1
348,226,521,0
349,414,354,0
350,105,64,0
351,540,442,1
352,686,453,0
353,528,394,0
354,671,623,1
355,105,169,0
356,58,202,1
357,409,383,0
358,594,679,1
359,671,486,1
360,409,647,1
361,168,20,0
362,409,569,1
363,58,319,0
364,592,489,0
365,671,3,1
366,105,215,0
367,671,328,1
368,671,410,1
369,58,10,1
370,517,689,0
371,654,493,1
372,592,56,0
373,382,81,1
374,409,41,1
375,236,328,1
376,222,400,1
377,654,222,1
378,74,105,1
379,524,467,0
380,243,236,1
381,365,602,0
382,58,204,1
383,194,546,1
384,604,393,1
385,194,577,1
