,TF,Target,Label
0,314,46,1
1,585,447,1
2,585,314,1
3,447,314,1
4,447,585,1
5,46,487,1
6,46,1254,1
7,46,333,1
8,46,848,1
9,46,351,1
10,46,1202,1
11,46,1000,1
12,342,945,1
13,342,1268,1
14,342,810,1
15,342,980,1
16,342,257,1
17,342,1340,1
18,342,173,1
19,342,223,1
20,342,307,1
21,342,328,1
22,342,1317,1
23,342,1248,1
24,342,47,1
25,342,50,1
26,342,178,1
27,342,11,1
28,342,753,1
29,342,317,1
30,342,1053,1
31,342,538,1
32,342,1219,1
33,342,805,1
34,342,1144,1
35,342,1023,1
36,342,802,1
37,342,494,1
38,342,1169,1
39,342,298,1
40,342,610,1
41,342,292,1
42,188,178,1
43,188,198,1
44,188,158,1
45,188,330,1
46,188,521,1
47,188,668,1
48,188,810,1
49,188,257,1
50,188,1219,1
51,188,439,1
52,188,50,1
53,188,328,1
54,188,11,1
55,188,319,1
56,188,1268,1
57,188,1367,1
58,188,670,1
59,188,65,1
60,188,745,1
61,188,1144,1
62,188,805,1
63,188,1277,1
64,188,859,1
65,188,365,1
66,188,47,1
67,188,298,1
68,188,242,1
69,188,223,1
70,188,1053,1
71,188,317,1
72,188,1121,1
73,188,240,1
74,188,342,1
75,188,1311,1
76,188,292,1
77,668,1219,1
78,668,1268,1
79,668,1197,1
80,668,242,1
81,668,1317,1
82,668,198,1
83,668,1144,1
84,668,1002,1
85,668,50,1
86,668,47,1
87,668,189,1
88,668,805,1
89,668,1121,1
90,668,330,1
91,668,298,1
92,668,521,1
93,668,859,1
94,668,966,1
95,668,1277,1
96,668,1248,1
97,668,317,1
98,317,891,1
99,317,47,1
100,317,1248,1
101,317,1023,1
102,317,240,1
103,317,178,1
104,317,1144,1
105,317,298,1
106,317,1219,1
107,317,467,1
108,317,1317,1
109,317,1367,1
110,317,976,1
111,317,463,1
112,317,1076,1
113,317,505,1
114,317,985,1
115,317,342,1
116,317,610,1
117,317,330,1
118,317,127,1
119,317,173,1
120,317,188,1
121,317,968,1
122,317,859,1
123,317,533,1
124,317,1197,1
125,317,612,1
126,317,50,1
127,317,1053,1
128,317,494,1
129,317,167,1
130,317,806,1
131,317,1121,1
132,317,555,1
133,745,691,1
134,745,365,1
135,745,947,1
136,745,1169,1
137,745,11,1
138,745,292,1
139,745,240,1
140,745,1002,1
141,745,1219,1
142,745,762,1
143,745,1367,1
144,745,1197,1
145,745,1248,1
146,745,178,1
147,745,985,1
148,745,191,1
149,745,1053,1
150,745,317,1
151,745,1023,1
152,745,439,1
153,745,1144,1
154,745,198,1
155,745,538,1
156,745,1317,1
157,745,810,1
158,745,1340,1
159,745,330,1
160,745,319,1
161,745,521,1
162,745,980,1
163,745,463,1
164,745,494,1
165,745,50,1
166,745,805,1
167,988,1155,1
168,988,423,1
169,988,558,1
170,988,693,1
171,988,675,1
172,988,1125,1
173,988,882,1
174,988,635,1
175,882,454,1
176,882,51,1
177,882,1278,1
178,882,1320,1
179,882,911,1
180,882,671,1
181,882,560,1
182,882,269,1
183,882,874,1
184,882,1027,1
185,882,444,1
186,882,1113,1
187,882,423,1
188,882,294,1
189,882,837,1
190,882,791,1
191,882,1364,1
192,882,1189,1
193,882,675,1
194,882,490,1
195,882,579,1
196,882,169,1
197,882,1319,1
198,882,325,1
199,882,1153,1
200,882,306,1
201,882,88,1
202,1155,1148,1
203,1155,635,1
204,1155,454,1
205,1155,1342,1
206,1155,1364,1
207,1155,1278,1
208,1155,1320,1
209,1155,227,1
210,1155,351,1
211,1155,1153,1
212,1155,882,1
213,1155,306,1
214,1155,1105,1
215,1155,325,1
216,1155,1298,1
217,1155,1218,1
218,1155,1350,1
219,1155,675,1
220,1155,423,1
221,1155,560,1
222,1155,490,1
223,1155,959,1
224,49,635,1
225,49,988,1
226,49,1364,1
227,49,56,1
228,49,1023,1
229,49,874,1
230,49,1182,1
231,49,1169,1
232,49,675,1
233,49,1189,1
234,49,330,1
235,49,691,1
236,49,1027,1
237,49,454,1
238,49,1245,1
239,49,475,1
240,675,1169,1
241,675,635,1
242,675,995,1
243,675,1364,1
244,675,33,1
245,675,130,1
246,675,195,1
247,675,1182,1
248,675,489,1
249,675,931,1
250,675,49,1
251,675,1027,1
252,675,367,1
253,675,381,1
254,675,5,1
255,675,874,1
256,675,1140,1
257,675,1189,1
258,675,1374,1
259,675,1016,1
260,675,1258,1
261,675,330,1
262,675,879,1
263,675,853,1
264,675,457,1
265,675,277,1
266,675,1245,1
267,675,740,1
268,675,826,1
269,675,56,1
270,675,454,1
271,675,694,1
272,675,197,1
273,675,558,1
274,675,914,1
275,675,1356,1
276,675,487,1
277,675,1019,1
278,675,14,1
279,675,284,1
280,675,882,1
281,675,868,1
282,675,357,1
283,675,1350,1
284,675,848,1
285,675,1215,1
286,1245,1074,1
287,1245,748,1
288,1245,367,1
289,1245,707,1
290,1245,1016,1
291,1245,284,1
292,1245,101,1
293,1245,1155,1
294,1245,14,1
295,1245,786,1
296,1245,65,1
297,1245,1027,1
298,1245,635,1
299,1245,392,1
300,1245,853,1
301,1245,991,1
302,1245,995,1
303,1245,1138,1
304,1245,460,1
305,1245,691,1
306,1245,381,1
307,1245,1189,1
308,1245,487,1
309,1245,330,1
310,1245,315,1
311,1245,1258,1
312,1245,1140,1
313,1245,906,1
314,1245,879,1
315,1245,848,1
316,1245,988,1
317,1245,49,1
318,1245,423,1
319,1245,882,1
320,1245,357,1
321,1245,874,1
322,1245,457,1
323,1245,1019,1
324,1245,195,1
325,1245,1182,1
326,1245,914,1
327,1245,1288,1
328,1245,671,1
329,1245,1374,1
330,1245,868,1
331,1245,130,1
332,1245,1169,1
333,1245,646,1
334,1245,694,1
335,1364,558,1
336,1364,277,1
337,1364,882,1
338,1364,786,1
339,1364,1140,1
340,1364,646,1
341,1364,931,1
342,1364,392,1
343,1364,47,1
344,1364,675,1
345,1364,1019,1
346,1364,906,1
347,1364,56,1
348,1364,914,1
349,1364,1155,1
350,1364,101,1
351,1364,357,1
352,1364,130,1
353,1364,1138,1
354,1364,467,1
355,1364,635,1
356,1364,195,1
357,1364,66,1
358,1364,1027,1
359,1364,1350,1
360,1364,748,1
361,1364,33,1
362,1364,1258,1
363,1364,671,1
364,1364,586,1
365,1364,853,1
366,1364,1238,1
367,1364,1023,1
368,1364,1016,1
369,1364,206,1
370,1364,1356,1
371,1364,454,1
372,1364,381,1
373,1364,868,1
374,1364,156,1
375,1364,1245,1
376,1364,284,1
377,1364,991,1
378,1364,874,1
379,1364,1312,1
380,1364,826,1
381,635,874,1
382,635,1364,1
383,635,748,1
384,635,423,1
385,635,1189,1
386,635,101,1
387,635,1155,1
388,635,156,1
389,635,1016,1
390,635,444,1
391,635,49,1
392,635,227,1
393,635,579,1
394,635,454,1
395,635,560,1
396,635,582,1
397,635,991,1
398,635,675,1
399,635,1218,1
400,635,1153,1
401,635,1245,1
402,635,1138,1
403,635,269,1
404,680,600,1
405,680,242,1
406,680,807,1
407,807,1138,1
408,807,361,1
409,807,769,1
410,807,612,1
411,807,726,1
412,807,448,1
413,807,1306,1
414,807,1027,1
415,807,823,1
416,807,432,1
417,807,1035,1
418,600,1036,1
419,600,152,1
420,600,739,1
421,600,862,1
422,600,1243,1
423,600,930,1
424,600,588,1
425,600,249,1
426,600,625,1
427,600,516,1
428,600,409,1
429,600,1048,1
430,600,163,1
431,600,1326,1
432,600,1028,1
433,600,587,1
434,600,1341,1
435,600,236,1
436,600,815,1
437,600,666,1
438,600,816,1
439,600,157,1
440,600,841,1
441,600,1019,1
442,600,892,1
443,600,432,1
444,600,706,1
445,600,818,1
446,600,1359,1
447,600,1126,1
448,600,608,1
449,600,32,1
450,178,240,1
451,178,538,1
452,178,223,1
453,178,521,1
454,178,328,1
455,178,50,1
456,178,463,1
457,178,1169,1
458,178,1340,1
459,178,299,1
460,178,1053,1
461,178,188,1
462,178,319,1
463,178,1248,1
464,178,158,1
465,178,11,1
466,178,292,1
467,178,65,1
468,178,1311,1
469,178,494,1
470,178,842,1
471,178,307,1
472,178,1023,1
473,178,47,1
474,178,342,1
475,178,670,1
476,178,1268,1
477,178,980,1
478,347,1287,1
479,347,1219,1
480,347,512,1
481,347,1248,1
482,347,1317,1
483,347,588,1
484,347,257,1
485,347,947,1
486,347,243,1
487,347,307,1
488,347,980,1
489,877,612,1
490,877,1219,1
491,877,17,1
492,558,1222,1
493,558,345,1
494,558,413,1
495,558,1357,1
496,558,392,1
497,558,662,1
498,558,996,1
499,558,487,1
500,558,367,1
501,558,1097,1
502,558,347,1
503,558,1385,1
504,558,1302,1
505,558,307,1
506,558,1245,1
507,558,489,1
508,558,141,1
509,558,1023,1
510,558,385,1
511,558,694,1
512,558,988,1
513,558,1250,1
514,558,360,1
515,558,1254,1
516,558,221,1
517,558,548,1
518,558,612,1
519,558,372,1
520,558,242,1
521,558,243,1
522,558,675,1
523,558,33,1
524,558,606,1
525,558,328,1
526,558,1202,1
527,558,292,1
528,558,670,1
529,558,1287,1
530,1250,17,1
531,1250,75,1
532,1250,612,1
