,TF,Target,Label
0,193,601,0
1,664,1092,0
2,1140,505,0
3,609,130,0
4,465,659,1
5,462,11,0
6,1245,707,1
7,152,1399,1
8,333,1252,0
9,642,794,0
10,826,1258,1
11,77,380,0
12,670,872,0
13,1049,326,0
14,645,374,0
15,868,215,0
16,1350,496,0
17,1288,874,1
18,66,346,1
19,202,1378,1
20,776,202,1
21,247,504,0
22,585,1160,0
23,1227,654,0
24,769,398,1
25,1097,710,1
26,548,174,0
27,1275,873,0
28,385,222,1
29,823,331,0
30,874,457,1
31,874,914,1
32,1321,1028,0
33,456,895,0
34,517,641,1
35,381,1237,0
36,130,779,0
37,1393,616,0
38,694,454,1
39,152,873,0
40,736,95,0
41,511,281,1
42,968,1153,0
43,1231,1037,1
44,317,178,1
45,690,942,1
46,1027,489,1
47,130,914,1
48,517,383,0
49,247,542,0
50,1274,1151,0
51,807,729,0
52,1198,179,0
53,848,151,0
54,736,545,0
55,726,932,0
56,34,397,1
57,1052,1399,1
58,512,1249,0
59,141,606,1
60,59,5,1
61,946,1253,0
62,1017,608,0
63,392,1364,1
64,141,367,1
65,1288,206,1
66,284,1215,1
67,6,437,0
68,72,980,1
69,1140,59,1
70,503,999,0
71,305,824,0
72,534,1004,0
73,1333,1079,0
74,199,281,0
75,973,977,0
76,152,1030,0
77,332,263,0
78,460,736,1
79,503,464,0
80,1044,137,0
81,784,147,1
82,933,1328,0
83,767,1329,0
84,403,636,0
85,1149,1004,1
86,292,1023,1
87,534,905,0
88,1364,1019,1
89,500,478,0
90,1202,1261,1
91,188,298,1
92,385,1035,1
93,71,79,0
94,955,615,0
95,1081,468,0
96,612,879,1
97,1093,497,0
98,1216,295,0
99,1053,65,1
100,769,1374,1
101,932,946,1
102,1303,1042,0
103,642,462,1
104,1314,400,0
105,1364,1356,1
106,195,1409,0
107,626,706,0
108,322,523,0
109,947,838,0
110,420,1165,0
111,1364,906,1
112,32,1341,1
113,1119,290,0
114,145,878,1
115,849,773,0
116,878,49,0
117,1338,466,0
118,5,1294,0
119,1027,1169,1
120,1384,223,0
121,726,1012,1
122,360,1385,1
123,720,1086,0
124,736,1233,0
125,899,809,1
126,56,1108,0
127,56,1169,1
128,32,58,1
129,1125,909,0
130,476,167,0
131,500,1139,1
132,16,1119,1
133,1238,868,1
134,457,791,0
135,853,805,0
136,152,2,0
137,849,1076,1
138,563,945,0
139,317,533,1
140,645,458,0
141,1119,413,1
142,1344,743,1
143,588,473,1
144,1027,1097,1
145,548,1385,1
146,340,563,1
147,873,664,0
148,1356,668,0
149,228,58,1
150,334,963,0
151,1375,1263,0
152,568,749,0
153,74,1270,0
154,141,966,0
155,487,206,1
156,317,50,1
157,56,691,1
158,678,188,0
159,786,881,0
160,686,522,0
161,894,135,0
162,893,553,0
163,1118,586,0
164,253,772,0
165,981,1119,0
166,209,766,0
167,784,1381,1
168,720,531,0
169,1004,826,1
170,678,729,0
171,261,421,0
172,1379,761,0
173,668,298,1
174,868,792,0
175,680,600,1
176,694,783,0
177,473,831,0
178,350,296,0
179,877,964,0
180,1375,1360,0
181,1220,442,1
182,1254,433,0
183,693,1302,1
184,931,131,1
