,TF,Target,Label
0,68,923,1
1,68,158,1
2,68,125,1
3,68,1017,1
4,68,1149,1
5,68,1297,1
6,1358,1403,1
7,1358,68,1
8,1358,1039,1
9,1358,1149,1
10,1358,158,1
11,1149,1233,1
12,1149,957,1
13,1149,1051,1
14,1149,1102,1
15,1149,819,1
16,1149,951,1
17,1149,1413,1
18,1149,1096,1
19,1149,637,1
20,1149,923,1
21,1149,882,1
22,1149,1017,1
23,1149,754,1
24,1149,175,1
25,1149,103,1
26,1149,665,1
27,1149,348,1
28,1149,447,1
29,1149,193,1
30,1149,68,1
31,1149,881,1
32,1149,1214,1
33,1149,988,1
34,1149,1331,1
35,1149,314,1
36,1149,725,1
37,1149,1365,1
38,1149,1403,1
39,1403,1094,1
40,1403,478,1
41,1403,1358,1
42,1403,1139,1
43,1403,529,1
44,1403,988,1
45,1403,1233,1
46,1403,1017,1
47,1403,345,1
48,1403,1196,1
49,1403,746,1
50,1403,71,1
51,1403,754,1
52,1403,303,1
53,1403,1177,1
54,1403,491,1
55,1403,853,1
56,1403,232,1
57,1403,1039,1
58,1403,882,1
59,1403,158,1
60,1403,1051,1
61,1403,608,1
62,1403,532,1
63,1403,837,1
64,1403,607,1
65,908,823,1
66,908,1177,1
67,908,1271,1
68,908,158,1
69,908,71,1
70,908,1214,1
71,908,821,1
72,908,1057,1
73,908,1139,1
74,908,310,1
75,908,295,1
76,908,1432,1
77,908,1013,1
78,908,642,1
79,908,1051,1
80,908,1422,1
81,908,928,1
82,607,458,1
83,607,1403,1
84,607,1114,1
85,607,1361,1
86,607,823,1
87,607,1214,1
88,607,608,1
89,607,77,1
90,607,1213,1
91,607,748,1
92,607,987,1
93,607,753,1
94,607,1289,1
95,607,882,1
96,607,1083,1
97,607,451,1
98,607,1412,1
99,607,1096,1
100,607,314,1
101,607,643,1
102,607,428,1
103,607,490,1
104,607,545,1
105,607,462,1
106,607,56,1
107,607,236,1
108,607,837,1
109,607,988,1
110,607,637,1
111,607,29,1
112,607,264,1
113,607,651,1
114,607,308,1
115,607,953,1
116,607,1149,1
117,607,1395,1
118,607,590,1
119,607,517,1
120,607,1350,1
121,607,827,1
122,607,454,1
123,607,1419,1
124,607,642,1
125,607,1194,1
126,607,1441,1
127,607,920,1
128,607,461,1
129,336,450,1
130,336,107,1
131,336,666,1
132,336,1254,1
133,336,1143,1
134,336,756,1
135,336,238,1
136,336,765,1
137,336,728,1
138,336,1306,1
139,336,1197,1
140,336,1218,1
141,336,294,1
142,336,703,1
143,336,101,1
144,336,899,1
145,336,1419,1
146,336,530,1
147,336,233,1
148,336,1307,1
149,336,161,1
150,336,1043,1
151,336,1417,1
152,336,624,1
153,336,251,1
154,336,805,1
155,336,339,1
156,336,635,1
157,336,62,1
158,336,1410,1
159,336,272,1
160,336,1159,1
161,336,1408,1
162,336,1350,1
163,336,697,1
164,336,261,1
165,336,80,1
166,336,178,1
167,336,466,1
