,TF,Target,Label
0,945,752,0
1,120,580,0
2,1130,376,1
3,918,435,1
4,836,1141,0
5,500,304,0
6,381,1205,1
7,953,684,1
8,211,648,0
9,120,697,0
10,1045,381,1
11,722,966,0
12,1274,290,1
13,421,294,0
14,209,917,1
15,1124,491,1
16,142,229,1
17,896,856,0
18,627,1205,1
19,355,1377,1
20,576,1025,0
21,66,573,1
22,403,787,1
23,977,167,0
24,143,288,1
25,854,475,1
26,1102,705,0
27,220,877,0
28,789,919,0
29,179,1294,0
30,1022,467,0
31,1413,491,1
32,880,1225,1
33,829,720,0
34,1085,1047,0
35,545,1217,1
36,944,1416,0
37,789,122,1
38,1149,483,0
39,1190,529,0
40,121,1254,1
41,607,56,1
42,445,899,0
43,854,52,1
44,590,1296,0
45,643,1103,0
46,546,309,0
47,336,624,1
48,593,26,0
49,77,712,1
50,105,115,1
51,920,1436,0
52,603,209,1
53,323,77,0
54,111,800,1
55,953,238,1
56,868,1349,0
57,707,1000,0
58,121,955,0
59,1168,1224,0
60,121,774,1
61,168,1222,0
62,314,344,0
63,607,1419,1
64,1086,1071,0
65,664,1350,1
66,732,447,0
67,706,1282,0
68,1130,1352,0
69,322,754,0
70,491,910,1
71,355,817,1
72,476,1442,1
73,1441,988,0
74,702,1388,0
75,854,1070,1
76,334,632,1
77,202,897,0
78,397,820,0
79,908,645,0
80,1361,883,1
81,1333,452,0
82,76,163,0
83,264,1407,0
84,40,1221,0
85,293,491,1
86,292,97,0
87,495,1408,1
88,181,1032,1
89,209,607,1
90,1329,950,0
91,215,667,0
92,601,1446,0
93,438,842,0
94,487,1352,0
95,1216,435,1
96,27,1223,0
97,1218,417,0
98,428,1161,1
99,535,450,1
100,722,1163,0
101,54,627,1
102,1117,150,1
103,702,382,0
104,1066,520,0
105,40,1099,0
106,407,792,0
107,743,318,0
108,1085,1318,0
109,546,1030,0
110,996,1188,0
111,590,989,0
112,40,94,0
113,1134,1240,0
114,880,313,0
115,1255,1326,1
116,712,1022,0
117,593,1272,0
118,885,1257,1
119,108,1262,0
120,702,334,1
121,1194,54,0
122,1094,383,0
123,1297,545,1
124,11,814,0
125,827,649,1
126,268,204,1
127,1392,63,1
128,216,912,1
129,661,604,0
130,616,857,1
131,1425,922,1
132,1297,752,0
133,983,1369,1
134,209,862,1
135,1403,232,1
136,570,105,1
137,627,381,1
138,1260,1343,1
139,474,793,1
140,256,1026,0
141,1134,1358,0
142,1326,324,0
143,882,744,0
144,1294,207,1
145,1351,451,1
146,970,370,0
147,1361,816,1
148,1183,627,1
149,590,139,0
150,64,955,0
151,1257,1102,0
152,491,884,1
153,535,710,0
154,339,336,1
155,626,403,1
156,1280,77,1
157,1257,788,0
158,1313,1087,0
159,1394,904,1
160,693,231,1
161,1361,258,1
162,381,296,1
163,287,1307,0
164,1361,355,1
165,113,207,1
166,649,224,0
167,697,815,1
168,1294,1108,1
169,461,1083,1
170,591,789,1
171,1190,833,0
172,883,1075,1
173,1392,673,1
174,535,907,0
175,355,1361,1
176,441,1424,1
177,250,1437,0
178,503,800,1
179,28,318,0
180,658,1086,0
181,1168,525,1
182,789,1163,1
183,146,589,1
184,12,1414,0
185,999,810,1
186,1216,692,0
187,58,787,0
188,987,837,1
189,1230,212,0
190,917,824,0
191,1294,655,0
192,121,423,0
193,437,1193,0
194,1138,823,0
195,550,476,0
196,155,540,0
197,886,738,1
198,1206,1163,1
199,45,857,0
200,65,1224,0
201,58,1374,0
202,113,359,0
203,1069,896,0
204,1248,91,1
205,235,1059,1
206,1206,1185,0
207,334,787,1
208,1249,1181,1
209,1431,1319,1
210,854,1009,1
211,801,1287,0
212,491,1419,1
213,1115,112,0
214,331,348,0
215,697,311,1
216,573,749,1
217,825,749,1
218,296,752,1
219,1447,621,1
220,474,268,0
221,545,1149,1
222,1331,1025,0
223,376,922,1
224,707,1355,1
225,1294,406,1
226,491,1403,1
227,236,656,0
228,194,1149,0
229,1032,1079,0
230,448,171,1
231,1085,1174,0
232,1167,247,0
233,1218,1362,0
234,590,937,0
235,908,1214,1
236,235,1114,0
237,40,828,0
238,855,1192,0
239,28,110,0
240,1386,1094,1
241,487,236,0
242,249,922,1
243,603,1174,0
244,1160,1043,1
245,878,599,0
246,903,259,1
247,602,1136,0
248,1247,5,0
249,1167,1118,0
250,506,293,1
251,627,589,1
252,953,835,1
253,406,475,1
254,638,608,1
255,953,107,1
256,508,986,0
257,1069,1014,0
258,1256,918,1
259,1161,583,0
260,627,874,1
261,589,274,1
262,11,1265,0
263,490,1041,0
264,48,207,1
265,1103,539,0
266,241,675,0
267,550,788,1
268,313,823,1
269,381,860,0
270,1294,1353,1
271,1257,941,0
272,1108,1408,1
273,1167,1014,0
274,1368,1252,0
275,143,702,1
276,626,1240,0
277,1149,1096,1
278,125,602,1
279,1392,717,1
280,541,1008,0
281,945,1418,0
282,881,790,1
283,786,567,0
284,194,132,0
285,86,557,0
286,25,1409,0
287,224,1326,1
288,881,1140,1
289,825,105,1
290,518,204,1
291,638,1368,1
292,29,518,1
293,1333,790,0
294,29,1183,1
295,1042,315,0
296,1257,892,1
297,493,286,0
298,1032,98,0
299,1380,1125,0
300,1218,1246,0
301,633,1160,1
302,76,1409,1
303,296,600,0
304,722,215,1
305,608,373,1
306,334,204,1
307,1032,764,0
308,1230,548,0
309,280,629,1
310,869,197,0
311,1084,1284,0
312,217,1391,0
313,119,473,1
314,787,1297,1
315,195,57,0
316,212,940,0
317,822,796,0
318,602,508,1
319,236,1369,1
320,68,1297,1
321,601,684,0
322,1070,330,1
323,181,939,0
324,147,1159,1
325,1107,873,0
326,212,491,1
327,693,1114,1
328,495,190,1
329,546,1395,0
330,987,638,1
331,66,924,0
332,1161,587,0
333,190,111,1
334,1084,728,0
335,603,1337,1
336,1086,859,0
337,119,206,1
338,1216,334,1
339,209,957,1
340,535,1058,0
341,1294,1146,0
342,576,118,0
343,1370,84,1
344,293,506,1
345,261,915,1
346,1351,537,0
347,576,918,0
348,76,136,0
349,367,235,0
350,501,94,0
351,1117,434,0
352,886,626,1
353,857,105,1
354,627,908,0
355,591,1321,1
356,977,535,0
357,1130,1075,0
358,1130,666,1
359,493,498,1
360,272,907,0
361,1251,929,0
362,608,1260,1
363,855,240,0
364,793,480,0
365,501,525,0
366,1447,308,0
367,292,20,0
368,1325,795,0
369,1152,1181,0
370,40,702,1
371,603,361,0
372,768,129,0
373,429,1234,0
374,458,642,1
375,565,1004,1
376,787,415,0
377,1191,109,0
378,458,1075,1
379,985,54,1
380,987,32,0
381,367,889,0
382,607,1441,1
383,108,885,1
384,1441,418,1
385,589,901,0
386,111,989,0
387,702,798,0
388,491,243,0
389,1202,591,1
390,1191,1167,0
391,367,1122,0
392,125,1368,1
393,108,54,1
394,1094,881,1
395,565,408,1
396,491,107,1
397,1229,1153,0
398,697,119,1
399,896,601,0
400,854,618,1
401,439,1097,1
402,1390,932,0
403,1306,759,0
404,855,1213,1
405,1313,862,0
406,1411,1343,0
407,65,334,1
408,618,433,1
409,664,705,0
410,996,958,0
411,1386,987,1
412,749,428,1
413,1356,341,1
414,1115,397,0
415,66,487,0
416,1346,652,1
417,373,421,1
418,697,551,1
419,882,741,0
420,650,1414,0
421,731,627,1
422,895,1078,1
423,495,820,0
424,355,730,1
425,1289,204,1
426,671,793,1
427,1010,4,0
428,855,971,0
429,790,605,0
430,814,1237,0
431,1130,455,1
432,1325,959,0
433,793,693,1
434,1202,766,1
435,1370,464,0
436,1378,100,1
437,1287,776,0
438,168,86,0
439,570,1241,1
440,602,255,0
441,376,1254,1
442,985,860,0
443,883,482,1
444,1206,1186,0
445,1156,165,0
446,1386,1305,0
447,1127,616,0
448,100,1006,0
449,983,1305,0
450,315,968,0
451,885,466,1
452,355,27,0
453,202,326,0
454,543,1361,1
455,625,922,0
456,448,1179,1
457,589,494,0
458,790,125,1
459,1201,1232,0
460,381,751,1
461,157,107,0
462,624,876,1
463,168,1216,0
464,1200,735,0
465,1076,1270,0
466,65,223,1
467,195,334,1
468,892,466,1
469,885,1413,1
470,473,1043,1
471,837,461,1
472,1331,757,0
473,146,760,0
474,1386,746,0
475,56,1319,1
476,1257,548,0
477,142,784,0
478,590,1393,1
479,1202,251,1
480,643,871,0
481,836,815,1
482,1230,1138,1
483,327,606,0
484,1384,24,0
485,816,1205,1
486,465,1124,0
487,336,728,1
488,336,1254,1
489,1294,360,0
490,464,1161,0
491,878,491,0
492,590,603,0
493,1201,907,0
494,1361,817,1
495,1102,56,1
496,498,885,1
497,827,1241,1
498,1183,1216,1
499,1070,420,1
500,185,965,0
501,236,48,0
502,1439,1152,0
503,1066,1343,1
504,1421,326,0
505,308,299,1
506,355,1337,1
507,1441,1124,1
508,697,107,1
509,629,959,0
510,1241,98,0
511,336,339,1
512,1255,642,1
513,1168,722,1
514,579,1064,0
515,474,951,0
516,495,7,1
517,361,932,1
518,671,700,1
519,495,816,1
520,428,275,0
521,777,313,0
522,272,1408,1
523,437,582,0
524,381,565,1
525,1270,1444,0
526,1313,677,0
527,200,945,1
528,473,54,0
529,113,48,1
530,487,1332,0
531,953,727,0
532,1229,491,0
533,593,566,0
534,402,1231,0
535,458,381,1
536,1138,1368,1
537,172,1091,0
538,355,516,1
539,573,156,0
540,156,546,1
541,142,1290,0
542,469,1341,1
543,356,266,1
544,770,39,0
545,703,117,0
546,236,73,0
547,1070,57,1
548,1138,1241,1
549,698,136,0
550,495,406,1
551,1392,212,1
552,1168,367,1
553,816,466,1
554,1206,883,1
555,589,1206,1
556,624,85,0
557,573,795,0
558,749,789,1
559,54,352,1
560,652,177,1
561,209,419,0
562,848,306,0
563,540,352,0
564,356,456,1
565,0,107,1
566,147,785,0
567,143,933,0
568,1206,258,1
569,697,666,1
570,196,1200,0
571,0,966,0
572,1117,243,0
573,495,1361,1
574,45,732,0
575,607,1412,1
576,1306,716,0
577,1331,582,0
578,68,1024,0
579,1280,1328,0
580,376,1066,1
581,142,887,0
582,1202,1350,1
583,1403,550,0
584,60,1447,0
585,945,362,1
586,627,143,1
587,48,2,0
588,1206,1246,0
589,407,931,0
590,649,608,1
591,28,347,0
592,376,113,1
593,1124,547,0
594,589,49,0
595,731,854,1
596,1392,943,0
597,1306,376,1
598,1431,502,1
599,250,1064,0
600,20,557,0
601,403,157,1
602,493,274,1
603,448,84,0
604,790,404,0
605,480,388,0
606,883,540,0
607,100,1334,0
608,816,1208,0
609,1325,1196,1
610,1241,105,1
611,1138,837,1
612,1032,353,0
613,1436,1298,0
614,84,881,1
615,770,404,1
616,416,961,0
617,314,299,0
618,770,258,1
619,731,1059,0
620,1337,828,0
621,1161,1344,0
622,627,1248,1
623,1130,1443,0
624,272,213,1
625,487,794,0
626,448,663,0
627,608,835,0
628,352,213,1
629,697,188,0
630,979,119,0
631,532,341,0
632,428,626,1
633,403,944,0
634,1190,1073,0
635,708,1222,0
636,903,1299,0
637,1411,1375,0
638,28,198,0
639,885,1064,1
640,1241,712,1
641,1094,84,1
642,707,487,1
643,895,828,1
644,807,995,0
645,945,512,0
646,922,1277,0
647,397,705,0
648,474,1361,0
649,602,461,0
650,625,88,0
651,336,635,1
652,999,1376,0
653,675,115,0
654,1370,373,1
655,918,495,1
656,626,565,0
657,1070,1208,0
658,491,485,1
659,156,1220,0
660,1022,382,0
661,520,448,1
662,1326,1230,0
663,1411,466,0
664,506,788,0
665,1032,1188,0
666,854,110,0
667,881,1343,1
668,593,709,0
669,473,728,1
670,1306,1257,1
671,1390,181,0
672,272,428,1
673,25,268,1
674,498,789,0
675,1287,1400,0
676,607,1083,1
677,801,251,0
678,494,681,0
679,1326,381,1
680,179,1415,0
681,1064,945,0
682,624,188,0
683,498,798,1
684,236,56,1
685,922,327,1
686,638,991,1
687,397,1085,0
688,1348,884,1
689,787,545,1
690,1386,461,1
691,918,930,1
692,1280,189,0
693,627,808,0
694,106,583,0
695,5,274,1
696,341,1075,1
697,1210,644,1
698,143,492,1
699,1294,475,1
700,495,1082,1
701,1156,970,0
702,1064,78,0
703,1384,1363,0
704,642,627,1
705,143,403,1
706,919,792,0
707,1010,210,1
708,1249,1138,1
709,822,731,0
710,1258,918,0
711,892,213,1
712,633,899,1
713,1130,1110,0
714,712,495,1
715,1117,222,0
716,743,1144,0
717,1240,342,0
718,209,29,1
719,597,306,1
720,712,603,1
721,1337,199,0
722,5,583,1
723,491,714,1
724,903,493,1
725,602,1297,1
726,381,1302,1
727,1046,871,0
728,550,1386,1
729,1022,1243,0
730,1378,474,0
731,1206,642,1
732,793,215,1
733,503,998,0
734,1260,215,1
735,1046,1146,0
736,223,208,0
737,1441,460,0
738,607,714,0
739,155,467,0
740,671,285,0
741,1156,1165,0
742,111,1172,0
743,334,381,1
744,652,566,1
745,495,150,1
746,12,306,0
747,1289,608,1
748,908,557,0
749,493,579,1
750,945,243,1
751,406,146,0
752,816,883,1
753,202,222,0
754,65,466,1
755,314,1077,0
756,1151,628,0
757,179,1368,0
758,376,799,0
759,166,515,0
760,836,933,0
761,1251,1196,0
762,702,281,0
763,439,434,0
764,296,380,1
765,1256,559,0
766,494,358,0
767,503,344,0
768,1408,624,1
769,789,953,1
770,105,339,0
771,591,140,1
772,618,516,1
773,932,424,0
774,1425,217,0
775,1191,1204,0
776,1441,340,0
777,367,1378,1
778,211,883,1
779,334,122,1
780,494,129,0
781,1152,1206,0
782,1306,119,1
783,748,1421,0
784,1202,1253,1
785,56,1440,1
786,603,1413,1
787,573,182,0
788,428,1138,1
789,314,393,1
790,280,46,0
791,147,358,0
792,1221,310,0
793,624,119,1
794,1361,493,1
795,1331,923,0
796,1210,904,1
797,352,1130,1
798,1206,151,1
799,1241,881,0
800,473,1041,0
801,535,512,0
802,84,1010,1
803,45,229,0
804,429,1320,0
805,1094,334,1
806,383,1108,1
807,5,961,0
808,945,748,0
809,518,29,1
810,886,993,0
811,886,1296,0
812,173,234,0
813,980,589,0
814,1289,403,1
815,895,935,1
816,29,966,0
817,381,876,1
818,1083,447,0
819,748,107,1
820,535,720,1
821,1431,123,0
822,945,248,1
823,86,622,0
824,464,1083,0
825,814,63,0
826,712,484,0
827,143,99,1
828,768,19,0
829,407,965,0
830,202,1257,0
831,1083,1094,1
832,697,1350,1
833,702,597,0
834,1201,1330,0
835,1306,1393,0
836,1127,706,0
837,314,1395,1
838,77,61,1
839,442,1388,0
840,224,990,0
841,698,495,1
842,1343,1010,1
843,1067,564,0
844,441,274,1
845,113,381,1
846,1313,276,0
847,16,296,1
848,566,101,1
849,896,546,0
850,1326,274,1
851,408,215,1
852,261,251,1
853,1351,794,0
854,352,466,1
855,816,702,1
856,113,591,0
857,236,1440,1
858,881,177,1
859,1356,977,0
860,570,525,1
861,638,545,0
862,1439,571,1
863,918,5,1
864,751,498,1
865,892,486,0
866,491,29,1
867,84,609,1
868,200,57,1
869,314,908,1
870,341,224,1
871,1403,625,0
872,570,830,0
873,1331,717,0
874,5,80,0
875,1392,1038,1
876,618,1216,1
877,48,116,1
878,1158,1297,1
879,671,99,1
880,491,204,1
881,867,1315,0
882,1127,146,0
883,886,1249,1
884,335,1253,1
885,836,1140,0
886,2,1338,1
887,627,492,1
888,892,372,1
889,855,151,0
890,979,1184,0
891,743,1411,0
892,448,708,1
893,1257,296,1
894,945,288,1
895,250,300,0
896,590,1441,1
897,1294,761,0
898,387,1222,0
899,166,107,0
900,5,211,1
901,543,881,0
902,1108,358,0
903,1447,45,0
904,293,1191,1
905,1138,453,0
906,498,108,1
907,672,543,0
908,1441,451,1
909,664,905,0
910,119,1161,1
911,261,336,1
912,1257,1425,0
913,235,915,1
914,1046,1221,0
915,498,731,1
916,1395,125,1
917,816,76,1
918,407,527,0
919,591,1029,1
920,627,1361,1
921,490,355,0
922,181,444,0
923,255,852,0
924,355,1306,1
925,1236,787,0
926,1298,1315,1
927,816,1294,1
928,1346,676,0
929,454,576,0
930,790,133,0
931,885,305,0
932,862,1140,0
933,105,568,1
934,403,1241,1
935,837,442,1
936,302,1294,1
937,712,508,1
938,593,641,0
939,146,918,1
940,495,1247,0
941,892,899,1
942,373,259,1
943,979,116,0
944,1255,381,1
945,918,93,0
946,550,757,0
947,473,1267,1
948,20,593,0
949,498,464,1
950,334,862,1
951,508,1292,0
952,1425,685,0
953,111,1032,1
954,1326,883,1
955,1280,879,0
956,770,1216,1
957,625,226,0
958,1216,253,0
959,1206,211,1
960,837,846,1
961,1343,1235,0
962,999,222,1
963,76,885,1
964,403,1190,1
965,597,261,0
966,1258,1304,0
967,731,1005,0
968,629,647,0
969,293,1161,1
970,428,367,0
971,336,1253,1
972,1116,1255,0
973,54,731,1
974,200,454,0
975,185,148,0
976,671,590,0
977,448,1313,1
978,1251,977,0
979,287,236,0
980,58,1331,0
981,892,418,0
982,403,1289,1
983,352,59,0
984,807,1408,0
985,1241,506,1
986,1152,179,0
987,625,485,0
988,1149,1331,1
989,121,491,1
990,1216,1441,1
991,970,712,1
992,334,249,1
993,491,1059,1
994,493,1121,1
995,1392,62,1
996,1394,683,0
997,793,369,0
998,918,464,1
999,1045,842,1
1000,1130,541,0
1001,108,842,1
1002,235,1234,0
1003,810,219,0
1004,416,131,0
1005,1216,603,1
1006,697,510,1
1007,54,874,1
1008,573,653,0
1009,58,186,0
1010,172,1291,0
1011,1361,1356,1
1012,1103,1325,0
1013,406,1331,1
1014,220,294,0
1015,570,951,0
1016,211,30,1
1017,58,1058,0
1018,498,1360,0
1019,473,836,1
1020,5,159,0
1021,473,1225,1
1022,19,983,1
1023,816,441,1
1024,108,793,1
1025,1297,491,1
1026,1152,1182,0
1027,376,885,1
1028,314,1212,1
1029,290,351,0
1030,829,842,0
1031,751,381,1
1032,1046,953,0
1033,25,1342,0
1034,327,986,0
1035,793,789,1
1036,256,1334,0
1037,433,1376,1
1038,630,1057,0
1039,120,597,0
1040,1149,819,1
1041,373,142,1
1042,1403,491,1
1043,489,1119,0
1044,105,293,1
1045,1156,1397,0
1046,56,249,1
1047,1326,248,0
1048,878,1361,1
1049,439,709,0
1050,458,408,1
1051,220,314,0
1052,314,725,1
1053,60,418,0
1054,540,437,0
1055,1084,1174,0
1056,1032,800,1
1057,381,231,1
1058,0,188,0
1059,590,451,1
1060,1260,512,0
1061,1200,439,0
1062,1329,231,0
1063,119,58,0
1064,121,317,0
1065,789,1029,1
1066,589,249,0
1067,695,251,1
1068,327,1408,0
1069,441,1108,1
1070,119,284,1
1071,1107,1176,1
1072,520,835,0
1073,105,666,1
1074,383,1115,0
1075,428,1289,1
1076,439,380,1
1077,236,16,0
1078,255,1229,0
1079,731,251,0
1080,223,1230,0
1081,642,1424,1
1082,428,29,1
1083,1358,1107,0
1084,895,487,1
1085,636,36,0
1086,1408,591,1
1087,335,756,1
1088,113,377,1
1089,491,640,1
1090,500,698,0
1091,953,1059,1
1092,697,939,0
1093,1117,365,0
1094,731,361,0
1095,383,618,0
1096,491,685,1
1097,503,659,0
1098,625,758,0
1099,1216,545,1
1100,494,780,0
1101,627,884,0
1102,605,135,0
1103,1325,766,0
1104,1257,1372,0
1105,1216,885,1
1106,807,596,0
1107,626,1085,0
1108,979,550,0
1109,1221,811,0
1110,500,439,0
1111,209,518,1
1112,700,404,1
1113,540,339,0
1114,816,837,1
1115,503,365,0
1116,1370,567,1
1117,1216,1331,1
1118,1326,5,1
1119,498,1141,0
1120,200,581,0
1121,895,1355,1
1122,147,518,0
1123,1045,1144,0
1124,541,693,0
1125,381,403,1
1126,857,202,1
1127,358,1395,0
1128,355,751,1
1129,77,308,1
1130,373,239,0
1131,1370,101,1
1132,1306,473,1
1133,1386,940,0
1134,498,260,0
1135,1249,19,1
1136,48,239,0
1137,403,272,1
1138,293,403,1
1139,629,1234,0
1140,105,916,0
1141,627,91,1
1142,335,1059,1
1143,908,158,1
1144,292,733,0
1145,1325,295,0
1146,650,474,0
1147,903,1320,1
1148,190,886,1
1149,1067,108,0
1150,408,1361,1
1151,932,609,0
1152,5,1216,1
1153,793,61,1
1154,867,909,0
1155,605,1051,0
1156,1176,462,0
1157,707,1298,0
1158,1216,54,1
1159,341,73,1
1160,352,1043,1
1161,408,1195,1
1162,408,1306,1
1163,627,231,1
1164,540,1309,0
1165,642,211,1
1166,339,1251,0
1167,625,237,0
1168,498,1121,1
1169,735,90,0
1170,770,1392,0
1171,376,108,1
1172,770,52,1
1173,696,653,0
1174,7,403,1
1175,100,858,0
1176,448,937,0
1177,608,1056,1
1178,1218,336,1
1179,179,182,0
1180,825,262,0
1181,408,404,1
1182,1268,700,1
1183,1241,334,1
1184,508,163,0
1185,1445,241,0
1186,336,1374,1
1187,867,16,0
1188,953,510,1
1189,508,376,1
1190,1156,1346,0
1191,748,209,1
1192,649,62,0
1193,1124,573,1
1194,658,932,1
1195,119,474,0
1196,957,1368,1
1197,1358,824,0
1198,1358,190,0
1199,224,1216,1
1200,20,396,0
1201,706,532,1
1202,953,1143,1
1203,789,1438,0
1204,179,855,0
1205,495,327,1
1206,1085,224,0
1207,194,264,0
1208,829,1071,0
1209,878,1087,0
1210,1287,44,0
1211,1083,1330,0
1212,695,567,0
1213,1240,1317,0
1214,293,115,1
1215,1179,138,0
1216,332,1004,0
1217,1439,1399,0
1218,730,854,1
1219,64,945,0
1220,867,539,0
1221,917,403,1
1222,953,56,1
1223,642,314,1
1224,1441,697,0
1225,473,1311,0
1226,922,901,0
1227,355,341,1
1228,1408,127,0
1229,465,593,1
1230,545,801,1
1231,491,1124,1
1232,626,695,0
1233,506,570,1
1234,493,381,1
1235,625,1175,0
1236,458,532,0
1237,1413,1056,1
1238,209,1315,1
1239,1236,708,0
1240,143,269,0
1241,421,220,0
1242,429,1157,0
1243,987,739,0
1244,1199,1138,1
1245,84,1370,1
1246,920,43,1
1247,816,885,1
1248,924,416,0
1249,487,1009,1
1250,185,1011,0
1251,1149,447,1
1252,241,638,0
1253,120,852,1
1254,1210,453,1
1255,1102,238,0
1256,1160,1099,0
1257,408,54,1
1258,643,408,0
1259,1115,1126,1
1260,406,495,1
1261,1160,242,0
1262,261,624,1
1263,181,442,1
1264,945,1030,1
1265,1098,68,0
1266,1431,728,0
1267,922,487,1
1268,932,428,1
1269,171,278,0
1270,1069,463,0
1271,649,466,0
1272,590,494,1
1273,1130,380,1
1274,381,985,1
1275,28,316,0
1276,862,579,0
1277,664,126,0
1278,1230,563,0
1279,476,319,0
1280,334,408,1
1281,590,361,1
1282,757,589,0
1283,1229,754,0
1284,1179,215,0
1285,442,177,0
1286,464,918,1
1287,403,1321,1
1288,885,1299,0
1289,566,652,1
1290,105,1286,0
1291,988,787,1
1292,862,1138,1
1293,108,1433,0
1294,627,1055,0
1295,881,110,0
1296,1216,1398,0
1297,236,738,1
1298,5,258,1
1299,1395,987,1
1300,1266,250,1
1301,194,1012,0
1302,119,273,1
1303,627,1043,1
1304,1431,1014,0
1305,885,816,1
1306,1221,1398,0
1307,1445,967,0
1308,332,357,0
1309,602,1333,0
1310,1102,1058,0
1311,290,871,0
1312,272,896,0
1313,336,1419,1
1314,1376,339,0
1315,132,1086,0
1316,3,590,0
1317,712,1216,1
1318,352,644,1
1319,953,284,1
1320,241,1418,0
1321,953,178,1
1322,1439,719,0
1323,649,244,0
1324,387,837,1
1325,1216,787,1
1326,1046,583,0
1327,335,1307,1
1328,1160,876,1
1329,17,920,0
1330,355,498,1
1331,1325,1323,0
1332,983,263,0
1333,724,1395,1
1334,883,1424,1
1335,988,1110,0
1336,454,161,0
1337,999,209,0
1338,895,916,0
1339,1062,332,0
1340,215,1158,0
1341,671,697,0
1342,573,495,1
1343,335,1072,1
1344,474,400,0
1345,408,447,0
1346,20,199,0
1347,296,589,0
1348,618,739,0
1349,146,1176,1
1350,1266,59,0
1351,487,330,1
1352,789,201,0
1353,296,885,1
1354,495,630,0
1355,920,491,1
1356,1181,1395,1
1357,1202,1133,0
1358,480,1012,0
1359,498,589,1
1360,724,545,1
1361,862,1241,1
1362,602,699,0
1363,985,352,1
1364,352,751,1
