,TF,Target,Label
0,784,169,1
1,247,248,1
2,247,4,1
3,247,202,1
4,247,332,1
5,247,325,1
6,247,767,1
7,247,657,1
8,247,429,1
9,247,188,1
10,247,729,1
11,247,656,1
12,247,15,1
13,247,560,1
14,247,358,1
15,247,120,1
16,247,111,1
17,247,169,1
18,247,625,1
19,247,267,1
20,247,450,1
21,247,48,1
22,247,0,1
23,247,139,1
24,247,34,1
25,247,600,1
26,247,468,1
27,247,361,1
28,247,806,1
29,247,696,1
30,247,144,1
31,247,170,1
32,247,642,1
33,656,247,1
34,656,169,1
35,656,502,1
36,656,378,1
37,656,4,1
38,656,450,1
39,656,202,1
40,656,784,1
41,169,482,1
42,169,339,1
43,169,202,1
44,169,4,1
45,169,784,1
46,169,509,1
47,169,656,1
48,14,722,1
49,14,36,1
50,14,420,1
51,14,161,1
52,14,179,1
53,14,705,1
54,14,333,1
55,14,70,1
56,14,346,1
57,14,236,1
58,14,585,1
59,14,687,1
60,14,224,1
61,14,613,1
62,14,574,1
63,14,327,1
64,14,720,1
65,14,494,1
66,14,312,1
67,14,761,1
68,14,39,1
69,14,302,1
70,14,73,1
71,14,447,1
72,14,565,1
73,14,669,1
74,14,210,1
75,14,650,1
76,14,434,1
77,14,661,1
78,14,86,1
79,576,505,1
80,576,67,1
81,576,449,1
82,576,34,1
83,576,525,1
84,576,739,1
85,576,598,1
86,576,358,1
87,576,231,1
88,576,110,1
89,576,716,1
90,576,764,1
91,576,56,1
92,576,43,1
93,576,16,1
94,576,179,1
95,576,546,1
96,576,25,1
97,576,375,1
98,576,672,1
99,576,256,1
100,576,760,1
101,576,124,1
102,576,724,1
103,576,617,1
104,576,306,1
105,576,342,1
106,576,595,1
107,576,773,1
108,576,547,1
109,576,772,1
110,576,615,1
111,576,264,1
112,576,752,1
113,576,215,1
114,576,229,1
115,576,48,1
116,576,689,1
117,576,816,1
118,576,159,1
119,576,510,1
120,576,523,1
121,576,586,1
122,576,300,1
123,576,86,1
124,576,332,1
125,576,141,1
126,576,618,1
127,576,240,1
128,576,508,1
129,576,762,1
130,576,158,1
131,576,756,1
132,576,770,1
133,640,165,1
134,640,192,1
135,640,632,1
136,640,748,1
137,640,677,1
138,640,86,1
139,165,192,1
140,165,748,1
141,165,640,1
142,165,274,1
143,165,86,1
144,165,61,1
145,565,502,1
146,565,239,1
147,565,450,1
148,565,378,1
149,565,449,1
150,565,352,1
151,565,299,1
152,565,738,1
153,565,549,1
154,565,635,1
155,565,717,1
156,565,510,1
157,565,274,1
158,565,230,1
159,565,228,1
160,565,636,1
161,565,323,1
162,565,298,1
163,565,482,1
164,565,202,1
165,565,629,1
166,565,383,1
167,789,402,1
168,789,566,1
169,789,379,1
170,789,762,1
171,789,646,1
172,789,632,1
173,789,816,1
174,816,386,1
175,816,297,1
176,816,576,1
177,816,566,1
178,816,632,1
179,816,402,1
180,816,379,1
181,762,703,1
182,762,139,1
183,762,399,1
184,762,174,1
185,762,739,1
186,762,379,1
187,762,236,1
188,762,96,1
189,762,240,1
190,762,505,1
191,762,231,1
192,762,540,1
193,762,570,1
194,762,426,1
195,762,27,1
196,762,358,1
197,762,686,1
198,762,576,1
199,762,514,1
200,762,789,1
201,762,770,1
202,762,704,1
203,762,661,1
204,762,196,1
205,762,43,1
206,762,67,1
207,762,373,1
208,762,289,1
209,762,39,1
210,762,508,1
211,762,105,1
212,762,306,1
213,762,583,1
214,762,747,1
215,762,696,1
216,762,756,1
217,762,114,1
218,762,256,1
219,762,584,1
220,762,56,1
221,762,158,1
222,762,386,1
223,762,124,1
224,762,78,1
225,762,524,1
226,762,709,1
227,762,772,1
228,762,141,1
229,762,340,1
230,667,468,1
231,667,816,1
232,667,646,1
233,667,789,1
234,112,582,1
235,112,56,1
236,112,742,1
237,112,554,1
238,112,636,1
239,112,340,1
240,112,290,1
241,112,686,1
242,112,789,1
243,112,615,1
244,112,646,1
245,112,546,1
246,112,48,1
247,112,816,1
248,112,566,1
249,112,373,1
250,112,354,1
251,646,468,1
252,646,112,1
253,646,379,1
254,646,426,1
255,646,386,1
256,646,576,1
257,646,789,1
258,402,578,1
259,402,307,1
260,402,570,1
261,402,379,1
262,402,3,1
263,402,717,1
264,402,386,1
265,402,600,1
266,402,105,1
267,402,775,1
268,402,43,1
269,402,34,1
270,402,502,1
271,402,468,1
272,402,789,1
273,402,178,1
274,566,667,1
275,566,362,1
276,566,386,1
277,566,379,1
278,566,646,1
279,566,632,1
280,566,789,1
281,297,386,1
282,297,379,1
283,297,646,1
284,297,789,1
285,297,667,1
286,297,566,1
287,764,762,1
288,764,735,1
289,764,39,1
290,764,124,1
291,764,172,1
292,764,669,1
293,764,770,1
294,764,601,1
295,764,661,1
296,764,333,1
297,764,666,1
298,764,492,1
299,764,434,1
300,764,772,1
301,764,687,1
302,764,584,1
303,764,368,1
304,764,587,1
305,764,56,1
306,764,312,1
307,764,236,1
308,764,569,1
309,764,264,1
310,764,161,1
311,764,240,1
312,764,306,1
313,764,546,1
314,764,703,1
315,764,642,1
316,764,225,1
317,764,632,1
318,764,67,1
319,764,332,1
320,764,290,1
321,764,689,1
322,764,577,1
323,764,585,1
324,764,505,1
325,764,384,1
326,764,523,1
327,764,420,1
328,764,380,1
329,523,356,1
330,523,687,1
331,523,641,1
332,523,753,1
333,523,434,1
334,523,567,1
335,523,577,1
336,523,669,1
337,523,368,1
338,523,161,1
339,523,236,1
340,523,666,1
341,523,384,1
342,523,312,1
343,523,505,1
344,523,584,1
345,523,39,1
346,523,179,1
347,523,747,1
348,523,193,1
349,523,576,1
350,523,608,1
