,TF,Target,Label
0,120,276,1
1,286,412,0
2,92,146,0
3,200,206,0
4,138,220,0
5,154,814,0
6,215,141,0
7,539,759,0
8,389,803,0
9,214,52,0
10,231,350,0
11,703,772,1
12,717,775,1
13,544,771,1
14,127,700,0
15,158,35,0
16,276,600,1
17,803,129,0
18,636,386,1
19,168,221,1
20,188,635,1
21,709,256,0
22,802,418,0
23,540,704,1
24,565,299,1
25,470,105,1
26,130,335,0
27,656,195,0
28,251,540,0
29,180,103,1
30,740,320,0
31,776,682,1
32,398,171,0
33,581,775,1
34,806,544,1
35,43,762,1
36,432,62,0
37,56,615,1
38,803,69,0
39,231,340,0
40,383,468,1
41,429,24,1
42,780,794,0
43,358,511,1
44,247,358,1
45,277,118,0
46,463,789,0
47,597,787,0
48,519,493,0
49,56,739,1
50,79,570,1
51,229,36,0
52,114,70,0
53,177,169,0
54,576,124,1
55,408,808,0
56,290,43,1
57,686,399,1
58,704,352,0
59,729,363,1
60,48,597,1
61,576,48,1
62,390,178,0
63,578,402,1
64,773,296,1
65,67,756,1
66,290,13,0
67,354,332,1
68,508,739,1
69,114,110,0
70,378,534,1
71,373,139,1
72,622,642,1
73,446,443,0
74,202,105,1
75,78,482,0
76,806,1,1
77,153,230,0
78,358,116,1
79,762,196,1
80,773,384,1
81,252,198,0
82,452,517,0
83,448,511,0
84,299,657,0
85,795,792,0
86,168,98,0
87,656,719,0
88,167,782,0
89,514,56,1
90,582,745,0
91,251,747,0
92,811,473,1
93,311,754,0
94,586,468,1
95,315,596,0
96,524,696,1
97,631,129,0
98,709,153,1
99,377,740,1
100,130,44,0
101,529,799,1
102,576,689,1
103,596,544,0
104,463,182,0
105,565,274,1
106,139,775,1
107,349,76,0
108,97,318,0
109,685,154,1
110,540,408,0
111,202,12,1
112,476,600,1
113,399,81,0
114,398,778,0
115,229,694,1
116,126,484,0
117,231,770,1
118,765,395,0
119,586,755,0
120,772,801,1
121,316,488,1
122,290,633,1
123,511,576,1
124,248,480,1
125,358,772,1
126,473,268,0
127,154,448,1
128,4,727,0
129,12,770,1
130,628,790,0
131,43,362,1
132,3,500,0
133,729,373,0
134,811,248,1
135,565,636,1
136,358,689,1
137,642,329,0
138,772,570,0
139,764,434,1
140,154,175,0
141,158,760,1
142,168,685,1
143,668,809,0
144,201,632,1
145,547,743,0
146,225,99,1
147,744,21,0
148,275,672,1
149,581,755,0
150,762,583,1
151,78,67,1
152,642,386,1
153,642,354,1
154,290,446,1
155,552,152,0
156,770,399,1
157,617,544,0
158,409,614,0
159,231,256,0
160,429,740,1
161,276,583,0
162,275,342,1
163,138,118,0
164,202,278,0
165,67,141,1
166,390,345,0
167,672,177,0
168,732,73,1
169,349,192,0
170,342,402,0
171,541,120,1
172,459,668,0
173,225,487,0
174,225,357,1
175,653,395,0
176,15,755,1
177,116,602,0
178,218,451,0
179,770,576,1
180,290,696,1
181,247,120,1
182,402,105,1
183,468,584,1
184,402,228,0
185,789,762,1
186,734,434,0
187,175,791,0
188,25,273,0
189,743,88,0
190,470,638,1
191,271,661,0
192,773,609,0
193,120,177,0
194,578,493,0
195,156,275,0
196,654,15,1
197,120,755,1
198,25,672,1
199,622,600,1
200,311,644,0
201,739,703,1
202,795,71,0
203,493,615,1
204,248,89,1
205,623,496,1
206,165,294,0
207,767,464,0
208,14,156,0
209,812,640,0
210,144,108,0
211,502,122,0
212,180,656,0
213,564,272,0
214,392,402,0
215,762,236,1
216,342,344,0
217,451,420,0
218,750,567,0
219,773,57,1
220,286,274,0
221,806,611,1
222,300,163,0
223,373,306,1
224,290,775,1
225,812,599,0
226,398,805,0
227,626,541,1
228,756,48,1
229,514,122,0
230,399,12,1
231,297,655,0
232,390,15,0
233,764,62,0
234,153,158,1
235,48,514,1
236,772,764,1
237,214,266,0
238,138,579,0
239,717,4,1
240,209,499,1
241,358,112,1
242,776,48,1
243,48,163,1
244,540,335,0
245,116,300,1
246,297,397,0
247,717,202,1
248,299,187,0
249,775,120,1
250,141,756,1
251,468,587,1
252,615,493,1
253,760,15,1
254,544,471,0
255,112,104,0
256,92,45,0
257,535,66,0
258,571,185,0
259,286,90,0
260,750,244,0
261,347,501,0
262,606,524,0
263,519,120,1
264,258,232,0
265,56,681,0
266,120,685,1
267,15,297,0
268,546,340,1
269,628,704,1
270,247,369,0
271,519,23,0
272,800,131,0
273,246,755,1
274,67,25,0
275,452,813,0
276,307,120,1
277,399,546,1
278,170,130,0
279,566,504,0
280,729,480,1
281,252,82,0
282,56,373,1
283,790,763,0
284,34,225,0
285,509,309,0
286,686,460,0
287,483,407,0
288,220,497,0
289,473,466,0
290,392,753,0
291,4,341,0
292,178,265,0
293,623,355,0
