,TF,Target,Label
0,1116,407,1
1,1257,1116,0
2,1301,1250,0
3,1571,78,1
4,332,382,1
5,470,1161,1
6,1096,1395,1
7,1305,1093,1
8,1156,929,1
9,423,368,0
10,1161,1602,1
11,478,858,1
12,125,685,0
13,412,1474,0
14,1513,848,1
15,979,371,1
16,493,1343,1
17,1162,254,1
18,427,1300,0
19,294,579,1
20,687,1340,1
21,288,9,0
22,611,248,0
23,421,649,1
24,493,1071,0
25,61,1465,0
26,1009,1277,0
27,187,1311,0
28,21,1436,0
29,355,1468,1
30,603,1101,1
31,1524,1533,0
32,602,754,1
33,1028,742,1
34,415,1581,0
35,1355,1290,0
36,1001,1146,1
37,1013,873,1
38,890,1263,0
39,1301,1605,1
40,885,1317,1
41,1533,1525,0
42,141,855,0
43,49,898,0
44,847,268,1
45,1013,963,1
46,250,1460,1
47,233,336,1
48,79,429,1
49,963,68,1
50,579,584,0
51,392,1362,0
52,967,834,1
53,1577,73,1
54,1372,6,0
55,1408,117,0
56,1517,1473,1
57,1301,1329,1
58,107,1193,0
59,754,1513,1
60,665,863,0
61,445,1473,1
62,79,1268,1
63,581,687,1
64,313,1608,0
65,1180,1571,1
66,1062,830,0
67,1029,519,0
68,1513,1204,1
69,886,1525,0
70,169,1175,0
71,573,810,0
72,1324,717,1
73,27,528,1
74,817,225,0
75,1355,1317,0
76,680,1450,0
77,193,227,1
78,1256,312,0
79,581,27,1
80,1418,1446,0
81,918,476,1
82,1070,359,0
83,417,1070,1
84,598,403,1
85,561,417,1
86,493,776,1
87,1323,507,0
88,727,34,0
89,414,1283,0
90,1571,891,0
91,131,493,1
92,815,646,0
93,326,346,0
94,608,1422,1
95,27,817,1
96,379,210,1
97,1523,624,1
98,940,1575,0
99,762,493,1
100,412,1530,0
101,360,673,1
102,993,614,0
103,429,963,1
104,1162,1140,1
105,1527,1245,0
106,1261,299,1
107,182,1103,0
108,712,1395,1
109,727,1305,1
110,131,929,1
111,1028,1286,1
112,598,906,0
113,315,360,1
114,754,1205,1
115,1492,448,0
116,1305,576,1
117,1343,1280,1
118,347,1006,0
119,730,1470,1
120,576,493,1
121,730,1565,1
122,754,1460,1
123,370,1418,0
124,1468,1517,1
125,278,517,1
126,1599,137,0
127,1513,786,1
128,1161,1091,1
129,179,1147,1
130,1235,732,0
131,1221,927,0
132,1611,826,0
133,1142,368,0
134,238,356,0
135,1491,924,0
136,1093,26,1
137,180,1460,1
138,1389,916,1
139,1180,556,0
140,748,1186,0
141,1382,759,0
142,370,452,0
143,1151,1451,0
144,491,1343,1
145,680,785,0
146,478,491,1
147,1256,831,0
148,348,191,1
149,1367,1261,0
150,1337,663,0
151,381,1353,0
152,1449,804,1
153,1579,219,0
154,335,218,0
155,1147,739,0
156,1382,1140,1
157,443,1190,0
158,542,996,0
159,82,89,1
160,1288,834,0
161,542,1005,0
162,291,760,0
163,1458,1126,0
164,1081,1095,0
165,1458,73,1
166,1484,77,0
167,727,976,1
168,1402,692,0
169,547,577,0
170,927,1491,1
171,776,300,1
172,1220,193,1
173,1101,846,0
174,576,1113,1
175,1165,5,0
176,480,1182,0
177,1340,940,0
