,TF,Target,Label
0,235,249,1
1,328,705,1
2,328,2,1
3,328,185,1
4,328,976,1
5,328,948,1
6,328,987,1
7,328,727,1
8,328,4,1
9,328,428,1
10,328,961,1
11,328,589,1
12,328,775,1
13,328,519,1
14,328,274,1
15,328,898,1
16,328,269,1
17,328,495,1
18,328,1033,1
19,328,279,1
20,328,292,1
21,328,533,1
22,328,1101,1
23,328,148,1
24,328,423,1
25,328,928,1
26,328,785,1
27,328,1079,1
28,328,834,1
29,328,779,1
30,328,934,1
31,328,320,1
32,328,288,1
33,533,328,1
34,533,249,1
35,533,867,1
36,533,86,1
37,533,269,1
38,533,775,1
39,533,175,1
40,533,235,1
41,249,1103,1
42,249,749,1
43,249,1001,1
44,249,597,1
45,249,235,1
46,249,308,1
47,249,533,1
48,249,354,1
49,110,1002,1
50,1002,1003,1
51,1002,110,1
52,1002,1033,1
53,1002,319,1
54,1002,423,1
55,1002,828,1
56,1002,852,1
57,1002,586,1
58,374,902,1
59,374,510,1
60,374,1067,1
61,374,296,1
62,374,1097,1
63,374,727,1
64,374,401,1
65,374,874,1
66,374,953,1
67,374,806,1
68,374,515,1
69,374,367,1
70,374,609,1
71,1097,287,1
72,1097,902,1
73,1097,453,1
74,1097,723,1
75,1097,844,1
76,1097,874,1
77,1097,1004,1
78,1097,953,1
79,1097,865,1
80,1097,95,1
81,1097,136,1
82,515,582,1
83,515,782,1
84,515,921,1
85,515,548,1
86,515,736,1
87,515,1028,1
88,515,616,1
89,515,653,1
90,515,727,1
91,515,1032,1
92,515,182,1
93,902,782,1
94,902,844,1
95,902,153,1
96,902,510,1
97,902,1097,1
98,902,77,1
99,902,874,1
100,902,296,1
101,902,374,1
102,902,871,1
103,902,1067,1
104,902,717,1
105,902,609,1
106,902,383,1
107,961,415,1
108,961,407,1
109,961,733,1
110,961,425,1
111,961,649,1
112,961,589,1
113,961,1117,1
114,961,83,1
115,961,1022,1
116,961,680,1
117,961,34,1
118,961,374,1
119,961,816,1
120,961,989,1
121,961,532,1
122,961,31,1
123,961,468,1
124,961,118,1
125,961,483,1
126,961,288,1
127,961,350,1
128,961,328,1
129,961,837,1
130,961,948,1
131,961,171,1
132,961,922,1
133,961,528,1
134,961,823,1
135,961,362,1
136,961,842,1
137,961,987,1
138,961,980,1
139,961,460,1
140,961,991,1
141,961,777,1
142,961,435,1
143,961,364,1
144,961,772,1
145,961,1099,1
146,961,221,1
147,961,611,1
148,961,500,1
149,961,185,1
150,961,85,1
151,727,552,1
152,727,201,1
153,727,740,1
154,727,443,1
155,727,1079,1
156,727,996,1
157,727,21,1
158,727,1028,1
159,727,582,1
160,727,951,1
161,727,548,1
162,727,450,1
163,727,1003,1
164,727,328,1
165,727,960,1
166,727,374,1
167,727,736,1
168,727,774,1
169,727,361,1
170,727,966,1
171,727,602,1
172,727,898,1
173,727,1065,1
174,727,616,1
175,727,653,1
176,727,921,1
177,727,865,1
178,727,884,1
179,727,141,1
180,806,1066,1
181,806,953,1
182,806,673,1
183,806,717,1
184,806,77,1
185,806,1097,1
186,806,548,1
187,806,624,1
188,806,510,1
189,806,321,1
190,806,367,1
191,296,1067,1
192,296,444,1
193,296,260,1
194,296,287,1
195,296,953,1
196,296,902,1
197,296,77,1
198,296,609,1
199,296,510,1
200,296,844,1
201,296,1018,1
202,296,723,1
203,296,673,1
204,296,487,1
205,609,374,1
206,609,510,1
207,609,401,1
208,609,367,1
209,609,1067,1
210,609,1066,1
211,609,296,1
212,609,1097,1
213,609,383,1
214,609,723,1
215,609,77,1
