,TF,Target,Label
0,141,305,1
1,141,153,1
2,141,608,1
3,141,455,1
4,141,511,1
5,141,574,1
6,141,70,1
7,141,103,1
8,141,1,1
9,141,142,1
10,141,548,1
11,141,385,1
12,141,402,1
13,141,171,1
14,141,227,1
15,141,37,1
16,141,579,1
17,141,84,1
18,141,518,1
19,141,479,1
20,141,257,1
21,141,451,1
22,141,689,1
23,141,353,1
24,141,681,1
25,141,334,1
26,689,353,1
27,689,81,1
28,689,518,1
29,689,297,1
30,689,385,1
31,689,40,1
32,689,209,1
33,689,207,1
34,689,325,1
35,689,647,1
36,689,479,1
37,689,62,1
38,689,171,1
39,689,95,1
40,689,213,1
41,689,141,1
42,689,103,1
43,689,334,1
44,689,402,1
45,689,579,1
46,689,443,1
47,689,11,1
48,689,149,1
49,689,458,1
50,689,423,1
51,689,70,1
52,689,558,1
53,689,608,1
54,689,642,1
55,689,153,1
56,689,83,1
57,689,497,1
58,647,14,1
59,647,458,1
60,647,443,1
61,647,402,1
62,647,353,1
63,647,689,1
64,647,368,1
65,647,95,1
66,647,548,1
67,647,213,1
68,647,334,1
69,647,142,1
70,647,579,1
71,37,504,1
72,37,385,1
73,37,548,1
74,37,511,1
75,37,150,1
76,37,70,1
77,37,171,1
78,37,703,1
79,37,83,1
80,37,574,1
81,37,81,1
82,37,458,1
83,37,579,1
84,37,334,1
85,37,451,1
86,37,636,1
87,37,209,1
88,37,167,1
89,37,624,1
90,37,440,1
91,37,642,1
92,37,11,1
93,37,608,1
94,37,257,1
95,37,689,1
96,37,368,1
97,37,84,1
98,37,455,1
99,37,40,1
100,37,443,1
101,37,103,1
102,37,149,1
103,37,213,1
104,37,1,1
105,37,325,1
106,213,504,1
107,213,574,1
108,213,257,1
109,213,458,1
110,213,83,1
111,213,149,1
112,213,142,1
113,213,451,1
114,213,511,1
115,213,297,1
116,213,455,1
117,213,681,1
118,213,402,1
119,213,689,1
120,213,353,1
121,213,642,1
122,213,305,1
123,213,62,1
124,213,82,1
125,213,608,1
126,213,579,1
127,213,70,1
128,213,368,1
129,213,647,1
130,213,153,1
131,213,141,1
132,213,334,1
133,305,479,1
134,305,518,1
135,305,84,1
136,305,497,1
137,305,402,1
138,305,689,1
139,305,334,1
140,305,70,1
141,305,207,1
142,305,558,1
143,305,608,1
144,305,385,1
145,305,213,1
146,305,1,1
147,305,579,1
148,305,153,1
149,305,62,1
150,305,504,1
151,305,142,1
152,305,40,1
153,305,368,1
154,305,443,1
155,305,297,1
156,305,149,1
157,305,81,1
158,305,141,1
159,305,11,1
160,305,574,1
161,14,207,1
162,14,647,1
163,14,497,1
164,14,353,1
165,14,257,1
166,14,320,1
167,14,325,1
168,14,548,1
169,14,103,1
170,14,689,1
171,14,83,1
172,14,70,1
173,14,681,1
174,14,451,1
175,14,62,1
176,14,368,1
177,14,305,1
178,14,385,1
179,14,213,1
180,14,504,1
181,14,141,1
182,14,558,1
183,14,142,1
184,14,579,1
185,14,574,1
186,14,153,1
187,14,164,1
188,14,84,1
189,479,14,1
190,479,458,1
191,479,209,1
192,479,81,1
193,479,171,1
194,479,642,1
195,479,443,1
196,479,636,1
197,479,305,1
198,479,153,1
199,479,70,1
200,479,213,1
201,479,307,1
202,479,368,1
203,479,103,1
204,479,82,1
205,479,504,1
206,479,385,1
207,479,84,1
208,479,689,1
209,479,511,1
210,479,207,1
211,479,358,1
212,479,149,1
213,646,97,1
214,646,412,1
215,97,13,1
216,97,412,1
217,97,571,1
218,97,245,1
219,97,249,1
220,97,320,1
221,97,65,1
222,97,374,1
223,97,646,1
224,97,654,1
225,97,431,1
226,97,629,1
227,412,159,1
228,412,431,1
229,412,50,1
230,412,160,1
231,320,510,1
232,320,563,1
233,320,511,1
234,320,615,1
235,320,97,1
236,320,57,1
237,320,600,1
238,320,139,1
239,320,534,1
240,320,173,1
241,320,602,1
242,320,629,1
243,320,519,1
244,320,579,1
245,320,649,1
246,320,483,1
247,320,472,1
248,320,195,1
249,320,545,1
250,320,14,1
251,320,315,1
252,320,38,1
253,423,440,1
254,423,636,1
255,423,70,1
256,423,353,1
257,423,84,1
258,423,207,1
259,423,451,1
260,423,171,1
261,38,74,1
262,38,600,1
263,38,615,1
264,38,320,1
265,600,615,1
266,600,57,1
267,600,38,1
268,600,74,1
269,74,690,1
270,74,57,1
271,74,571,1
272,74,615,1
273,74,38,1
274,57,534,1
275,57,195,1
276,57,177,1
277,57,315,1
278,57,472,1
279,57,571,1
280,57,615,1
281,57,639,1
282,57,600,1
283,57,649,1
284,615,57,1
285,615,38,1
286,615,139,1
287,615,74,1
288,195,512,1
289,195,639,1
290,195,38,1
291,534,472,1
292,534,177,1
293,534,649,1
294,534,315,1
295,534,57,1
296,649,177,1
297,649,320,1
298,649,534,1
299,649,501,1
300,649,315,1
301,177,649,1
302,177,472,1
303,177,315,1
304,177,402,1
305,177,320,1
306,177,563,1
307,177,173,1
308,177,511,1
309,177,497,1
310,177,519,1
311,454,605,1
312,454,685,1
313,454,67,1
314,454,696,1
315,454,488,1
316,454,236,1
317,454,86,1
318,683,585,1
319,683,581,1
320,683,211,1
321,683,605,1
322,683,67,1
323,683,570,1
324,683,299,1
325,683,488,1
326,683,445,1
327,683,685,1
328,683,374,1
329,685,454,1
330,685,683,1
331,685,299,1
332,685,502,1
333,685,529,1
334,685,445,1
335,685,512,1
336,685,696,1
337,685,139,1
338,685,67,1
339,685,435,1
340,685,236,1
341,127,488,1
342,127,454,1
343,251,99,1
344,251,178,1
345,251,291,1
346,251,614,1
347,251,101,1
348,251,323,1
349,251,391,1
350,251,384,1
351,251,317,1
352,291,111,1
353,291,509,1
354,291,251,1
355,291,654,1
356,384,323,1
357,384,251,1
358,101,121,1
359,101,509,1
360,101,483,1
361,101,111,1
362,101,469,1
363,101,671,1
364,101,521,1
365,323,99,1
366,323,251,1
367,323,101,1
368,614,154,1
369,614,97,1
370,614,251,1
371,614,588,1
372,494,111,1
373,494,244,1
374,521,251,1
375,317,251,1
376,588,571,1
377,588,622,1
378,588,251,1
379,588,366,1
380,588,614,1
381,588,160,1
382,588,286,1
383,588,604,1
384,588,374,1
385,588,97,1
386,588,229,1
387,588,311,1
388,588,68,1
389,588,654,1
390,343,251,1
391,343,431,1
392,343,249,1
393,99,384,1
394,391,251,1
395,391,111,1
396,178,535,1
397,178,638,1
398,178,227,1
399,178,659,1
400,571,320,1
401,571,198,1
402,571,654,1
403,571,361,1
404,571,74,1
405,571,702,1
406,571,431,1
407,571,493,1
408,571,65,1
409,571,57,1
410,639,320,1
411,639,195,1
412,602,512,1
413,602,690,1
