,TF,Target,Label
0,244,317,1
1,639,613,0
2,128,364,0
3,17,699,0
4,454,236,1
5,296,610,0
6,639,297,0
7,563,240,1
8,14,305,1
9,580,305,0
10,422,187,0
11,685,512,1
12,374,571,1
13,74,59,0
14,48,659,1
15,361,410,1
16,291,628,0
17,658,479,1
18,689,642,1
19,376,223,0
20,178,46,0
21,213,141,1
22,320,629,1
23,366,64,0
24,474,402,1
25,527,636,1
26,362,171,1
27,101,483,1
28,646,97,1
29,571,65,1
30,533,506,0
31,656,60,0
32,498,421,1
33,305,385,1
34,231,103,1
35,540,60,0
36,320,510,1
37,366,251,0
38,244,494,1
39,604,622,1
40,152,268,0
41,590,690,1
42,547,564,0
43,152,255,0
44,48,227,1
45,571,361,1
46,168,149,0
47,422,33,0
48,438,664,0
49,682,398,0
50,512,297,1
51,141,681,1
52,80,652,0
53,648,326,0
54,305,149,1
55,178,471,0
56,57,649,1
57,694,85,0
58,129,103,0
59,604,216,0
60,69,139,0
61,690,238,1
62,700,504,0
63,454,605,1
64,683,570,1
65,682,351,0
66,383,610,1
67,431,230,0
68,320,602,1
69,700,421,1
70,685,683,1
71,178,227,1
72,467,634,0
73,91,492,0
74,112,493,0
75,37,257,1
76,401,429,0
77,97,13,1
78,702,571,1
79,614,154,1
80,213,504,1
81,649,534,1
82,422,452,1
83,588,571,1
84,441,368,0
85,412,113,0
86,48,294,0
87,623,146,1
88,685,278,0
89,129,192,0
90,568,125,0
91,571,518,0
92,65,498,1
93,71,411,1
94,602,512,1
95,562,225,0
96,701,636,1
97,588,374,1
98,442,332,0
99,685,236,1
100,422,130,0
101,578,313,1
102,626,578,0
103,305,142,1
104,441,167,0
105,152,127,0
106,354,8,1
107,284,304,0
108,127,511,0
109,330,316,0
110,305,479,1
111,119,245,0
112,521,19,0
113,296,9,0
114,14,141,1
115,307,153,1
116,251,147,0
117,671,691,0
118,527,574,1
119,323,99,1
120,152,299,1
121,37,103,1
122,410,361,1
123,479,458,1
124,623,42,0
125,251,384,1
126,178,638,1
127,359,416,1
128,615,147,0
129,588,489,0
130,97,374,1
131,48,642,1
132,494,38,0
133,244,54,0
134,689,11,1
