,TF,Target,Label
0,257,130,0
1,993,502,1
2,616,1074,0
3,422,1110,1
4,817,157,1
5,649,663,0
6,993,437,0
7,387,352,1
8,311,235,1
9,699,120,0
10,38,117,0
11,1075,35,1
12,957,66,1
13,753,448,0
14,972,1125,1
15,972,649,0
16,817,828,1
17,422,839,1
18,356,786,1
19,671,735,0
20,766,416,0
21,387,871,0
22,753,489,0
23,860,560,0
24,585,534,0
25,506,502,1
26,622,474,0
27,1018,117,0
28,418,896,0
29,387,276,1
30,976,551,0
31,85,518,0
32,676,898,0
33,75,1028,1
34,1018,122,1
35,319,507,1
36,670,499,1
37,764,6,0
38,38,825,1
39,457,298,0
40,1113,416,0
41,418,960,0
42,994,934,1
43,1044,661,1
44,1106,799,0
45,422,290,0
46,622,558,0
47,670,780,1
48,16,704,0
49,422,311,1
50,994,924,1
51,991,422,1
52,534,358,0
53,846,1075,0
54,990,1075,0
55,616,1076,0
56,846,928,0
57,585,26,1
58,986,1054,0
59,772,784,0
60,572,1095,1
61,955,242,0
62,995,572,1
63,585,137,1
64,360,947,0
65,991,687,1
66,387,191,1
67,1044,687,1
68,502,215,0
69,515,308,0
70,1005,595,0
71,979,1029,0
72,585,531,1
73,515,1075,0
74,897,278,0
75,38,361,1
76,14,442,1
77,862,659,1
78,311,444,1
79,387,234,1
80,240,1081,0
81,817,270,1
82,120,530,0
83,935,14,1
84,356,123,0
85,150,228,0
86,854,534,0
87,1044,253,0
88,108,265,0
89,502,756,1
90,585,704,1
91,297,667,0
92,1130,326,0
93,128,586,0
94,85,1044,1
95,925,578,1
96,994,520,1
97,1048,437,0
98,741,52,0
99,658,963,1
100,957,212,1
101,38,839,1
102,699,616,0
103,1048,191,1
104,460,47,0
105,676,1115,1
106,515,354,1
107,406,577,1
108,1113,169,0
109,766,534,0
110,1018,1129,1
111,169,781,0
112,107,312,0
113,962,1125,1
114,1113,467,0
115,360,520,1
116,817,758,1
117,1023,275,1
118,515,454,0
119,526,1065,0
120,457,1037,0
121,460,616,1
122,716,991,1
123,784,1007,0
124,38,163,1
125,766,759,0
126,356,171,0
127,927,657,0
128,955,1051,0
129,117,1057,0
130,786,208,0
131,993,307,0
132,412,750,1
133,716,977,1
134,526,795,0
135,786,122,1
136,1125,691,1
137,360,616,1
138,616,6,0
139,699,196,0
140,676,987,0
141,1048,1044,1
142,935,56,0
143,784,824,1
144,75,661,1
145,1023,961,0
146,572,275,1
147,585,824,1
148,756,1020,0
149,356,360,0
150,117,68,0
151,107,486,0
152,257,786,0
153,994,664,0
154,515,149,0
155,716,179,1
156,150,485,0
157,994,900,0
158,118,464,0
159,955,957,0
160,858,263,0
161,939,129,0
162,784,506,1
163,1018,179,1
164,716,934,1
165,240,162,0
166,257,925,0
167,994,444,1
168,348,301,0
169,585,952,1
170,585,449,0
171,175,924,1
172,150,851,0
173,649,730,0
174,994,311,1
175,387,950,1
176,1005,1130,1
177,422,1019,1
178,991,213,1
179,387,672,1
180,957,639,1
181,117,967,0
182,175,1042,0
183,786,977,1
184,14,461,0
185,465,21,0
186,922,289,0
187,257,306,0
188,994,1099,0
189,858,873,0
190,406,376,0
191,1113,1124,0
192,716,1101,0
193,585,1129,1
194,257,153,0
195,457,1130,0
196,524,555,0
197,718,915,0
198,1018,281,0
199,528,805,0
200,818,516,0
201,995,336,0
202,1023,899,0
203,616,90,1
204,465,862,1
205,716,602,1
206,120,849,0
207,768,251,1
208,862,307,0
209,741,301,0
210,1130,46,1
211,240,6,0
212,14,450,1
213,171,248,0
214,716,516,1
215,35,467,1
216,1018,618,1
217,169,47,0
218,257,425,0
219,422,22,1
220,1044,455,0
221,515,1010,0
222,1018,863,1
223,585,270,1
224,676,951,1
225,862,412,1
226,691,370,0
227,585,1110,1
228,438,564,0
229,1018,309,1
230,676,39,1
231,455,156,0
232,422,516,1
233,994,583,1
234,796,572,1
235,117,440,0
236,59,734,0
237,616,658,1
238,524,934,1
239,412,962,1
240,691,83,0
241,862,257,1
242,821,776,0
243,756,729,0
244,818,839,0
245,387,221,1
246,162,834,0
247,1023,1064,0
248,774,548,0
249,796,704,0
250,1106,257,1
251,1018,531,1
252,716,842,1
253,994,372,1
254,333,785,0
255,1113,918,0
256,311,402,0
257,993,428,0
258,85,840,1
259,994,666,0
260,1075,616,1
261,991,819,1
262,786,46,0
263,1075,734,0
264,422,574,1
265,438,554,0
266,585,395,1
267,796,988,0
268,1023,285,1
269,356,336,0
270,59,802,0
271,716,254,1
272,957,1111,1
273,162,202,0
274,14,124,0
275,387,957,1
276,719,376,0
277,120,753,0
278,171,1106,1
279,524,206,0
280,253,215,0
281,1059,757,0
282,860,951,1
283,935,816,0
284,387,106,1
285,718,649,0
286,962,491,0
287,716,992,1
288,766,718,0
289,1018,395,1
290,821,329,0
291,716,145,1
292,991,396,1
293,622,507,1
294,502,438,0
295,89,247,0
296,16,759,0
297,1047,412,1
298,818,96,0
299,253,275,1
300,1018,727,1
301,862,283,1
302,746,271,1
303,1018,254,1
304,862,722,0
305,150,668,0
306,700,873,0
307,670,1004,0
308,616,1044,1
309,550,1130,0
310,691,284,1
311,1044,520,1
312,928,348,0
313,387,164,1
314,1058,508,0
315,175,477,1
316,1048,955,1
317,928,186,0
318,1018,637,1
319,422,895,1
320,422,226,1
321,957,1125,1
322,311,687,1
323,422,464,1
324,1048,1086,1
325,506,13,1
326,616,287,0
327,422,328,1
328,994,395,1
329,59,727,0
330,523,959,0
331,995,611,0
332,719,265,0
333,1048,320,1
334,939,1047,0
335,438,172,0
336,991,1108,1
337,120,729,0
338,572,995,1
339,302,841,0
340,994,1129,1
341,585,969,0
342,438,728,1
343,528,1070,0
344,1018,825,1
345,1018,350,1
346,356,548,0
347,994,991,1
348,1018,992,1
349,1095,136,1
350,14,480,0
351,1106,862,1
352,772,77,0
353,1075,626,1
354,897,382,0
355,607,385,0
356,248,642,0
357,502,46,0
358,676,157,0
359,387,1009,1
360,85,142,0
361,766,1116,0
362,14,254,0
363,502,173,0
364,846,297,1
365,991,602,1
366,38,815,1
367,387,877,0
368,796,1111,1
369,439,618,0
370,716,473,1
371,438,1026,0
372,1125,862,1
373,649,808,0
374,297,181,1
375,1044,675,0
376,821,600,0
377,455,281,0
378,716,637,1
379,311,372,1
380,786,439,0
381,253,195,0
382,818,434,1
383,59,591,1
384,16,564,0
385,311,991,1
386,846,658,1
387,994,1115,1
388,356,465,1
389,616,1019,1
390,108,283,1
391,1044,526,1
392,1047,647,0
393,120,329,0
394,995,886,0
395,649,818,0
396,676,209,1
397,676,815,1
398,962,798,0
399,616,360,1
400,1018,933,1
401,311,309,1
402,422,745,0
403,1047,483,0
404,128,951,1
405,169,992,0
406,78,1001,0
407,1018,1115,1
408,691,909,0
409,995,317,0
410,976,616,1
411,991,1129,1
412,85,993,1
413,784,945,0
414,972,420,0
415,818,355,0
416,1059,468,0
417,422,1018,1
418,862,196,0
419,14,386,0
420,418,868,0
421,422,26,1
422,585,444,1
423,117,1095,0
424,387,528,0
425,585,825,1
426,921,179,0
427,699,1027,0
428,927,405,0
429,1023,674,0
430,118,933,0
431,311,704,1
432,35,397,1
433,854,823,0
434,422,977,1
435,716,235,1
436,976,974,0
