,TF,Target,Label
0,402,167,1
1,402,614,1
2,402,421,1
3,402,229,1
4,402,220,1
5,402,99,1
6,402,98,1
7,402,455,1
8,402,566,1
9,402,403,1
10,402,464,1
11,402,164,1
12,402,559,1
13,402,243,1
14,402,565,1
15,402,26,1
16,402,237,1
17,402,111,1
18,402,532,1
19,402,309,1
20,402,84,1
21,402,491,1
22,256,565,1
23,256,550,1
24,256,164,1
25,256,72,1
26,256,489,1
27,256,99,1
28,256,254,1
29,256,421,1
30,256,611,1
31,256,266,1
32,256,229,1
33,256,614,1
34,256,309,1
35,256,220,1
36,256,26,1
37,256,98,1
38,256,559,1
39,256,471,1
40,256,41,1
41,256,532,1
42,256,52,1
43,256,402,1
44,256,167,1
45,614,471,1
46,614,191,1
47,614,402,1
48,614,41,1
49,614,164,1
50,614,443,1
51,614,421,1
52,614,532,1
53,614,508,1
54,614,565,1
55,614,240,1
56,614,491,1
57,614,455,1
58,403,614,1
59,403,99,1
60,403,455,1
61,403,243,1
62,403,566,1
63,403,237,1
64,403,559,1
65,403,204,1
66,403,611,1
67,403,508,1
68,403,220,1
69,403,251,1
70,403,402,1
71,403,489,1
72,403,254,1
73,403,191,1
74,403,26,1
75,403,443,1
76,403,532,1
77,403,309,1
78,403,240,1
79,403,71,1
80,403,491,1
81,403,266,1
82,266,489,1
83,266,614,1
84,266,164,1
85,266,237,1
86,266,71,1
87,266,403,1
88,266,559,1
89,266,479,1
90,266,240,1
91,266,111,1
92,266,251,1
93,266,52,1
94,266,229,1
95,266,243,1
96,266,464,1
97,266,471,1
98,266,532,1
99,266,421,1
100,266,565,1
101,266,220,1
102,266,309,1
103,266,468,1
104,243,266,1
105,243,164,1
106,243,455,1
107,243,489,1
108,243,167,1
109,243,614,1
110,243,229,1
111,243,532,1
112,243,72,1
113,243,191,1
114,243,52,1
115,243,479,1
116,243,508,1
117,243,565,1
118,243,98,1
119,243,559,1
120,243,309,1
121,243,443,1
122,243,254,1
123,243,41,1
124,243,237,1
125,243,611,1
126,243,111,1
127,41,167,1
128,41,491,1
129,41,35,1
130,41,464,1
131,41,309,1
132,41,256,1
133,41,489,1
134,41,237,1
135,41,191,1
136,41,254,1
137,41,52,1
138,41,455,1
139,41,403,1
140,41,26,1
141,41,72,1
142,41,479,1
143,41,421,1
144,41,243,1
145,41,565,1
146,41,98,1
147,41,251,1
148,41,402,1
149,229,566,1
150,229,464,1
151,229,158,1
152,229,26,1
153,229,164,1
154,229,508,1
155,229,321,1
156,229,52,1
157,229,41,1
158,229,167,1
159,229,251,1
160,229,455,1
161,229,443,1
162,229,71,1
163,229,402,1
164,229,111,1
165,229,271,1
166,229,266,1
167,166,261,1
168,166,118,1
169,261,469,1
170,261,155,1
171,261,564,1
172,261,31,1
173,261,377,1
174,261,439,1
175,261,305,1
176,261,166,1
177,118,155,1
178,118,439,1
179,118,261,1
180,35,319,1
181,35,440,1
182,35,421,1
183,35,222,1
184,35,275,1
185,35,72,1
186,35,220,1
187,35,41,1
188,35,488,1
189,35,261,1
190,35,16,1
191,35,565,1
192,35,362,1
193,35,587,1
194,35,221,1
195,35,304,1
196,35,205,1
197,158,229,1
198,158,443,1
199,158,565,1
200,158,271,1
201,158,237,1
202,158,164,1
203,271,443,1
204,271,446,1
205,271,158,1
206,271,237,1
207,271,565,1
208,271,196,1
209,446,599,1
210,446,565,1
211,446,421,1
212,446,271,1
213,446,72,1
214,446,164,1
215,446,35,1
216,446,508,1
217,195,220,1
218,195,35,1
219,195,164,1
220,195,576,1
221,195,421,1
222,195,565,1
223,195,508,1
224,195,153,1
225,195,221,1
226,137,464,1
227,137,26,1
228,137,167,1
229,137,309,1
230,377,201,1
231,377,262,1
232,377,589,1
233,377,187,1
234,377,38,1
235,377,224,1
236,377,280,1
237,377,11,1
238,377,261,1
239,377,500,1
240,277,315,1
241,277,377,1
242,486,260,1
243,486,499,1
244,499,201,1
245,499,486,1
246,187,112,1
247,187,377,1
248,187,217,1
249,187,447,1
250,589,377,1
251,589,93,1
252,131,499,1
253,11,377,1
254,221,153,1
255,221,16,1
256,221,62,1
257,221,576,1
258,221,195,1
259,221,362,1
260,153,195,1
261,153,221,1
262,153,576,1
263,153,275,1
264,587,509,1
265,587,475,1
266,587,221,1
267,587,35,1
268,62,195,1
269,509,35,1
270,509,136,1
271,509,221,1
272,509,587,1
273,576,221,1
274,576,35,1
275,576,304,1
276,576,195,1
277,628,598,1
278,119,26,1
279,119,609,1
280,599,330,1
281,599,271,1
282,599,237,1
283,599,351,1
284,205,291,1
285,205,263,1
286,205,195,1
287,205,97,1
288,205,152,1
289,205,425,1
