,TF,Target,Label
0,532,275,1
1,275,44,1
2,275,532,1
3,98,113,1
4,98,250,1
5,98,65,1
6,98,5,1
7,98,448,1
8,98,365,1
9,98,508,1
10,518,230,1
11,518,363,1
12,518,556,1
13,518,439,1
14,518,530,1
15,518,63,1
16,518,292,1
17,518,403,1
18,63,274,1
19,63,439,1
20,63,172,1
21,63,403,1
22,63,363,1
23,63,292,1
24,63,558,1
25,292,530,1
26,292,518,1
27,292,558,1
28,292,403,1
29,292,363,1
30,292,63,1
31,292,439,1
32,292,230,1
33,508,182,1
34,508,523,1
35,65,242,1
36,242,98,1
37,242,65,1
38,5,98,1
39,316,191,1
40,316,506,1
41,316,140,1
42,316,399,1
43,57,498,1
44,57,440,1
45,182,2,1
46,182,316,1
47,182,508,1
48,182,223,1
49,77,182,1
50,77,82,1
51,131,422,1
52,422,7,1
53,523,341,1
54,523,488,1
55,523,86,1
56,523,140,1
57,10,508,1
58,10,7,1
59,506,316,1
60,480,523,1
61,480,182,1
62,480,140,1
63,480,556,1
64,329,140,1
65,140,329,1
66,140,480,1
67,552,44,1
68,7,422,1
69,7,240,1
70,7,88,1
71,82,77,1
72,313,24,1
73,313,52,1
74,24,313,1
75,138,554,1
76,349,480,1
77,349,556,1
78,376,538,1
79,399,316,1
80,488,523,1
81,547,422,1
82,240,547,1
83,240,7,1
84,522,403,1
85,181,349,1
86,540,138,1
87,383,420,1
88,420,383,1
