,TF,Target,Label
0,56,460,0
1,320,122,0
2,419,1,0
3,63,274,1
4,240,7,1
5,518,171,0
6,392,90,0
7,63,172,1
8,460,516,0
9,98,365,1
10,383,420,1
11,508,182,1
12,182,316,1
13,480,392,0
14,63,439,1
15,329,140,1
16,182,2,1
17,7,240,1
18,532,275,1
19,65,434,0
20,7,88,1
21,480,556,1
22,138,554,1
23,182,508,1
24,98,65,1
25,275,44,1
26,98,448,1
27,552,396,0
28,119,73,0
29,20,234,0
30,547,143,0
31,552,440,0
32,10,508,1
33,446,385,0
34,242,98,1
35,349,223,0
36,320,463,0
37,98,5,1
38,181,349,1
39,547,544,0
40,105,231,0
41,375,516,0
42,420,507,0
43,420,306,0
44,518,266,0
45,235,424,0
46,98,113,1
47,488,65,0
48,235,236,0
49,446,404,0
50,349,459,0
51,552,44,1
52,422,520,0
53,399,172,0
54,349,480,1
55,140,480,1
56,546,135,0
57,399,316,1
58,292,432,0
59,399,181,0
60,105,39,0
61,136,157,0
62,10,108,0
63,182,30,0
64,140,461,0
65,349,556,1
66,5,167,0
67,292,460,0
68,292,439,1
69,292,530,1
70,57,440,1
71,10,193,0
72,523,341,1
73,508,523,1
74,488,523,1
75,63,363,1
76,65,131,0
77,313,341,0
78,546,449,0
79,399,504,0
80,552,47,0
81,376,538,1
82,77,56,0
83,316,506,1
84,292,558,1
85,518,234,0
86,532,503,0
87,518,63,1
88,5,209,0
89,316,140,1
90,506,316,1
91,7,422,1
92,63,429,0
93,181,160,0
94,5,98,1
95,320,103,0
96,316,21,0
97,505,174,0
98,518,439,1
99,138,398,0
100,82,402,0
101,376,354,0
102,275,26,0
103,518,363,1
104,292,518,1
105,83,503,0
106,242,65,1
107,5,321,0
108,349,419,0
109,240,547,1
110,313,52,1
111,532,390,0
112,98,508,1
113,275,321,0
114,275,532,1
115,523,86,1
116,20,71,0
117,10,7,1
118,480,182,1
119,292,115,0
120,522,403,1
121,119,189,0
122,518,230,1
123,480,523,1
124,518,403,1
125,181,176,0
126,523,488,1
127,57,521,0
128,182,223,1
129,523,140,1
130,480,242,0
131,329,40,0
132,292,363,1
133,518,530,1
134,20,49,0
135,140,553,0
136,77,182,1
137,316,404,0
138,480,140,1
139,57,318,0
140,63,292,1
141,460,149,0
142,182,418,0
143,77,225,0
144,320,229,0
145,57,498,1
146,329,302,0
147,422,7,1
148,292,230,1
149,131,422,1
150,316,399,1
151,375,303,0
152,349,43,0
153,446,221,0
154,320,149,0
155,63,403,1
156,547,422,1
157,540,138,1
158,313,24,1
159,136,435,0
160,292,63,1
161,420,383,1
162,98,250,1
163,316,191,1
164,419,509,0
165,140,329,1
166,181,183,0
167,292,403,1
168,518,292,1
169,518,556,1
170,138,350,0
171,77,82,1
172,63,558,1
173,24,313,1
174,182,84,0
175,508,330,0
176,65,242,1
177,82,77,1
