,TF,Target
0,2,1264
1,2,602
2,2,179
3,2,670
4,2,1327
5,2,1129
6,2,1287
7,2,491
8,2,83
9,2,146
10,2,654
11,2,427
12,2,236
13,2,673
14,2,1313
15,2,837
16,2,688
17,2,936
18,2,1364
19,2,993
20,2,1397
21,2,973
22,2,1064
23,2,566
24,2,604
25,2,186
26,2,417
27,2,112
28,2,84
29,2,329
30,2,350
31,2,364
32,2,518
33,2,9
34,2,797
35,2,858
36,2,1050
37,2,143
38,2,1183
39,2,597
40,2,982
41,2,745
42,2,1114
43,2,210
44,2,326
45,2,1096
46,2,1369
47,2,1180
48,2,410
49,2,99
50,2,808
51,2,115
52,2,495
53,2,1157
54,2,552
55,2,554
56,2,196
57,2,613
58,2,72
59,2,1087
60,2,45
61,2,237
62,2,734
63,2,180
64,2,887
65,2,1014
66,2,310
67,2,161
68,2,643
69,2,778
70,2,894
71,2,596
72,2,141
73,2,586
74,2,758
75,2,928
76,2,193
77,2,407
78,2,422
79,2,1048
80,2,386
81,2,1244
82,2,720
83,2,385
84,2,402
85,2,556
86,2,635
87,2,762
88,2,254
89,2,269
90,2,624
91,2,366
92,2,1394
93,2,577
94,2,1326
95,2,121
96,2,1053
97,2,424
98,2,1344
99,2,1238
100,2,831
101,2,460
102,2,23
103,2,251
104,2,1103
105,2,497
106,2,701
107,2,1383
108,2,935
109,2,890
110,2,1270
111,2,230
112,2,1353
113,2,1105
114,2,204
115,2,1072
116,2,1217
117,2,954
118,2,962
119,2,452
120,2,25
121,2,774
122,2,709
123,2,925
124,2,1107
125,2,109
126,2,989
127,2,262
128,2,79
129,2,0
130,2,1282
131,2,1150
132,2,1184
133,2,88
134,2,313
135,2,46
136,2,354
137,2,113
138,2,964
139,2,176
140,2,1094
141,2,1127
142,2,461
143,2,323
144,2,1172
145,2,1024
146,2,123
147,2,991
148,2,95
149,2,22
150,2,599
151,2,580
152,2,492
153,70,423
154,70,461
155,70,195
156,70,277
157,70,36
158,70,242
159,70,173
160,70,1226
161,70,268
162,70,757
163,70,884
164,70,829
165,70,1323
166,70,463
167,70,1165
168,70,542
169,70,798
170,70,1043
171,70,421
172,70,92
173,70,1064
174,70,1093
175,70,591
176,70,391
177,70,817
178,70,41
179,70,1230
180,70,371
181,70,908
182,70,1407
183,70,1318
184,70,1215
