,TF,Target,Label
0,43,186,1
1,43,405,1
2,43,58,1
3,43,366,1
4,43,889,1
5,43,91,1
6,43,119,1
7,43,899,1
8,43,300,1
9,43,858,1
10,43,534,1
11,43,380,1
12,43,105,1
13,43,655,1
14,43,211,1
15,43,612,1
16,43,132,1
17,43,117,1
18,43,47,1
19,43,219,1
20,43,498,1
21,43,592,1
22,43,856,1
23,43,157,1
24,43,85,1
25,43,94,1
26,43,525,1
27,43,815,1
28,43,340,1
29,43,120,1
30,43,905,1
31,43,741,1
32,43,423,1
33,43,620,1
34,43,548,1
35,43,828,1
36,43,515,1
37,43,57,1
38,43,38,1
39,43,697,1
40,43,136,1
41,43,249,1
42,43,37,1
43,43,571,1
44,43,173,1
45,43,618,1
46,43,163,1
47,43,435,1
48,43,357,1
49,43,305,1
50,43,296,1
51,43,869,1
52,43,185,1
53,43,632,1
54,43,406,1
55,43,728,1
56,43,8,1
57,43,594,1
58,43,384,1
59,43,16,1
60,43,402,1
61,43,583,1
62,43,182,1
63,43,499,1
64,43,270,1
65,43,373,1
66,43,519,1
67,43,336,1
68,43,39,1
69,43,165,1
70,43,333,1
71,43,79,1
72,43,567,1
73,43,685,1
74,43,312,1
75,43,716,1
76,43,495,1
77,43,225,1
78,43,191,1
79,43,809,1
80,43,721,1
81,43,590,1
82,43,455,1
83,43,408,1
84,43,205,1
85,43,30,1
86,43,833,1
87,43,576,1
88,43,284,1
89,43,894,1
90,43,636,1
91,43,661,1
92,43,483,1
93,43,295,1
94,43,41,1
95,43,144,1
96,43,25,1
97,43,166,1
98,43,562,1
99,43,607,1
100,43,631,1
101,43,722,1
102,43,429,1
103,43,866,1
104,43,591,1
105,43,293,1
106,43,135,1
107,43,209,1
108,43,842,1
109,43,468,1
110,43,900,1
111,43,263,1
112,43,749,1
113,43,779,1
114,43,276,1
115,43,177,1
116,43,374,1
117,43,236,1
118,43,829,1
119,43,812,1
120,43,610,1
121,43,517,1
122,43,746,1
123,43,824,1
124,43,4,1
125,43,425,1
126,43,84,1
127,43,45,1
128,43,124,1
129,43,801,1
130,43,723,1
131,43,839,1
132,43,376,1
133,43,7,1
134,43,550,1
135,43,399,1
136,43,142,1
137,43,174,1
138,43,850,1
139,43,907,1
140,43,581,1
141,43,638,1
142,43,743,1
143,43,901,1
144,43,49,1
145,43,491,1
146,43,585,1
147,43,69,1
148,43,582,1
149,43,489,1
150,43,226,1
151,43,717,1
152,43,542,1
153,43,264,1
154,43,777,1
155,43,168,1
156,43,641,1
157,43,539,1
158,43,212,1
159,43,175,1
160,43,167,1
161,43,909,1
162,43,727,1
163,43,237,1
164,43,450,1
165,43,771,1
166,43,235,1
167,43,208,1
168,43,145,1
169,43,840,1
170,43,338,1
171,43,827,1
172,43,202,1
173,43,323,1
174,43,651,1
175,43,744,1
176,43,169,1
177,43,692,1
178,43,864,1
179,43,183,1
180,43,601,1
181,43,526,1
182,43,403,1
183,43,656,1
184,43,643,1
185,43,382,1
186,43,569,1
187,43,701,1
188,43,476,1
189,43,204,1
190,43,153,1
191,43,108,1
192,43,86,1
193,43,114,1
194,43,760,1
195,43,649,1
196,43,155,1
197,43,107,1
198,43,20,1
199,43,770,1
200,43,447,1
201,43,754,1
202,43,627,1
203,43,361,1
204,43,383,1
205,43,896,1
206,43,439,1
207,43,691,1
208,43,193,1
209,43,417,1
210,43,317,1
211,43,897,1
212,43,392,1
213,43,502,1
214,43,490,1
215,43,885,1
216,43,279,1
217,43,487,1
218,43,577,1
219,43,364,1
220,43,325,1
221,43,845,1
222,43,753,1
223,43,260,1
224,43,401,1
225,43,246,1
226,43,412,1
227,43,814,1
228,43,803,1
229,43,625,1
230,43,269,1
231,43,189,1
232,43,381,1
233,43,742,1
234,43,230,1
235,43,248,1
236,43,420,1
237,43,288,1
238,43,33,1
239,43,665,1
240,43,710,1
241,43,88,1
242,43,804,1
243,43,528,1
244,43,740,1
245,43,888,1
246,43,102,1
247,43,122,1
248,43,411,1
249,43,469,1
250,43,190,1
251,43,634,1
252,43,699,1
253,43,65,1
254,43,349,1
255,43,874,1
256,43,123,1
257,43,558,1
258,43,605,1
259,43,231,1
260,43,471,1
261,43,438,1
262,43,698,1
263,43,836,1
264,43,817,1
265,43,679,1
266,43,400,1
267,43,472,1
268,43,232,1
269,43,546,1
270,43,184,1
271,43,370,1
272,43,767,1
273,43,253,1
274,43,761,1
275,43,372,1
276,43,535,1
277,43,171,1
278,43,834,1
279,43,311,1
280,43,71,1
281,43,156,1
282,43,481,1
283,43,404,1
284,43,268,1
285,43,530,1
286,43,521,1
287,43,463,1
288,43,315,1
289,43,321,1
290,43,377,1
291,43,597,1
292,43,445,1
293,43,602,1
294,43,24,1
295,43,368,1
296,43,500,1
297,43,427,1
298,43,867,1
299,43,891,1
300,43,255,1
301,43,467,1
302,43,671,1
303,43,385,1
304,43,73,1
305,43,431,1
306,43,574,1
307,43,422,1
308,43,884,1
309,43,331,1
310,43,787,1
311,43,683,1
312,43,494,1
313,43,267,1
314,43,63,1
315,43,564,1
316,43,371,1
317,43,838,1
318,43,437,1
319,43,652,1
320,43,77,1
321,43,23,1
322,43,857,1
323,43,188,1
324,43,44,1
325,43,170,1
326,43,522,1
327,43,13,1
328,43,675,1
329,43,159,1
330,43,363,1
331,43,297,1
332,43,224,1
333,43,22,1
334,43,290,1
335,43,790,1
336,43,265,1
337,43,442,1
338,43,553,1
339,43,21,1
340,43,464,1
341,43,648,1
342,43,221,1
343,43,292,1
344,43,811,1
345,43,718,1
346,43,310,1
347,43,410,1
348,43,563,1
349,43,285,1
350,43,904,1
351,43,793,1
352,43,763,1
353,43,782,1
354,43,452,1
355,43,341,1
356,43,36,1
357,43,589,1
358,43,121,1
359,43,358,1
360,43,503,1
361,43,540,1
362,43,860,1
363,43,389,1
364,43,101,1
365,43,565,1
366,43,762,1
367,43,886,1
368,43,659,1
369,43,684,1
370,43,434,1
371,43,133,1
372,43,566,1
373,43,516,1
374,43,0,1
375,43,658,1
376,43,419,1
377,43,800,1
378,43,653,1
379,43,457,1
380,43,750,1
381,43,876,1
382,43,251,1
383,43,223,1
384,43,391,1
385,43,60,1
386,43,282,1
387,43,734,1
388,43,677,1
389,43,690,1
390,43,506,1
391,43,737,1
392,43,892,1
393,43,908,1
394,43,210,1
395,43,222,1
396,43,12,1
397,43,673,1
398,43,529,1
399,43,67,1
400,43,378,1
401,43,151,1
402,43,451,1
403,43,216,1
404,43,111,1
405,43,291,1
406,43,785,1
407,43,281,1
408,43,719,1
409,43,523,1
410,43,593,1
411,43,220,1
412,43,841,1
413,43,250,1
414,43,141,1
415,43,696,1
416,43,440,1
417,43,510,1
418,43,806,1
419,43,756,1
420,43,504,1
421,43,501,1
422,43,207,1
423,43,116,1
424,43,365,1
425,43,578,1
426,43,11,1
427,43,843,1
428,43,848,1
429,43,229,1
430,43,680,1
431,43,479,1
432,43,507,1
433,43,454,1
434,43,306,1
435,43,868,1
436,43,470,1
437,43,775,1
438,43,509,1
439,43,192,1
440,43,497,1
441,43,228,1
442,43,496,1
443,43,178,1
444,43,664,1
445,43,200,1
446,43,629,1
447,43,797,1
448,43,466,1
449,43,887,1
450,43,322,1
451,43,274,1
452,43,448,1
453,43,329,1
454,43,446,1
455,43,549,1
456,43,3,1
457,43,559,1
458,43,273,1
459,43,335,1
460,43,639,1
461,43,227,1
462,43,613,1
463,43,109,1
464,43,706,1
465,43,78,1
466,43,879,1
467,43,238,1
468,43,459,1
469,43,736,1
470,43,512,1
471,43,294,1
472,43,50,1
473,43,152,1
474,43,789,1
475,43,456,1
476,43,906,1
477,43,319,1
478,43,345,1
479,43,527,1
480,43,873,1
481,43,660,1
482,43,82,1
483,49,373,1
484,49,28,1
485,49,805,1
486,49,311,1
487,49,664,1
488,49,626,1
489,49,840,1
490,49,378,1
491,49,115,1
492,49,304,1
493,49,766,1
494,49,376,1
495,49,502,1
496,49,215,1
497,49,306,1
498,49,732,1
499,56,226,1
500,56,173,1
501,56,839,1
502,56,680,1
503,56,602,1
504,56,68,1
505,56,675,1
506,56,782,1
507,56,359,1
508,56,799,1
509,56,110,1
510,56,290,1
511,56,621,1
512,56,604,1
513,56,397,1
514,56,64,1
515,56,578,1
516,56,626,1
517,56,641,1
518,56,862,1
519,56,6,1
520,56,885,1
521,56,666,1
522,56,270,1
523,56,343,1
524,56,141,1
525,56,7,1
526,56,498,1
527,56,548,1
528,56,298,1
529,56,496,1
530,56,744,1
531,56,146,1
532,56,84,1
533,56,468,1
534,56,464,1
535,56,215,1
536,56,888,1
537,56,692,1
538,56,856,1
539,56,790,1
540,56,83,1
541,56,817,1
542,56,452,1
543,56,312,1
544,56,503,1
545,56,385,1
546,56,328,1
547,56,20,1
548,56,509,1
549,56,795,1
550,56,773,1
551,56,381,1
552,56,388,1
553,56,665,1
554,56,188,1
555,56,759,1
556,56,184,1
557,56,237,1
558,56,865,1
559,56,152,1
560,56,532,1
561,56,787,1
562,56,345,1
563,56,550,1
564,56,535,1
565,56,866,1
566,56,87,1
567,56,119,1
568,56,28,1
569,56,656,1
570,56,73,1
571,56,267,1
572,56,422,1
573,56,126,1
574,56,172,1
575,56,462,1
576,56,115,1
577,56,655,1
578,56,757,1
579,56,891,1
580,56,252,1
581,56,507,1
582,56,635,1
583,56,560,1
584,56,116,1
585,56,715,1
586,56,446,1
587,56,251,1
588,56,569,1
589,56,210,1
590,56,794,1
591,56,896,1
592,56,282,1
593,56,302,1
594,56,874,1
595,56,750,1
596,56,693,1
597,56,21,1
598,56,785,1
599,56,506,1
600,56,754,1
601,56,33,1
602,56,339,1
603,56,461,1
604,56,660,1
605,56,284,1
606,56,858,1
607,56,784,1
608,56,624,1
609,56,165,1
610,56,894,1
611,56,404,1
612,56,547,1
613,56,597,1
614,56,281,1
615,56,610,1
616,56,178,1
617,56,644,1
618,56,434,1
619,56,433,1
620,56,474,1
621,56,411,1
622,56,76,1
623,56,307,1
624,56,684,1
625,56,622,1
626,56,22,1
627,56,156,1
628,56,792,1
629,56,803,1
630,56,123,1
631,56,192,1
632,56,761,1
633,56,576,1
634,56,804,1
635,56,424,1
636,56,471,1
637,56,70,1
638,56,303,1
639,56,0,1
640,56,319,1
641,56,43,1
642,56,777,1
643,56,49,1
644,56,886,1
645,56,365,1
646,56,450,1
647,56,419,1
648,56,102,1
649,56,708,1
650,56,589,1
651,56,558,1
652,56,231,1
653,56,62,1
654,56,579,1
