,TF,Target
0,10,879
1,10,655
2,10,409
3,10,436
4,10,853
5,10,827
6,10,606
7,10,530
8,10,57
9,10,166
10,10,72
11,10,769
12,10,854
13,10,632
14,10,707
15,10,48
16,10,620
17,10,592
18,10,617
19,10,857
20,10,8
21,10,229
22,10,196
23,10,157
24,10,883
25,10,477
26,10,164
27,10,259
28,10,47
29,10,562
30,10,809
31,10,519
32,10,359
33,10,294
34,10,189
35,10,102
36,10,585
37,10,453
38,10,941
39,10,361
40,10,896
41,10,881
42,10,726
43,10,160
44,10,426
45,10,180
46,10,730
47,10,760
48,10,130
49,10,511
50,10,480
51,10,307
52,10,733
53,10,16
54,10,257
55,10,768
56,10,119
57,10,308
58,10,392
59,10,824
60,10,747
61,10,859
62,10,349
63,10,49
64,10,944
65,10,737
66,10,499
67,10,611
68,10,644
69,10,249
70,10,947
71,10,432
72,10,904
73,10,711
74,10,579
75,10,146
76,10,236
77,10,629
78,10,427
79,10,371
80,10,745
81,10,937
82,10,619
83,10,764
84,10,241
85,10,401
86,10,4
87,10,716
88,10,55
89,10,198
90,10,527
91,10,866
92,10,756
93,10,209
94,10,860
95,10,282
96,10,608
97,10,933
98,10,237
99,10,735
100,10,665
101,10,37
102,10,269
103,10,186
104,10,271
105,10,642
106,10,503
107,10,793
108,10,161
109,10,938
110,10,63
111,10,597
112,10,835
113,10,142
114,10,297
115,10,898
116,10,318
117,10,89
118,10,205
119,10,326
120,10,717
121,10,467
122,10,191
123,10,115
124,10,869
125,10,863
126,10,218
127,10,7
128,10,226
129,10,763
130,10,559
131,10,487
132,10,903
133,10,341
134,10,449
135,10,419
136,10,588
137,10,168
138,10,488
139,10,766
140,10,600
141,10,876
142,10,779
143,10,193
144,10,354
145,10,233
146,10,206
147,10,468
148,10,404
149,10,300
150,10,580
151,10,748
152,10,240
153,10,842
154,10,134
155,10,110
156,10,137
157,10,810
158,10,654
159,10,177
160,10,131
161,10,21
162,10,613
163,10,823
164,10,936
165,10,501
166,10,384
167,10,861
168,10,557
169,10,415
170,10,732
171,10,221
172,10,420
173,10,284
174,10,264
175,10,795
176,10,570
177,10,924
178,10,828
179,10,923
180,10,283
181,10,417
182,10,213
183,10,792
184,10,424
185,10,41
186,10,659
187,10,112
188,10,878
189,10,544
190,10,662
191,10,927
192,10,911
193,10,144
194,10,929
195,10,482
196,10,670
197,10,935
198,10,466
199,10,80
200,10,518
201,10,916
202,10,586
203,10,663
204,10,337
205,10,109
206,10,542
207,10,375
208,10,314
209,10,595
210,10,718
211,10,367
212,10,127
213,10,211
214,10,192
215,10,140
216,10,483
217,10,145
218,10,723
219,10,907
220,10,714
221,10,73
222,10,207
223,10,141
224,10,802
225,10,445
226,10,288
227,10,767
228,10,572
229,10,870
230,10,437
231,10,687
232,10,190
233,10,195
234,10,858
235,10,266
236,10,32
237,10,867
238,10,343
239,10,199
240,10,721
241,10,92
242,10,598
243,10,178
244,10,494
245,10,561
246,10,699
247,10,306
248,10,546
249,10,200
250,10,450
251,10,457
252,10,363
253,10,618
254,10,374
255,10,418
256,10,894
257,10,612
258,10,29
259,10,513
260,10,431
261,10,757
262,10,387
263,10,646
264,10,552
265,10,455
266,10,94
267,10,433
268,10,587
269,10,679
270,10,435
271,10,382
272,10,786
273,10,624
274,10,508
275,10,305
276,10,78
277,10,885
278,10,880
279,10,777
280,10,666
281,10,100
282,10,26
283,10,631
284,10,212
285,10,54
286,10,194
287,10,537
288,10,13
289,10,568
290,10,787
291,10,412
292,10,346
293,10,256
294,10,23
295,10,331
296,10,844
297,10,301
298,10,459
299,10,940
300,10,22
301,10,900
302,10,252
303,10,335
304,10,700
305,10,765
306,10,357
307,10,571
308,10,327
309,10,694
310,10,498
311,10,836
312,10,451
313,10,393
314,10,46
315,10,462
316,10,143
317,10,406
318,10,822
319,10,465
320,10,899
321,10,441
322,10,126
323,10,577
324,10,615
325,10,925
326,10,485
327,10,897
328,10,158
329,10,701
330,10,548
331,10,0
332,10,673
333,10,479
334,10,852
335,10,667
336,10,722
337,10,914
338,10,286
339,10,255
340,10,444
341,10,76
342,10,324
343,10,780
344,10,521
345,10,581
346,10,932
347,10,788
348,10,239
349,10,253
350,10,12
351,10,709
352,10,81
353,10,429
354,10,171
355,10,245
356,10,136
357,10,333
358,10,930
359,10,322
360,10,538
361,10,819
362,10,630
363,10,285
364,10,163
365,10,742
366,10,507
367,10,856
368,10,235
369,10,139
370,10,416
371,10,829
372,10,11
373,10,690
374,10,263
375,10,638
376,10,525
377,10,355
378,10,910
379,10,547
380,10,825
381,10,220
382,10,261
383,10,202
384,10,681
385,10,225
386,10,850
387,10,540
388,10,926
389,10,373
390,10,311
391,10,514
392,10,376
393,10,512
394,10,740
395,10,310
396,10,386
397,10,643
398,10,260
399,10,135
400,10,753
401,10,101
402,10,851
403,10,273
404,10,534
405,10,942
406,10,338
407,10,64
408,10,173
409,10,873
410,10,529
411,10,833
412,10,368
413,10,399
414,10,895
415,10,675
416,10,105
417,10,107
418,10,152
419,10,484
420,10,712
421,10,697
422,10,625
423,10,120
424,10,39
425,10,706
426,10,648
427,10,93
428,10,776
429,10,610
430,10,77
431,10,855
432,10,223
433,10,448
434,10,470
435,10,603
436,10,918
437,10,443
438,10,845
439,10,818
440,10,86
441,10,720
442,10,267
443,10,17
444,10,402
445,10,319
446,12,455
447,12,484
448,12,655
449,12,839
450,12,941
451,12,672
452,12,408
453,12,242
454,12,924
455,12,726
456,12,178
457,12,338
458,12,485
459,12,710
460,12,331
461,12,581
462,12,618
463,12,893
464,12,534
465,12,903
466,12,379
467,12,927
468,12,358
469,12,761
470,12,536
471,12,183
472,12,520
473,12,630
474,12,465
475,12,546
476,12,723
477,12,863
478,12,572
479,12,508
480,12,180
481,12,786
482,12,820
483,12,400
484,12,602
485,12,871
486,12,794
487,12,362
488,12,923
489,12,652
490,12,144
491,12,230
492,12,70
493,12,398
494,12,844
495,12,47
496,12,20
497,12,64
498,12,61
499,12,41
500,12,365
501,12,426
502,12,119
503,12,237
504,12,888
505,12,648
506,12,279
507,12,142
508,12,573
509,12,123
510,12,256
511,12,341
512,12,135
513,12,392
514,12,72
515,12,855
516,12,880
517,12,227
518,12,319
519,12,683
520,12,928
521,12,56
522,12,469
523,12,211
524,12,691
525,12,911
526,12,735
527,12,348
528,12,103
529,12,807
530,12,113
531,12,26
532,12,835
533,12,801
534,12,368
535,12,8
536,12,309
537,12,781
538,12,729
539,12,342
540,12,642
541,12,764
542,12,752
543,12,775
544,12,510
545,12,892
546,12,334
547,12,307
548,12,875
549,12,622
550,12,37
551,12,137
552,12,792
553,12,251
554,12,372
555,12,712
556,12,850
557,12,480
558,12,840
559,12,244
560,12,93
561,12,896
562,12,538
563,12,765
564,12,625
565,12,150
566,12,585
567,12,482
568,12,713
569,12,829
570,12,935
571,12,737
572,12,944
573,12,462
574,12,134
575,12,773
576,12,447
577,12,861
578,12,151
579,12,200
580,12,828
581,12,349
582,12,578
583,12,50
584,12,373
585,12,77
586,12,750
587,12,746
588,12,361
589,12,709
590,12,284
591,12,738
592,12,163
593,12,16
594,12,558
595,12,118
596,12,804
597,12,607
598,12,387
599,12,143
600,12,352
601,12,554
602,12,415
603,12,94
604,12,409
605,12,384
606,12,74
607,12,325
608,12,916
609,12,327
610,12,776
611,12,867
612,12,310
613,12,851
614,12,220
615,12,60
616,12,69
617,12,770
618,12,725
619,12,748
620,12,838
621,12,504
622,12,614
623,12,291
624,12,661
625,12,612
626,12,512
627,12,108
628,12,884
629,12,499
630,12,382
631,12,487
632,12,243
633,12,169
634,12,131
635,12,293
636,12,351
637,12,816
638,12,287
639,12,779
640,12,532
641,12,475
642,12,107
643,12,568
644,12,14
645,12,910
646,12,555
647,12,38
648,12,419
649,12,631
650,12,296
651,12,507
652,12,802
653,12,562
654,12,282
655,12,369
656,12,34
657,12,533
658,12,560
659,12,376
660,12,476
661,12,448
662,12,333
663,12,330
664,12,847
665,12,275
666,12,218
667,12,728
668,12,823
669,12,411
670,12,461
671,12,918
672,12,514
673,12,337
674,12,229
675,12,268
676,12,592
677,12,929
678,12,907
679,12,213
680,12,860
681,12,669
682,12,772
683,12,7
684,12,216
685,12,306
686,12,643
687,12,202
688,12,444
689,12,759
690,12,900
691,12,11
692,12,870
693,12,236
694,12,356
695,12,715
696,12,769
697,12,699
698,12,253
699,12,471
700,12,13
701,12,689
702,12,711
703,12,146
704,12,865
705,12,177
706,12,638
707,12,355
708,12,433
709,12,412
710,12,586
711,12,734
712,12,71
713,12,6
714,12,238
715,12,215
716,12,795
717,12,367
718,12,563
