,TF,Target
0,0,615
1,0,478
2,0,1259
3,0,192
4,0,678
5,0,1071
6,0,1152
7,0,1205
8,0,427
9,0,697
10,0,280
11,0,164
12,0,52
13,0,1019
14,0,1049
15,0,916
16,0,812
17,0,9
18,0,87
19,0,250
20,0,639
21,0,217
22,0,599
23,0,483
24,0,712
25,0,224
26,0,1194
27,0,1301
28,0,1112
29,0,389
30,0,559
31,0,657
32,0,878
33,0,853
34,0,823
35,0,43
36,0,1312
37,0,568
38,0,1141
39,0,837
40,0,123
41,0,50
42,0,780
43,0,1164
44,0,216
45,0,406
46,0,1192
47,0,795
48,0,978
49,0,904
50,0,1106
51,0,505
52,0,22
53,0,182
54,0,1111
55,0,125
56,0,1093
57,0,659
58,0,1203
59,0,302
60,0,154
61,0,71
62,0,972
63,0,565
64,0,278
65,0,518
66,0,1128
67,0,337
68,0,1251
69,0,990
70,0,567
71,0,408
72,0,35
73,0,469
74,0,931
75,0,126
76,0,332
77,0,1096
78,0,927
79,0,587
80,0,286
81,0,133
82,0,419
83,0,191
84,0,499
85,0,158
86,0,21
87,0,226
88,0,619
89,165,32
90,165,1248
91,213,847
92,213,1088
93,278,1125
94,278,925
95,278,268
96,278,1089
97,278,1205
98,278,85
99,278,1153
100,278,113
101,278,1236
102,278,454
103,278,1299
104,278,980
105,278,831
106,278,713
107,278,978
108,278,368
109,278,112
110,278,668
111,278,57
112,278,1222
113,278,1051
114,278,340
115,278,235
116,278,9
117,278,1203
118,278,599
119,278,761
120,278,646
121,278,446
122,278,190
123,278,687
124,278,1082
125,278,1243
126,278,161
127,278,126
128,278,902
129,278,576
130,278,618
131,278,7
132,278,58
133,278,691
134,278,408
135,278,451
136,278,444
137,278,208
138,278,185
139,278,0
140,278,854
141,278,960
142,278,106
143,278,399
144,278,1110
145,278,542
146,278,140
147,278,836
148,278,956
149,278,1116
150,278,1021
151,278,638
152,278,141
153,278,264
154,278,189
155,278,1283
156,278,895
157,278,147
158,278,1098
159,278,727
160,278,98
161,332,681
162,332,898
163,332,1249
164,332,1228
165,332,43
166,332,869
167,332,369
168,332,580
169,332,365
170,332,564
171,332,461
172,332,282
173,332,621
174,332,1136
175,332,1189
176,332,890
177,332,126
178,332,19
179,332,972
180,332,773
181,332,894
182,332,797
183,332,359
184,332,549
185,332,1015
186,332,714
187,332,691
188,332,1010
189,332,1299
190,332,717
191,332,1226
192,332,857
193,332,1104
194,332,933
195,332,1163
196,332,535
197,332,794
198,332,844
199,332,829
200,332,49
201,332,1020
202,332,795
203,332,1044
204,332,15
205,332,870
206,332,127
207,332,599
208,332,1170
209,332,213
210,332,1014
211,332,1261
212,332,190
213,332,1239
214,332,709
215,332,780
216,332,66
217,332,1135
218,332,873
219,332,847
220,332,1103
221,332,1127
222,332,1022
223,332,373
224,332,973
225,332,1122
226,332,1054
227,332,768
228,332,1282
229,332,196
230,332,702
231,332,1111
232,332,0
233,332,843
234,332,767
235,332,846
236,332,24
237,332,1285
238,332,4
239,332,317
240,332,1242
241,332,971
242,332,181
243,332,1062
244,332,1017
245,332,483
246,332,27
247,332,505
248,332,337
249,332,1056
250,332,140
251,332,276
252,332,352
253,332,183
254,332,662
255,332,719
256,332,579
257,332,1108
258,332,444
259,332,636
260,332,283
261,332,533
262,332,812
263,332,508
264,332,227
265,332,722
266,332,522
267,332,980
268,332,261
269,332,730
270,332,1043
271,332,398
272,332,268
273,332,1216
274,332,67
275,332,1294
276,332,1222
277,332,1096
278,332,154
279,332,1110
280,332,1115
281,332,815
282,332,766
283,332,553
284,332,179
285,332,761
286,332,684
287,332,999
288,332,945
289,332,585
290,469,834
291,469,1299
292,469,1234
293,469,711
294,469,1089
295,469,171
296,469,1208
297,469,909
298,469,1125
299,469,1243
300,469,278
301,469,564
302,469,314
303,469,50
304,469,525
305,469,904
306,469,895
307,469,1264
308,469,633
309,469,99
310,469,755
311,469,505
312,469,890
313,469,656
314,469,27
315,469,1003
316,469,780
317,469,641
318,469,1111
319,469,879
320,469,574
321,469,320
322,469,522
323,469,621
324,469,1205
325,469,1242
326,469,1249
327,469,826
328,469,1015
329,469,871
330,470,315
331,470,478
332,470,493
333,470,1298
334,470,1218
335,470,587
336,470,557
337,470,166
338,470,262
339,470,1272
340,470,116
341,470,1015
342,470,289
343,470,1154
344,470,389
345,470,1257
346,470,1089
347,470,156
348,470,508
349,470,1085
350,470,311
351,470,973
352,470,747
353,470,549
354,470,686
355,470,121
356,470,766
357,470,928
358,470,495
359,470,1051
360,470,897
361,498,320
362,498,27
363,498,387
364,498,538
365,498,1038
366,498,611
367,498,1114
368,677,1294
369,677,1299
370,677,138
371,677,102
372,677,1036
373,677,1185
374,677,980
375,677,1208
376,677,1249
377,677,451
378,677,336
379,677,846
380,677,1030
381,677,208
382,677,933
383,677,954
384,677,181
385,677,85
386,677,1010
387,677,664
388,677,1229
389,677,1189
390,677,1248
391,677,780
392,677,567
393,677,126
394,677,674
395,677,873
396,677,1
397,677,712
398,677,359
399,677,52
400,677,871
401,677,43
402,677,57
403,677,870
404,677,618
405,677,283
406,677,782
407,677,555
408,677,1037
409,677,909
410,677,883
411,677,665
412,677,597
413,677,919
414,677,1168
415,677,515
416,677,935
417,677,508
418,677,27
419,677,907
420,677,1111
421,677,820
422,677,695
423,677,299
424,677,1274
425,677,62
426,677,656
427,677,154
428,677,377
429,710,1223
430,710,1277
431,710,1291
432,748,320
433,766,918
434,766,342
435,766,790
436,766,208
437,766,907
438,766,1213
439,766,1010
440,766,940
441,801,989
442,801,1201
443,801,216
444,801,436
445,801,93
446,801,528
447,801,74
448,801,104
449,801,381
450,801,788
451,801,798
452,801,1015
453,801,1216
454,801,496
455,801,484
456,801,627
457,801,334
458,801,1159
