,TF,Target,Label
0,0,615,1
1,0,478,1
2,0,1259,1
3,0,192,1
4,0,678,1
5,0,1071,1
6,0,1152,1
7,0,1205,1
8,0,427,1
9,0,697,1
10,0,280,1
11,0,164,1
12,0,52,1
13,0,1019,1
14,0,1049,1
15,0,916,1
16,0,812,1
17,0,9,1
18,0,87,1
19,0,250,1
20,0,639,1
21,0,217,1
22,0,599,1
23,0,483,1
24,0,712,1
25,0,224,1
26,0,1194,1
27,0,1301,1
28,0,1112,1
29,0,389,1
30,0,559,1
31,0,657,1
32,0,878,1
33,0,853,1
34,0,823,1
35,0,43,1
36,0,1312,1
37,0,568,1
38,0,1141,1
39,0,837,1
40,0,123,1
41,0,50,1
42,0,780,1
43,0,1164,1
44,0,216,1
45,0,406,1
46,0,1192,1
47,0,795,1
48,0,978,1
49,0,904,1
50,0,1106,1
51,0,505,1
52,0,22,1
53,0,182,1
54,0,1111,1
55,0,125,1
56,0,1093,1
57,0,659,1
58,0,1203,1
59,0,302,1
60,0,154,1
61,0,71,1
62,0,972,1
63,0,565,1
64,0,278,1
65,0,518,1
66,0,1128,1
67,0,337,1
68,0,1251,1
69,0,990,1
70,0,567,1
71,0,408,1
72,0,35,1
73,0,469,1
74,0,931,1
75,0,126,1
76,0,332,1
77,0,1096,1
78,0,927,1
79,0,587,1
80,0,286,1
81,0,133,1
82,0,419,1
83,0,191,1
84,0,499,1
85,0,158,1
86,0,21,1
87,0,226,1
88,0,619,1
89,165,32,1
90,165,1248,1
91,213,847,1
92,213,1088,1
93,278,1125,1
94,278,925,1
95,278,268,1
96,278,1089,1
97,278,1205,1
98,278,85,1
99,278,1153,1
100,278,113,1
101,278,1236,1
102,278,454,1
103,278,1299,1
104,278,980,1
105,278,831,1
106,278,713,1
107,278,978,1
108,278,368,1
109,278,112,1
110,278,668,1
111,278,57,1
112,278,1222,1
113,278,1051,1
114,278,340,1
115,278,235,1
116,278,9,1
117,278,1203,1
118,278,599,1
119,278,761,1
120,278,646,1
121,278,446,1
122,278,190,1
123,278,687,1
124,278,1082,1
125,278,1243,1
126,278,161,1
127,278,126,1
128,278,902,1
129,278,576,1
130,278,618,1
131,278,7,1
132,278,58,1
133,278,691,1
134,278,408,1
135,278,451,1
136,278,444,1
137,278,208,1
138,278,185,1
139,278,0,1
140,278,854,1
141,278,960,1
142,278,106,1
143,278,399,1
144,278,1110,1
145,278,542,1
146,278,140,1
147,278,836,1
148,278,956,1
149,278,1116,1
150,278,1021,1
151,278,638,1
152,278,141,1
153,278,264,1
154,278,189,1
155,278,1283,1
156,278,895,1
157,278,147,1
158,278,1098,1
159,278,727,1
160,278,98,1
161,332,681,1
162,332,898,1
163,332,1249,1
164,332,1228,1
165,332,43,1
166,332,869,1
167,332,369,1
168,332,580,1
169,332,365,1
170,332,564,1
171,332,461,1
172,332,282,1
173,332,621,1
174,332,1136,1
175,332,1189,1
176,332,890,1
177,332,126,1
178,332,19,1
179,332,972,1
180,332,773,1
181,332,894,1
182,332,797,1
183,332,359,1
184,332,549,1
185,332,1015,1
186,332,714,1
187,332,691,1
188,332,1010,1
189,332,1299,1
190,332,717,1
191,332,1226,1
192,332,857,1
193,332,1104,1
194,332,933,1
195,332,1163,1
196,332,535,1
197,332,794,1
198,332,844,1
199,332,829,1
200,332,49,1
201,332,1020,1
202,332,795,1
203,332,1044,1
204,332,15,1
205,332,870,1
206,332,127,1
207,332,599,1
208,332,1170,1
209,332,213,1
210,332,1014,1
211,332,1261,1
212,332,190,1
213,332,1239,1
214,332,709,1
215,332,780,1
216,332,66,1
217,332,1135,1
218,332,873,1
219,332,847,1
220,332,1103,1
221,332,1127,1
222,332,1022,1
223,332,373,1
224,332,973,1
225,332,1122,1
226,332,1054,1
227,332,768,1
228,332,1282,1
229,332,196,1
230,332,702,1
231,332,1111,1
232,332,0,1
233,332,843,1
234,332,767,1
235,332,846,1
236,332,24,1
237,332,1285,1
238,332,4,1
239,332,317,1
240,332,1242,1
241,332,971,1
242,332,181,1
243,332,1062,1
244,332,1017,1
245,332,483,1
246,332,27,1
247,332,505,1
