,TF,Target
0,46,478
1,46,886
2,46,797
3,46,706
4,46,976
5,46,1064
6,46,318
7,46,622
8,46,165
9,46,1110
10,46,726
11,46,702
12,46,289
13,46,418
14,46,1097
15,46,673
16,46,711
17,46,101
18,46,420
19,46,423
20,46,121
21,46,236
22,46,1032
23,46,575
24,46,663
25,46,750
26,46,210
27,46,687
28,46,28
29,46,187
30,46,658
31,46,77
32,46,571
33,46,1094
34,46,90
35,46,484
36,46,249
37,46,597
38,46,540
39,46,926
40,46,516
41,46,119
42,46,183
43,46,433
44,46,892
45,46,432
46,46,232
47,46,559
48,46,724
49,46,990
50,46,562
51,46,1041
52,46,765
53,46,719
54,46,573
55,46,1029
56,46,78
57,46,276
58,46,1062
59,46,982
60,46,440
61,46,685
62,46,929
63,46,199
64,46,356
65,46,947
66,46,247
67,46,147
68,46,978
69,46,163
70,46,878
71,46,1117
72,51,668
73,51,744
74,51,409
75,51,328
76,51,281
77,51,934
78,51,765
79,51,852
80,51,404
81,51,577
82,51,90
83,51,615
84,51,568
85,51,860
86,51,104
87,51,935
88,51,316
89,51,521
90,51,670
91,51,290
92,51,277
93,51,132
94,51,58
95,51,701
96,51,1000
97,51,697
98,51,851
99,51,790
100,51,459
101,51,181
102,51,308
103,51,445
104,51,720
105,51,997
106,51,154
107,51,228
108,51,66
109,51,532
110,51,829
111,51,919
112,51,575
113,51,299
114,51,943
115,51,584
116,51,243
117,51,1017
118,51,372
119,51,167
120,51,453
121,51,778
122,51,410
123,51,1118
124,51,346
125,51,939
126,51,441
127,51,729
128,51,117
129,51,866
130,51,766
131,51,212
132,51,703
133,51,610
134,51,125
135,51,503
136,51,542
137,51,800
138,51,880
139,51,689
140,51,751
141,51,381
142,51,310
143,51,34
144,51,44
145,51,742
146,51,239
147,51,513
148,51,504
149,51,273
150,51,47
151,51,642
152,51,711
153,51,499
154,51,399
155,51,732
156,51,317
157,51,88
158,51,822
159,51,990
160,51,945
161,51,533
162,51,618
163,51,148
164,51,416
165,51,434
166,51,379
167,51,287
168,51,60
169,51,93
170,51,1022
171,51,687
172,51,828
173,51,427
174,51,5
175,51,283
176,51,853
177,51,149
178,51,1089
179,51,804
180,51,112
181,51,355
182,51,240
183,51,94
184,51,433
185,51,653
186,51,986
187,51,62
188,51,318
189,51,128
190,51,944
191,51,1105
192,51,197
193,51,183
194,51,887
195,51,178
196,51,1106
197,51,177
198,51,759
199,51,136
200,51,199
201,51,950
202,51,59
203,51,534
204,51,1054
205,51,845
206,51,811
207,51,247
208,51,753
209,51,634
210,51,871
211,51,891
212,51,1020
213,51,103
214,51,785
215,51,233
216,51,755
217,51,13
218,51,664
219,51,411
220,51,221
221,51,119
222,51,739
223,51,133
224,51,40
225,51,1057
226,51,295
227,51,392
228,51,520
229,51,750
230,51,679
231,51,805
232,51,157
233,51,85
234,51,814
235,51,274
236,51,307
237,51,574
238,51,171
239,51,296
240,51,578
241,51,477
242,51,812
243,51,551
244,51,735
245,51,506
246,51,472
247,51,86
248,51,699
249,51,539
250,51,827
251,51,856
252,51,481
253,51,276
254,51,1059
255,51,486
256,51,270
257,51,692
258,51,269
259,51,507
260,51,916
261,51,333
262,51,502
263,51,225
264,51,1080
265,51,20
266,51,695
267,51,723
268,51,165
269,51,298
270,51,156
271,51,993
272,51,73
273,51,1119
274,51,631
275,51,892
276,51,36
277,51,131
278,51,594
279,51,673
280,51,359
281,51,508
282,51,858
283,51,637
284,51,374
285,51,550
286,51,1024
287,51,405
288,51,1110
289,51,380
290,51,1034
291,51,494
292,51,29
293,51,46
294,51,176
295,51,870
296,51,9
297,51,666
298,51,474
299,51,561
300,51,115
301,51,992
302,51,331
303,51,601
304,51,1039
305,51,1013
306,51,562
307,51,421
308,51,622
309,51,467
310,51,1063
311,51,130
312,51,268
313,51,53
314,51,962
315,51,97
316,51,930
317,51,763
318,51,8
319,51,1101
320,51,915
321,51,1087
322,51,912
323,51,250
324,51,581
325,51,611
326,51,425
327,51,487
328,51,905
329,51,358
330,51,236
331,51,989
332,51,23
333,51,690
334,51,617
335,51,1107
336,51,123
337,51,801
338,51,798
339,51,971
340,51,76
341,51,1036
342,51,869
343,51,959
344,51,886
345,51,42
346,51,312
347,51,126
348,51,899
349,51,1071
350,51,224
351,51,1042
352,51,865
353,51,526
354,51,124
355,51,152
356,51,967
357,51,999
358,51,969
359,51,647
360,51,1076
361,51,25
362,51,168
363,51,592
364,51,540
365,51,868
366,51,1072
367,51,302
368,51,230
369,51,559
370,51,810
371,51,914
372,51,369
373,51,669
374,51,1108
375,51,663
376,51,208
377,51,38
378,51,444
379,51,254
380,51,867
381,51,656
382,51,896
383,51,193
384,51,624
385,51,952
386,51,153
387,51,875
388,51,908
389,51,4
390,51,363
391,51,252
392,51,772
393,51,781
394,51,1084
395,51,442
396,51,546
397,51,87
398,51,261
399,51,740
400,51,99
401,51,170
402,51,402
403,51,795
404,51,114
405,51,84
406,51,79
407,51,158
408,51,981
409,51,498
410,51,597
411,51,1012
412,51,357
413,51,163
414,51,304
415,51,260
416,51,1097
417,51,536
418,51,696
419,51,571
420,51,644
421,51,19
422,51,901
423,51,545
424,51,350
425,51,323
426,51,384
427,51,645
428,51,466
429,51,924
430,51,161
431,51,913
432,51,461
433,51,1073
434,51,855
435,51,1109
436,51,929
437,51,691
438,51,677
439,51,1027
440,51,712
441,51,602
442,51,773
443,51,162
444,51,175
445,51,213
446,51,884
447,51,549
448,51,194
449,51,777
450,51,1040
451,51,538
452,51,1115
453,51,754
454,51,1060
455,51,510
456,51,45
457,51,237
458,51,3
459,51,2
460,51,251
461,51,368
462,51,121
463,51,661
464,51,662
465,51,378
466,51,976
467,51,255
468,51,957
469,51,352
470,51,324
471,51,1041
472,51,787
473,51,134
474,51,495
475,51,1048
476,51,187
477,51,1116
478,51,733
479,51,1085
480,51,217
481,51,927
482,51,1058
483,51,947
484,51,96
485,51,50
486,51,293
487,51,769
488,51,672
489,51,635
490,51,282
491,51,70
492,51,1065
493,51,377
494,51,573
495,51,911
496,51,796
497,51,593
498,51,771
499,51,726
500,51,159
501,51,1082
502,51,334
503,51,588
504,51,932
505,51,749
506,51,120
507,51,1016
508,51,848
509,51,737
510,51,879
511,51,643
512,51,207
513,51,137
514,51,658
515,51,639
516,51,160
517,51,815
518,51,580
519,51,674
520,51,1064
521,51,724
522,51,1083
523,51,305
524,51,110
525,51,923
526,51,174
527,51,996
528,51,745
529,51,1033
530,51,736
531,51,789
532,51,192
533,51,473
534,51,106
535,51,864
536,51,1096
537,51,612
538,51,198
539,51,143
540,51,105
541,51,272
542,51,417
543,51,439
544,51,570
545,51,420
546,51,303
547,51,440
548,51,146
549,51,725
550,51,616
551,51,339
552,51,35
553,51,1111
554,51,408
555,51,816
556,51,403
557,51,806
558,51,262
559,51,849
560,51,366
561,51,1062
562,51,511
563,51,948
564,51,493
565,51,426
566,51,910
567,51,842
568,51,294
569,51,817
570,51,802
571,51,983
572,51,267
573,51,95
574,51,994
575,51,552
576,51,657
577,51,451
578,51,65
579,51,586
580,51,249
581,51,253
582,51,1075
583,51,564
584,51,979
585,51,591
586,51,180
587,51,235
588,51,32
589,51,576
590,51,1053
591,51,356
592,51,101
593,51,648
594,51,920
595,51,776
596,51,1112
597,51,300
598,51,995
599,51,327
600,51,926
601,51,682
602,51,142
603,51,974
604,51,982
605,51,893
606,51,432
607,51,833
608,51,447
609,51,978
610,51,383
611,51,824
612,51,709
613,51,774
614,51,424
615,51,554
616,51,344
617,51,1030
618,51,626
619,51,311
620,51,786
621,51,72
622,51,147
623,51,497
624,51,118
625,51,878
626,51,314
627,51,320
628,51,813
629,51,329
630,51,888
631,51,24
632,51,438
633,51,361
634,51,1005
635,51,1068
636,51,784
637,51,75
638,51,246
639,51,746
640,51,1102
641,51,437
642,51,756
643,51,630
644,51,951
645,51,797
646,51,271
647,51,64
648,51,365
649,51,757
650,51,942
651,51,431
652,51,77
653,51,671
654,51,43
655,51,1104
656,51,10
657,51,322
658,51,428
659,51,226
660,51,22
661,51,760
662,51,946
663,51,770
664,51,21
665,51,448
666,51,854
667,57,187
668,80,375
669,80,70
670,80,262
671,80,119
672,80,95
673,80,438
674,80,1016
675,80,121
676,80,239
677,80,183
678,80,63
679,80,947
680,80,477
681,80,236
682,80,51
683,80,897
684,80,447
685,80,1057
686,80,622
687,80,752
688,80,316
689,80,779
690,80,352
691,80,473
692,80,1042
693,80,480
694,80,668
695,80,762
696,80,801
697,80,491
698,80,990
699,80,259
700,80,777
701,80,84
702,80,295
703,80,608
704,80,65
705,80,250
706,80,136
707,80,634
708,80,878
709,80,1019
710,80,771
711,80,950
712,80,1033
713,80,936
714,80,1011
715,80,734
716,80,1039
717,80,713
718,80,737
719,80,733
720,80,81
721,80,708
722,80,191
723,80,252
724,80,848
725,80,1010
726,80,726
727,80,299
728,80,1078
729,80,755
730,80,706
731,80,215
732,80,719
733,80,69
734,80,317
735,80,9
736,80,78
737,80,909
738,80,740
739,80,609
740,80,409
741,80,548
742,80,40
743,80,168
744,80,559
745,80,509
746,80,210
747,80,865
748,80,42
749,80,23
750,80,543
751,80,307
752,80,652
753,80,544
754,80,644
755,80,1064
756,80,346
757,80,1067
758,80,667
759,80,538
760,80,175
761,80,832
762,80,677
763,80,996
764,80,494
765,80,574
766,80,92
767,80,208
768,80,876
769,80,577
770,80,504
771,80,302
772,80,601
773,80,249
774,80,71
775,80,483
776,80,507
777,80,818
778,80,6
779,80,1
780,80,663
781,80,986
782,80,420
783,80,283
784,80,849
785,80,423
786,80,45
787,80,15
788,80,703
789,80,1066
790,80,489
791,80,545
792,80,980
793,80,402
794,80,171
795,80,371
796,80,1021
797,80,1029
798,80,812
799,80,691
800,80,261
801,80,1111
802,80,883
803,80,1082
804,80,96
805,80,920
806,80,281
807,80,383
808,93,1007
809,93,188
810,93,1077
811,93,743
812,93,552
813,93,272
814,93,1111
815,93,157
816,93,22
817,93,497
818,93,840
819,93,721
820,93,149
821,93,47
822,93,809
823,93,523
824,93,1092
825,93,787
826,93,142
827,93,836
828,93,1104
829,93,858
830,93,974
831,93,464
832,93,537
833,93,731
834,93,921
835,93,970
836,93,546
837,93,792
838,93,290
839,93,1017
840,93,842
841,93,1008
842,93,539
843,93,55
844,93,785
845,93,650
846,125,187
847,125,266
848,126,453
849,126,1044
850,126,1016
851,126,713
852,126,246
853,126,958
854,126,297
855,126,371
856,126,619
857,126,6
858,126,933
859,126,812
860,126,369
861,126,171
862,126,822
863,126,481
864,126,536
865,126,417
866,126,169
867,126,115
868,126,799
869,126,419
870,126,646
871,126,449
872,126,207
873,148,334
874,148,366
875,148,726
876,148,609
877,148,302
878,148,386
879,148,961
880,148,937
881,148,357
882,148,340
883,148,722
884,148,49
885,148,664
886,148,625
887,148,554
888,148,460
889,148,104
890,148,446
891,148,971
892,148,453
893,148,133
894,148,738
895,148,759
896,148,799
897,148,218
898,148,158
899,148,983
900,148,1115
901,148,546
902,148,46
903,148,1015
904,148,810
905,148,299
906,148,275
907,148,411
908,148,379
909,148,1052
910,148,771
911,148,500
912,148,723
913,148,1050
914,148,199
915,148,1070
916,148,24
917,148,856
918,148,421
919,148,253
920,148,821
921,148,349
922,148,489
923,148,687
924,148,1075
925,148,8
926,148,389
927,148,174
928,148,639
929,148,266
930,148,1101
931,148,1084
932,148,330
933,148,1092
934,148,970
935,148,880
936,148,566
937,148,692
938,148,268
939,148,132
940,148,445
941,148,997
942,148,192
943,148,944
944,148,1053
945,148,635
946,148,1018
947,148,666
948,148,787
949,148,191
950,148,487
951,148,805
952,148,900
953,148,252
954,148,205
955,148,83
956,148,978
957,148,42
958,148,259
959,148,504
960,148,685
961,148,173
962,148,255
963,148,737
964,148,159
965,148,603
966,148,973
967,148,622
968,148,873
969,148,145
970,148,352
971,148,925
972,148,374
973,148,974
974,148,169
975,148,276
976,148,75
977,148,990
978,148,812
979,148,375
980,148,344
981,148,93
982,148,858
983,148,13
984,148,984
985,148,457
986,148,967
987,148,402
988,148,361
989,148,1073
990,148,175
991,148,532
992,148,1097
993,148,831
994,148,315
995,148,134
996,148,233
997,148,968
998,148,926
999,148,478
1000,148,896
1001,148,480
1002,148,543
1003,148,885
1004,148,69
1005,148,105
1006,148,342
1007,148,1076
1008,148,936
1009,148,274
1010,148,769
1011,148,591
1012,148,539
1013,148,627
1014,148,17
1015,148,754
1016,148,932
1017,148,293
1018,148,914
1019,148,536
1020,148,277
1021,148,327
1022,148,269
1023,148,1032
1024,148,817
1025,148,100
1026,148,877
1027,148,310
1028,148,488
1029,148,563
1030,148,696
1031,148,409
1032,148,1060
1033,148,584
1034,148,843
1035,148,853
1036,148,168
1037,148,178
1038,148,125
1039,148,568
1040,148,403
1041,148,740
1042,148,814
1043,148,45
1044,148,34
1045,148,473
1046,148,1099
1047,148,10
1048,148,57
1049,148,5
1050,148,260
1051,148,298
1052,148,441
1053,148,778
1054,148,272
1055,148,624
1056,148,44
1057,148,679
1058,148,221
1059,148,865
1060,148,329
1061,148,410
1062,148,37
1063,148,420
1064,148,802
1065,148,998
1066,148,295
1067,148,300
1068,148,965
1069,148,222
1070,148,471
1071,148,194
1072,148,1068
1073,148,626
1074,148,559
1075,148,1016
1076,148,689
1077,148,819
1078,148,800
1079,148,491
1080,148,121
1081,148,152
1082,148,510
1083,148,751
1084,148,92
1085,148,750
1086,148,839
1087,148,661
1088,148,818
1089,148,248
1090,148,384
1091,148,746
1092,148,544
1093,148,1112
1094,148,1057
1095,148,387
1096,148,189
1097,148,542
1098,148,852
1099,148,947
1100,148,521
1101,148,598
1102,148,739
1103,148,619
1104,148,9
1105,148,388
1106,148,1002
1107,148,571
1108,148,674
1109,148,250
1110,148,151
1111,148,363
1112,148,1082
1113,148,251
1114,148,1021
1115,148,930
1116,148,911
1117,148,931
1118,148,1005
1119,148,469
1120,148,512
1121,148,699
1122,148,289
1123,148,280
1124,148,232
1125,148,951
1126,148,927
1127,148,833
1128,148,101
1129,148,915
1130,148,596
1131,148,462
1132,148,428
1133,148,41
1134,148,35
1135,148,359
1136,148,316
1137,148,27
1138,148,553
1139,148,905
1140,148,505
1141,148,1044
1142,148,790
1143,148,287
1144,148,466
1145,148,479
1146,148,433
1147,148,304
1148,148,617
1149,148,0
1150,148,249
1151,148,170
1152,148,755
1153,148,47
1154,148,215
1155,148,976
1156,148,886
1157,148,70
1158,148,859
1159,148,114
1160,148,118
1161,148,672
1162,148,156
1163,148,986
1164,148,208
1165,148,892
1166,148,28
1167,148,734
1168,148,452
1169,148,154
1170,148,962
1171,148,752
1172,148,891
1173,148,602
1174,148,311
1175,148,1094
1176,148,86
1177,148,381
1178,148,724
1179,148,981
1180,148,89
1181,148,795
1182,148,703
1183,148,844
1184,148,320
1185,148,644
1186,148,297
1187,148,322
1188,148,465
1189,148,377
1190,148,982
1191,148,358
1192,148,1000
1193,148,423
1194,148,871
1195,148,1119
1196,148,1111
1197,148,630
1198,148,127
1199,148,437
1200,148,71
1201,148,565
1202,148,586
1203,148,575
1204,148,399
1205,148,605
1206,148,789
1207,148,848
1208,148,878
1209,148,22
1210,148,975
1211,148,537
1212,148,2
1213,148,916
1214,148,1047
1215,148,731
1216,148,494
1217,148,385
1218,148,77
1219,148,477
