,TF,Target,Label
0,46,478,1
1,46,886,1
2,46,797,1
3,46,706,1
4,46,976,1
5,46,1064,1
6,46,318,1
7,46,622,1
8,46,165,1
9,46,1110,1
10,46,726,1
11,46,702,1
12,46,289,1
13,46,418,1
14,46,1097,1
15,46,673,1
16,46,711,1
17,46,101,1
18,46,420,1
19,46,423,1
20,46,121,1
21,46,236,1
22,46,1032,1
23,46,575,1
24,46,663,1
25,46,750,1
26,46,210,1
27,46,687,1
28,46,28,1
29,46,187,1
30,46,658,1
31,46,77,1
32,46,571,1
33,46,1094,1
34,46,90,1
35,46,484,1
36,46,249,1
37,46,597,1
38,46,540,1
39,46,926,1
40,46,516,1
41,46,119,1
42,46,183,1
43,46,433,1
44,46,892,1
45,46,432,1
46,46,232,1
47,46,559,1
48,46,724,1
49,46,990,1
50,46,562,1
51,46,1041,1
52,46,765,1
53,46,719,1
54,46,573,1
55,46,1029,1
56,46,78,1
57,46,276,1
58,46,1062,1
59,46,982,1
60,46,440,1
61,46,685,1
62,46,929,1
63,46,199,1
64,46,356,1
65,46,947,1
66,46,247,1
67,46,147,1
68,46,978,1
69,46,163,1
70,46,878,1
71,46,1117,1
72,51,668,1
73,51,744,1
74,51,409,1
75,51,328,1
76,51,281,1
77,51,934,1
78,51,765,1
79,51,852,1
80,51,404,1
81,51,577,1
82,51,90,1
83,51,615,1
84,51,568,1
85,51,860,1
86,51,104,1
87,51,935,1
88,51,316,1
89,51,521,1
90,51,670,1
91,51,290,1
92,51,277,1
93,51,132,1
94,51,58,1
95,51,701,1
96,51,1000,1
97,51,697,1
98,51,851,1
99,51,790,1
100,51,459,1
101,51,181,1
102,51,308,1
103,51,445,1
104,51,720,1
105,51,997,1
106,51,154,1
107,51,228,1
108,51,66,1
109,51,532,1
110,51,829,1
111,51,919,1
112,51,575,1
113,51,299,1
114,51,943,1
115,51,584,1
116,51,243,1
117,51,1017,1
118,51,372,1
119,51,167,1
120,51,453,1
121,51,778,1
122,51,410,1
123,51,1118,1
124,51,346,1
125,51,939,1
126,51,441,1
127,51,729,1
128,51,117,1
129,51,866,1
130,51,766,1
131,51,212,1
132,51,703,1
133,51,610,1
134,51,125,1
135,51,503,1
136,51,542,1
137,51,800,1
138,51,880,1
139,51,689,1
140,51,751,1
141,51,381,1
142,51,310,1
143,51,34,1
144,51,44,1
145,51,742,1
146,51,239,1
147,51,513,1
148,51,504,1
149,51,273,1
150,51,47,1
151,51,642,1
152,51,711,1
153,51,499,1
154,51,399,1
155,51,732,1
156,51,317,1
157,51,88,1
158,51,822,1
159,51,990,1
160,51,945,1
161,51,533,1
162,51,618,1
163,51,148,1
164,51,416,1
165,51,434,1
166,51,379,1
167,51,287,1
168,51,60,1
169,51,93,1
170,51,1022,1
171,51,687,1
172,51,828,1
173,51,427,1
174,51,5,1
175,51,283,1
176,51,853,1
177,51,149,1
178,51,1089,1
179,51,804,1
180,51,112,1
181,51,355,1
182,51,240,1
183,51,94,1
184,51,433,1
185,51,653,1
186,51,986,1
187,51,62,1
188,51,318,1
189,51,128,1
190,51,944,1
191,51,1105,1
192,51,197,1
193,51,183,1
194,51,887,1
195,51,178,1
196,51,1106,1
197,51,177,1
198,51,759,1
199,51,136,1
200,51,199,1
201,51,950,1
202,51,59,1
203,51,534,1
204,51,1054,1
205,51,845,1
206,51,811,1
207,51,247,1
208,51,753,1
209,51,634,1
210,51,871,1
211,51,891,1
212,51,1020,1
213,51,103,1
214,51,785,1
215,51,233,1
216,51,755,1
217,51,13,1
218,51,664,1
219,51,411,1
220,51,221,1
221,51,119,1
222,51,739,1
223,51,133,1
224,51,40,1
225,51,1057,1
226,51,295,1
227,51,392,1
228,51,520,1
229,51,750,1
230,51,679,1
231,51,805,1
232,51,157,1
233,51,85,1
234,51,814,1
235,51,274,1
236,51,307,1
237,51,574,1
238,51,171,1
239,51,296,1
240,51,578,1
241,51,477,1
242,51,812,1
243,51,551,1
244,51,735,1
245,51,506,1
246,51,472,1
247,51,86,1
248,51,699,1
249,51,539,1
250,51,827,1
251,51,856,1
252,51,481,1
253,51,276,1
254,51,1059,1
255,51,486,1
256,51,270,1
257,51,692,1
258,51,269,1
259,51,507,1
260,51,916,1
261,51,333,1
262,51,502,1
263,51,225,1
264,51,1080,1
265,51,20,1
266,51,695,1
267,51,723,1
268,51,165,1
269,51,298,1
270,51,156,1
271,51,993,1
272,51,73,1
273,51,1119,1
274,51,631,1
275,51,892,1
276,51,36,1
277,51,131,1
278,51,594,1
279,51,673,1
280,51,359,1
281,51,508,1
282,51,858,1
283,51,637,1
284,51,374,1
285,51,550,1
286,51,1024,1
287,51,405,1
288,51,1110,1
289,51,380,1
290,51,1034,1
291,51,494,1
292,51,29,1
293,51,46,1
294,51,176,1
295,51,870,1
296,51,9,1
