,TF,Target,Label
0,2,623,1
1,2,680,1
2,2,1174,1
3,2,496,1
4,2,67,1
5,2,808,1
6,2,1119,1
7,2,555,1
8,2,495,1
9,2,719,1
10,2,1111,1
11,2,167,1
12,2,539,1
13,2,861,1
14,2,481,1
15,2,1199,1
16,2,616,1
17,2,700,1
18,2,751,1
19,2,769,1
20,2,50,1
21,2,1196,1
22,2,502,1
23,2,876,1
24,2,1091,1
25,2,127,1
26,2,305,1
27,2,1088,1
28,2,15,1
29,2,629,1
30,2,964,1
31,2,408,1
32,2,194,1
33,2,133,1
34,2,62,1
35,2,1012,1
36,2,832,1
37,2,473,1
38,2,767,1
39,2,1010,1
40,2,609,1
41,2,250,1
42,2,857,1
43,2,647,1
44,2,308,1
45,2,684,1
46,2,907,1
47,2,949,1
48,2,466,1
49,2,17,1
50,2,484,1
51,2,784,1
52,2,240,1
53,2,1035,1
54,2,105,1
55,2,503,1
56,2,840,1
57,2,562,1
58,2,306,1
59,2,927,1
60,2,1051,1
61,2,313,1
62,2,511,1
63,2,981,1
64,2,462,1
65,2,809,1
66,2,521,1
67,2,795,1
68,2,339,1
69,2,676,1
70,2,269,1
71,2,681,1
72,2,635,1
73,2,321,1
74,2,1103,1
75,2,1003,1
76,2,712,1
77,2,257,1
78,2,909,1
79,2,74,1
80,2,682,1
81,2,523,1
82,2,201,1
83,2,284,1
84,2,656,1
85,2,441,1
86,2,188,1
87,2,587,1
88,2,300,1
89,2,253,1
90,2,92,1
91,2,1096,1
92,2,1181,1
93,2,479,1
94,2,1098,1
95,2,53,1
96,2,170,1
97,2,88,1
98,2,551,1
99,2,1024,1
100,2,848,1
101,2,828,1
102,2,1156,1
103,2,486,1
104,2,801,1
105,2,446,1
106,2,330,1
107,2,295,1
108,2,159,1
109,2,438,1
110,2,444,1
111,2,157,1
112,2,283,1
113,2,762,1
114,2,787,1
115,2,1162,1
116,2,471,1
117,2,384,1
118,2,976,1
119,2,1159,1
120,2,177,1
121,2,883,1
122,2,1101,1
123,2,244,1
124,2,222,1
125,2,245,1
126,2,191,1
127,2,783,1
128,2,367,1
129,2,412,1
130,2,1105,1
131,2,501,1
132,2,791,1
133,2,37,1
134,2,1021,1
135,2,717,1
136,2,507,1
137,2,533,1
138,2,1163,1
139,2,73,1
140,2,707,1
141,2,697,1
142,2,124,1
143,2,14,1
144,2,372,1
145,2,893,1
146,2,1032,1
147,2,508,1
148,2,199,1
149,2,1201,1
150,2,285,1
151,2,477,1
152,2,1092,1
153,2,945,1
154,2,817,1
155,2,819,1
156,2,225,1
157,2,480,1
158,2,1173,1
159,2,939,1
160,2,116,1
161,2,354,1
162,2,860,1
163,2,193,1
164,2,866,1
165,2,633,1
166,2,299,1
167,2,796,1
168,2,220,1
169,2,1104,1
170,2,463,1
171,2,1070,1
172,2,877,1
173,2,535,1
174,2,591,1
175,2,326,1
176,2,754,1
177,2,96,1
178,2,936,1
179,2,558,1
180,2,369,1
181,2,875,1
182,2,276,1
183,2,829,1
184,2,460,1
185,2,1172,1
186,2,814,1
187,2,670,1
188,2,322,1
189,2,1130,1
190,2,918,1
191,2,338,1
192,2,1177,1
193,2,1136,1
194,2,714,1
195,2,248,1
196,2,980,1
197,2,36,1
198,2,99,1
199,2,884,1
200,2,307,1
201,2,675,1
202,2,7,1
203,2,1170,1
204,2,429,1
205,2,874,1
206,2,275,1
207,2,870,1
208,2,26,1
209,2,6,1
210,2,825,1
211,2,667,1
212,2,846,1
213,2,529,1
214,2,781,1
215,2,5,1
216,2,1093,1
217,2,1037,1
218,2,1016,1
219,2,292,1
220,2,855,1
221,2,34,1
222,2,937,1
223,2,988,1
224,2,1066,1
225,2,713,1
226,2,990,1
227,2,336,1
228,2,406,1
229,2,119,1
230,2,1036,1
231,2,59,1
232,2,957,1
233,2,409,1
234,2,943,1
235,2,451,1
236,2,410,1
237,2,432,1
238,2,891,1
239,2,1001,1
240,2,864,1
241,2,514,1
242,2,934,1
243,2,935,1
244,2,1160,1
245,2,1046,1
246,2,52,1
247,2,664,1
248,2,1146,1
249,2,983,1
250,2,810,1
251,2,491,1
252,2,287,1
253,2,1132,1
254,2,60,1
255,2,143,1
256,2,140,1
257,2,352,1
258,2,277,1
259,2,142,1
260,2,764,1
261,2,165,1
262,2,166,1
263,2,710,1
264,2,415,1
265,2,187,1
266,2,258,1
267,2,1121,1
268,2,1110,1
269,2,1147,1
270,2,102,1
271,2,30,1
272,2,401,1
273,2,1165,1
274,2,599,1
275,2,232,1
276,2,1169,1
277,2,459,1
278,2,775,1
279,2,868,1
280,2,565,1
281,2,1109,1
282,2,212,1
283,2,247,1
284,2,908,1
285,2,804,1
286,2,164,1
287,2,748,1
288,2,992,1
289,2,333,1
290,2,933,1
291,2,941,1
292,2,741,1
293,2,888,1
294,2,849,1
295,2,950,1
296,2,97,1
297,2,318,1
298,2,958,1
299,2,474,1
300,2,732,1
301,2,22,1
302,2,890,1
303,2,739,1
304,2,1145,1
305,2,631,1
306,2,1108,1
307,2,984,1
308,2,345,1
309,2,1167,1
310,2,997,1
311,2,743,1
312,2,765,1
313,2,953,1
314,2,46,1
315,2,90,1
316,2,1176,1
317,2,601,1
318,2,210,1
319,2,853,1
320,2,612,1
321,2,845,1
322,2,400,1
323,2,970,1
324,2,115,1
325,2,962,1
326,2,963,1
327,2,388,1
328,2,1069,1
329,2,1047,1
330,2,54,1
331,2,440,1
332,2,813,1
333,2,663,1
334,2,916,1
335,2,1187,1
336,2,1112,1
337,2,169,1
338,2,217,1
339,2,1038,1
340,2,1134,1
341,2,263,1
342,2,334,1
343,2,109,1
344,2,360,1
345,2,556,1
346,2,805,1
347,2,756,1
348,2,718,1
349,2,513,1
350,2,604,1
351,2,223,1
352,2,738,1
353,2,1045,1
354,2,1113,1
355,2,1139,1
356,2,301,1
357,2,1053,1
358,2,735,1
359,2,282,1
360,2,152,1
361,2,316,1
362,2,622,1
363,2,487,1
364,2,644,1
365,2,1054,1
366,2,1052,1
367,2,260,1
