,TF,Target
0,1,393
1,1,158
2,1,593
3,1,437
4,1,400
5,1,647
6,1,209
7,1,64
8,1,30
9,1,160
10,1,275
11,1,639
12,1,253
13,1,163
14,1,201
15,1,434
16,1,584
17,1,455
18,1,35
19,1,439
20,1,11
21,1,138
22,1,697
23,1,383
24,1,566
25,1,84
26,1,29
27,1,172
28,1,259
29,1,217
30,1,310
31,1,690
32,1,322
33,1,526
34,1,511
35,1,75
36,1,615
37,1,565
38,1,272
39,1,692
40,1,97
41,1,399
42,1,430
43,1,638
44,1,252
45,1,2
46,1,28
47,1,579
48,1,401
49,1,651
50,1,438
51,1,311
52,1,458
53,1,21
54,1,509
55,1,260
56,1,363
57,1,549
58,1,473
59,1,644
60,1,435
61,1,495
62,1,271
63,1,162
64,1,428
65,1,459
66,1,178
67,1,246
68,1,573
69,1,624
70,1,15
71,1,359
72,1,392
73,1,171
74,1,55
75,1,629
76,1,18
77,1,358
78,1,618
79,1,83
80,1,175
81,1,530
82,1,410
83,1,157
84,1,391
85,1,513
86,1,563
87,1,279
88,1,258
89,1,677
90,1,57
91,1,423
92,1,245
93,1,592
94,1,227
95,1,544
96,1,296
97,1,551
98,1,282
99,1,679
100,1,373
101,1,371
102,1,586
103,1,343
104,1,379
105,1,339
106,1,672
107,1,313
108,1,643
109,1,7
110,1,315
111,1,181
112,1,12
113,1,177
114,1,558
115,1,349
116,1,137
117,1,168
118,1,608
119,1,527
120,1,536
121,1,610
122,1,164
123,1,444
124,1,120
125,1,422
126,1,417
127,1,664
128,1,661
129,1,76
130,1,219
131,1,696
132,1,199
133,1,531
134,1,34
135,1,543
136,1,691
137,1,135
138,1,193
139,1,686
140,1,570
141,1,353
142,1,278
143,1,698
144,1,49
145,1,535
146,1,308
147,1,350
148,1,703
149,1,591
150,1,556
151,1,113
152,1,502
153,1,658
154,1,642
155,1,360
156,1,101
157,1,590
158,1,22
159,1,494
160,1,261
161,1,550
162,1,69
163,1,631
164,1,220
165,1,654
166,1,580
167,1,426
168,1,432
169,1,413
170,1,678
171,1,377
172,1,232
173,1,607
174,1,130
175,1,335
176,1,500
177,1,216
178,1,648
179,1,486
180,1,4
181,1,283
182,1,375
183,1,567
184,1,346
185,1,293
186,1,604
187,1,652
188,1,340
189,1,534
190,1,309
191,1,501
192,1,357
193,1,136
194,1,603
195,1,131
196,1,523
197,1,144
198,1,630
199,1,356
200,1,409
201,1,653
202,1,234
203,1,81
204,1,669
205,1,174
206,1,267
207,1,23
208,1,66
209,1,111
210,1,457
211,1,274
212,1,402
213,1,398
214,1,198
215,1,465
216,1,689
217,1,572
218,1,454
219,1,599
220,1,108
221,1,281
222,1,480
223,1,479
224,1,33
225,1,126
226,1,165
227,1,14
228,1,345
229,1,533
230,1,461
231,1,205
232,1,497
233,1,425
234,1,116
235,1,87
236,1,616
237,1,376
238,1,612
239,1,633
240,1,159
241,1,415
242,1,505
243,1,51
244,1,67
245,1,13
246,1,270
247,1,621
248,1,224
249,1,365
250,1,229
251,1,466
252,1,325
253,1,670
254,1,65
255,1,538
256,1,37
257,1,303
258,1,460
259,1,561
260,1,680
261,1,19
262,1,355
263,12,81
264,12,166
265,12,207
266,12,411
267,12,434
268,12,74
269,12,665
270,12,373
271,12,421
272,12,134
273,12,624
274,12,558
275,12,355
276,12,252
277,12,423
278,12,360
279,12,290
280,12,481
281,12,140
282,12,274
283,12,614
284,12,27
285,12,564
286,12,457
287,12,533
288,12,657
289,12,48
290,12,460
291,12,404
292,12,474
293,12,399
294,12,170
295,12,90
296,12,697
297,12,217
298,12,446
299,12,53
300,12,505
301,12,497
302,12,588
303,12,440
304,12,567
305,12,473
306,12,540
307,12,644
308,12,426
309,12,456
310,12,116
311,12,600
312,12,368
313,12,392
314,12,70
315,12,57
316,12,138
317,12,589
318,12,203
319,12,403
320,12,332
321,12,577
322,12,486
323,12,472
324,12,60
325,12,397
326,12,14
327,12,380
328,12,594
329,12,78
330,12,38
331,12,157
332,12,700
333,12,626
334,12,660
335,12,102
336,12,185
337,12,467
338,12,278
339,12,286
340,12,242
341,12,50
342,12,578
343,12,374
344,12,23
345,12,41
346,12,293
347,12,111
348,12,84
349,12,120
350,12,670
351,12,254
352,12,585
353,12,267
354,12,445
355,12,232
356,12,324
357,12,621
358,12,652
359,12,521
360,12,205
361,12,265
362,12,515
363,12,184
364,12,598
365,12,194
366,12,469
367,12,323
368,12,366
369,12,245
370,12,409
371,12,321
372,12,344
373,12,563
374,12,362
375,12,283
376,12,511
377,12,550
378,12,419
379,12,238
380,12,176
381,12,139
382,12,319
383,12,198
384,12,559
385,12,703
386,12,204
387,12,186
388,12,45
389,12,336
390,12,300
391,12,126
392,12,28
393,12,343
394,12,133
395,12,118
396,12,229
397,12,236
398,12,627
399,12,596
400,12,318
401,12,304
402,12,339
403,12,525
404,12,701
405,12,385
406,12,256
407,12,661
408,12,228
409,12,172
410,12,613
411,12,169
412,12,148
413,12,539
414,12,465
415,12,463
416,12,225
417,12,552
418,12,306
419,12,443
420,12,30
421,12,500
422,12,458
423,12,161
424,12,390
425,12,352
426,12,42
427,12,56
428,12,433
429,12,609
430,12,44
431,12,466
432,12,227
433,12,183
434,12,108
435,12,76
436,12,384
437,12,5
438,12,648
439,12,455
440,12,329
441,12,629
442,12,451
443,12,310
444,12,602
445,12,410
446,12,570
447,12,389
448,12,80
449,12,88
450,12,376
451,12,248
452,12,572
453,12,337
454,12,160
455,12,488
456,12,296
457,12,10
458,12,97
459,12,477
460,12,452
461,12,150
462,12,158
463,12,391
464,12,255
465,12,309
466,12,690
467,12,114
468,12,270
469,12,425
470,12,264
471,12,516
472,12,645
473,12,453
474,12,123
475,12,235
476,12,667
477,12,607
478,12,6
479,12,275
480,12,646
