,TF,Target
0,17,1050
1,17,877
2,17,704
3,17,686
4,17,288
5,17,433
6,17,913
7,17,447
8,17,599
9,17,1038
10,17,541
11,17,867
12,17,1037
13,17,1026
14,17,796
15,17,732
16,17,1028
17,17,512
18,17,183
19,17,188
20,17,63
21,17,151
22,17,976
23,17,216
24,17,749
25,17,158
26,17,137
27,17,226
28,17,458
29,17,643
30,17,1009
31,17,1065
32,17,15
33,17,409
34,17,626
35,17,923
36,17,1008
37,17,918
38,17,451
39,17,47
40,17,103
41,17,438
42,17,394
43,17,267
44,17,549
45,17,437
46,17,401
47,17,533
48,17,326
49,17,249
50,17,835
51,17,774
52,17,19
53,17,687
54,17,283
55,17,983
56,17,969
57,17,68
58,17,161
59,17,274
60,17,650
61,17,232
62,17,245
63,17,524
64,17,790
65,17,588
66,17,922
67,17,791
68,17,1104
69,17,939
70,17,823
71,17,219
72,17,280
73,17,445
74,17,370
75,17,907
76,17,589
77,17,124
78,17,1089
79,17,909
80,17,281
81,17,130
82,17,703
83,17,75
84,17,929
85,17,889
86,17,296
87,17,605
88,17,269
89,17,639
90,17,1066
91,17,688
92,17,1095
93,17,1013
94,17,971
95,17,92
96,17,382
97,17,654
98,17,194
99,17,1041
100,17,51
101,17,167
102,17,89
103,17,515
104,17,377
105,17,185
106,17,1097
107,17,1096
108,17,896
109,17,793
110,17,415
111,17,1091
112,17,928
113,17,1078
114,17,1092
115,17,323
116,17,1082
117,17,873
118,17,228
119,17,727
120,17,620
121,17,378
122,17,1039
123,17,263
124,17,616
125,17,221
126,17,1076
127,17,977
128,17,264
129,17,149
130,17,831
131,17,192
132,17,379
133,17,205
134,17,674
135,17,444
136,17,434
137,17,507
138,17,38
139,17,989
140,17,752
141,17,471
142,17,568
143,17,624
144,17,74
145,17,908
146,17,826
147,17,121
148,17,13
149,17,1022
150,17,1071
151,17,469
152,17,203
153,17,472
154,17,342
155,17,511
156,17,1128
157,17,403
158,17,697
159,17,651
160,17,744
161,17,755
162,17,696
163,17,337
164,17,741
165,17,407
166,17,114
167,17,621
168,17,1033
169,17,187
170,17,312
171,17,578
172,17,282
173,17,982
174,17,202
175,17,422
176,17,494
177,17,994
178,17,493
179,17,501
180,17,763
181,17,262
182,17,740
183,17,95
184,17,479
185,17,1077
186,17,824
187,17,797
188,17,772
189,17,261
190,17,273
191,17,466
192,17,391
193,17,250
194,17,713
195,17,1083
196,17,640
197,17,820
198,17,536
199,17,546
200,17,313
201,17,655
202,17,224
203,17,1054
204,17,36
205,17,99
206,17,821
207,17,714
208,17,418
209,17,7
210,17,719
211,17,762
212,17,811
213,17,619
214,17,857
215,17,26
216,17,6
217,17,1055
218,17,615
219,17,871
220,17,298
221,17,799
222,17,5
223,17,991
224,17,935
225,17,669
226,17,806
227,17,459
228,17,34
229,17,439
230,17,1113
231,17,815
232,17,1056
233,17,888
234,17,917
235,17,680
236,17,380
237,17,117
238,17,957
239,17,60
240,17,661
241,17,1052
242,17,874
243,17,1126
244,17,1031
245,17,1100
246,17,404
247,17,430
248,17,590
249,17,722
250,17,864
251,17,865
252,17,636
253,17,309
254,17,49
255,17,303
256,17,724
257,17,778
258,17,299
259,17,61
260,17,134
261,17,958
262,17,252
263,17,136
264,17,735
265,17,155
266,17,157
267,17,840
268,17,858
269,17,182
270,17,233
271,17,443
272,17,1032
273,17,427
274,17,102
275,17,31
276,17,718
277,17,460
278,17,760
279,17,211
280,17,649
281,17,886
282,17,745
283,17,340
284,17,612
285,17,487
286,17,199
287,17,223
288,17,545
289,17,695
290,17,154
291,17,376
292,17,351
293,17,306
294,17,988
295,17,731
296,17,822
297,17,423
298,17,776
299,17,1007
300,17,96
301,17,293
302,17,940
303,17,441
304,17,882
305,17,23
306,17,573
307,17,711
308,17,1064
309,17,592
310,17,1081
311,17,853
312,17,319
313,17,875
314,17,419
315,17,950
316,17,785
317,17,742
318,17,44
319,17,90
320,17,1098
321,17,561
322,17,198
323,17,954
324,17,692
325,17,782
326,17,369
327,17,899
328,17,491
329,17,112
330,17,956
331,17,895
332,17,356
333,17,743
334,17,970
335,17,53
336,17,802
337,17,647
338,17,611
339,17,978
340,17,574
341,17,1034
342,17,160
343,17,200
344,17,959
345,17,644
346,17,237
347,17,307
348,17,106
349,17,330
350,17,520
351,17,891
352,17,583
353,17,659
354,17,477
355,17,564
356,17,204
357,17,604
358,17,965
359,17,990
360,17,1059
361,17,275
362,17,850
363,17,673
364,17,260
365,17,144
366,17,291
367,17,579
368,17,450
369,17,676
370,17,1014
371,17,1027
372,17,235
373,17,128
374,17,734
375,17,730
376,17,1099
377,17,838
378,17,955
379,17,43
380,17,420
381,17,807
382,17,1023
383,17,581
384,17,163
385,17,993
386,17,1090
387,17,788
388,17,554
389,17,861
390,17,892
391,17,1017
392,17,465
393,17,77
394,17,108
395,17,609
396,17,83
397,17,70
398,17,910
399,17,341
