,TF,Target,Label
0,0,276,1
1,0,185,1
2,12,44,1
3,12,381,1
4,12,231,1
5,12,247,1
6,12,347,1
7,12,121,1
8,12,207,1
9,12,304,1
10,12,9,1
11,12,284,1
12,12,117,1
13,12,484,1
14,12,287,1
15,12,135,1
16,12,28,1
17,12,19,1
18,12,125,1
19,12,2,1
20,12,293,1
21,12,619,1
22,12,244,1
23,12,407,1
24,12,29,1
25,12,82,1
26,12,141,1
27,12,235,1
28,12,199,1
29,12,439,1
30,12,195,1
31,12,576,1
32,12,382,1
33,12,69,1
34,12,442,1
35,12,218,1
36,12,230,1
37,12,72,1
38,12,64,1
39,12,224,1
40,12,300,1
41,12,420,1
42,12,452,1
43,12,434,1
44,12,360,1
45,12,550,1
46,12,129,1
47,12,217,1
48,12,345,1
49,12,164,1
50,12,395,1
51,12,625,1
52,12,256,1
53,12,518,1
54,12,313,1
55,12,361,1
56,12,535,1
57,12,128,1
58,12,478,1
59,12,268,1
60,12,290,1
61,12,599,1
62,12,494,1
63,12,75,1
64,12,122,1
65,12,402,1
66,12,140,1
67,12,426,1
68,12,493,1
69,12,73,1
70,12,505,1
71,12,232,1
72,12,538,1
73,12,132,1
74,12,469,1
75,12,569,1
76,12,70,1
77,12,49,1
78,12,500,1
79,12,554,1
80,12,472,1
81,12,266,1
82,12,21,1
83,12,120,1
84,12,113,1
85,12,530,1
86,12,603,1
87,12,608,1
88,12,81,1
89,12,551,1
90,12,22,1
91,12,574,1
92,12,34,1
93,12,631,1
94,12,25,1
95,12,100,1
96,12,513,1
97,12,14,1
98,12,498,1
99,12,473,1
100,12,355,1
101,12,0,1
102,12,620,1
103,12,369,1
104,12,101,1
105,12,618,1
106,12,601,1
107,12,114,1
108,12,405,1
109,12,614,1
110,12,124,1
111,12,115,1
112,12,555,1
113,12,490,1
114,12,94,1
115,12,102,1
116,12,283,1
117,12,145,1
118,12,50,1
119,12,328,1
120,12,416,1
121,12,271,1
122,12,208,1
123,12,537,1
124,12,598,1
125,12,297,1
126,12,219,1
127,12,58,1
128,12,65,1
129,12,506,1
130,12,544,1
131,12,552,1
132,12,451,1
133,12,359,1
134,12,20,1
135,12,118,1
136,12,611,1
137,12,629,1
138,12,384,1
139,12,254,1
140,12,517,1
141,12,521,1
142,12,60,1
143,12,56,1
144,12,589,1
145,12,123,1
146,12,24,1
147,12,3,1
148,12,446,1
149,12,514,1
150,12,435,1
151,12,1,1
152,12,104,1
153,12,119,1
154,80,371,1
155,80,323,1
156,80,490,1
157,80,333,1
158,83,526,1
159,83,312,1
160,83,276,1
161,83,481,1
162,83,380,1
163,83,509,1
164,83,400,1
165,83,141,1
166,83,80,1
167,83,318,1
168,83,532,1
169,83,160,1
170,83,475,1
171,83,323,1
172,83,391,1
173,83,226,1
174,83,313,1
175,83,514,1
176,83,87,1
177,83,179,1
178,83,14,1
179,83,266,1
180,83,283,1
181,83,343,1
182,83,281,1
183,83,186,1
184,83,78,1
185,83,341,1
186,83,493,1
187,83,406,1
188,83,582,1
189,83,184,1
190,83,623,1
191,83,544,1
192,83,208,1
193,83,166,1
194,83,248,1
195,83,297,1
196,83,522,1
197,83,458,1
198,83,207,1
199,83,371,1
200,83,398,1
201,83,278,1
202,83,474,1
203,83,0,1
204,83,77,1
205,83,273,1
206,83,142,1
207,83,611,1
208,83,182,1
209,83,583,1
210,83,255,1
211,83,39,1
212,83,228,1
213,83,499,1
214,83,473,1
215,83,376,1
216,83,140,1
217,83,508,1
218,83,200,1
219,83,452,1
220,83,521,1
221,83,322,1
222,83,629,1
223,83,436,1
224,83,364,1
225,83,465,1
226,83,154,1
227,83,353,1
228,83,28,1
229,83,214,1
230,83,427,1
231,83,340,1
232,83,134,1
233,83,307,1
234,83,30,1
235,83,21,1
236,83,372,1
237,83,185,1
238,83,349,1
239,83,545,1
240,83,274,1
241,83,308,1
242,83,222,1
243,83,390,1
244,83,13,1
245,83,535,1
246,83,488,1
247,83,146,1
248,83,138,1
249,83,25,1
250,83,464,1
251,83,457,1
252,83,433,1
253,83,213,1
254,83,563,1
255,83,101,1
256,83,540,1
257,83,610,1
258,83,512,1
259,83,70,1
260,83,560,1
261,83,61,1
262,83,564,1
263,83,246,1
264,83,131,1
265,83,592,1
266,83,126,1
267,83,12,1
268,83,596,1
269,83,367,1
270,83,18,1
271,83,356,1
272,83,227,1
273,96,496,1
274,96,545,1
275,96,500,1
276,96,86,1
277,96,64,1
278,96,95,1
279,96,61,1
280,96,222,1
281,96,274,1
282,96,437,1
283,96,219,1
284,96,114,1
285,96,270,1
286,96,129,1
287,96,518,1
288,96,586,1
289,96,40,1
290,96,53,1
291,96,513,1
292,96,106,1
293,96,381,1
294,96,612,1
295,96,519,1
296,96,579,1
297,96,588,1
298,96,124,1
299,96,252,1
300,96,626,1
301,96,343,1
302,96,527,1
303,96,318,1
304,96,563,1
305,96,180,1
306,96,43,1
307,96,168,1
308,96,315,1
309,96,358,1
310,96,321,1
311,96,198,1
312,96,323,1
313,96,183,1
314,96,196,1
315,96,599,1
316,96,208,1
317,96,5,1
318,96,539,1
319,96,469,1
320,96,481,1
321,96,12,1
322,96,245,1
323,96,590,1
324,96,410,1
325,96,516,1
326,96,465,1
327,96,146,1
328,96,462,1
329,96,550,1
330,96,84,1
331,96,250,1
332,96,74,1
333,96,29,1
334,96,388,1
335,96,98,1
336,96,562,1
337,96,473,1
338,96,548,1
339,96,589,1
340,96,595,1
341,96,556,1
342,96,425,1
343,96,514,1
344,96,332,1
345,96,294,1
346,96,182,1
347,96,141,1
348,96,424,1
349,96,529,1
350,96,282,1
351,96,602,1
352,96,603,1
353,96,407,1
354,96,125,1
355,96,189,1
356,96,24,1
357,96,515,1
358,96,328,1
359,96,13,1
360,96,364,1
361,96,132,1
362,96,443,1
363,96,142,1
364,96,82,1
365,96,97,1
366,96,35,1
367,96,187,1
368,96,109,1
369,96,417,1
370,96,149,1
371,96,533,1
372,96,601,1
373,96,339,1
374,96,402,1
375,96,617,1
376,96,158,1
377,96,120,1
378,96,435,1
379,96,341,1
380,96,628,1
381,96,161,1
382,96,374,1
383,96,77,1
384,96,239,1
385,96,467,1
386,96,287,1
387,96,117,1
388,96,485,1
389,96,311,1
390,96,544,1
391,96,261,1
392,96,171,1
393,96,362,1
394,96,226,1
395,96,569,1
396,96,243,1
397,96,340,1
398,96,19,1
399,96,78,1
400,96,163,1
401,96,331,1
402,96,391,1
403,96,528,1
404,96,560,1
405,96,395,1
406,96,474,1
407,96,309,1
408,96,251,1
409,96,18,1
410,96,248,1
411,96,157,1
412,96,205,1
413,96,147,1
414,96,136,1
415,96,273,1
416,96,476,1
417,96,33,1
418,96,123,1
419,96,436,1
420,96,441,1
421,96,217,1
422,96,256,1
423,96,482,1
424,96,131,1
425,96,511,1
426,96,561,1
427,96,27,1
428,96,42,1
429,96,166,1
430,96,281,1
431,96,9,1
432,96,327,1
433,96,360,1
434,96,597,1
435,96,108,1
436,96,491,1
437,96,490,1
438,96,195,1
439,96,293,1
440,96,359,1
441,96,254,1
442,96,507,1
443,96,244,1
444,96,508,1
445,96,421,1
446,96,91,1
447,96,7,1
448,96,464,1
449,96,357,1
450,96,295,1
451,96,445,1
452,96,394,1
453,96,538,1
454,96,370,1
455,96,58,1
456,96,55,1
457,96,201,1
458,96,541,1
459,96,167,1
460,96,526,1
461,96,397,1
462,96,21,1
463,96,277,1
464,96,427,1
465,96,573,1
466,96,432,1
467,96,54,1
468,96,503,1
469,96,283,1
470,96,480,1
471,96,115,1
472,96,335,1
473,96,386,1
474,96,584,1
475,96,506,1
476,96,546,1
477,96,36,1
478,96,505,1
479,96,6,1
480,96,249,1
481,96,37,1
482,96,342,1
483,96,118,1
484,96,121,1
485,96,31,1
486,96,608,1
487,96,301,1
488,96,200,1
489,96,426,1
490,96,492,1
491,96,414,1
492,96,1,1
493,96,302,1
494,96,577,1
495,96,144,1
496,96,271,1
497,96,288,1
498,96,215,1
499,96,433,1
500,96,361,1
501,96,498,1
502,96,458,1
503,96,535,1
504,96,23,1
505,96,524,1
506,96,160,1
507,96,543,1
508,96,521,1
509,96,116,1
510,96,66,1
511,96,70,1
512,96,218,1
513,96,207,1
514,96,430,1
515,96,367,1
516,96,128,1
517,96,627,1
518,96,352,1
519,96,347,1
520,96,258,1
521,96,174,1
522,96,423,1
523,96,304,1
524,96,353,1
525,96,186,1
526,96,34,1
527,96,291,1
528,96,346,1
529,96,501,1
530,96,418,1
531,96,504,1
532,96,422,1
533,96,177,1
