,TF,Target
0,7,447
1,7,8
2,7,629
3,7,114
4,7,165
5,7,176
6,7,202
7,7,179
8,7,640
9,7,108
10,7,314
11,7,522
12,7,489
13,7,416
14,7,89
15,7,518
16,7,382
17,7,188
18,7,205
19,7,634
20,7,76
21,7,214
22,7,374
23,7,96
24,7,197
25,7,335
26,7,239
27,7,199
28,7,430
29,7,467
30,7,106
31,7,278
32,7,273
33,7,154
34,7,658
35,7,642
36,7,103
37,7,105
38,7,286
39,7,659
40,7,241
41,7,391
42,7,451
43,7,338
44,7,203
45,7,390
46,7,428
47,7,656
48,7,232
49,7,494
50,7,271
51,7,184
52,7,219
53,7,206
54,7,287
55,7,360
56,7,427
57,7,415
58,7,568
59,7,422
60,7,313
61,7,410
62,7,109
63,7,164
64,7,51
65,7,226
66,7,578
67,7,334
68,7,304
69,7,369
70,7,64
71,7,337
72,7,69
73,7,80
74,7,587
75,7,521
76,7,79
77,7,333
78,7,575
79,7,230
80,7,174
81,7,340
82,7,71
83,7,408
84,7,275
85,7,336
86,7,535
87,7,322
88,7,364
89,7,74
90,7,200
91,7,470
92,7,6
93,7,182
94,7,122
95,7,157
96,7,544
97,7,186
98,7,613
99,7,389
100,7,604
101,7,140
102,7,377
103,7,370
104,7,686
105,7,687
106,7,265
107,7,605
108,7,602
109,7,240
110,7,546
111,7,307
112,7,562
113,7,98
114,7,260
115,7,248
116,7,442
117,7,52
118,7,572
119,7,490
120,7,622
121,7,0
122,7,227
123,7,215
124,7,329
125,7,142
126,7,537
127,7,10
128,7,357
129,7,170
130,7,354
131,7,366
132,7,651
133,7,665
134,7,47
135,7,388
136,7,486
137,7,498
138,7,664
139,7,650
140,7,158
141,7,405
142,7,49
143,7,125
144,7,424
145,7,375
146,7,548
147,7,463
148,7,396
149,7,520
150,7,524
151,7,101
152,7,653
153,7,511
154,7,529
155,7,627
156,7,649
157,7,616
158,7,345
159,7,453
160,7,674
161,7,254
162,7,325
163,7,45
164,7,512
165,7,153
166,7,132
167,7,282
168,7,341
169,7,393
170,7,352
171,7,191
172,7,631
173,7,526
174,7,569
175,7,346
176,7,268
177,7,476
178,7,506
179,7,663
180,7,387
181,7,48
182,7,331
183,7,574
184,7,222
185,7,566
186,7,212
187,7,400
188,7,503
189,7,628
190,7,198
191,7,294
192,7,149
193,7,92
194,7,407
195,7,83
196,7,413
197,7,561
198,7,667
199,7,20
200,7,274
201,7,398
202,7,4
203,7,682
204,7,584
205,7,289
206,7,40
207,7,473
208,7,94
209,7,504
210,7,217
211,7,261
212,7,151
213,7,190
214,7,66
215,7,497
216,7,127
217,7,417
218,7,245
219,7,452
220,7,312
221,7,455
222,7,224
223,7,355
224,7,100
225,7,376
226,7,648
227,7,189
228,7,676
229,7,347
230,7,565
231,7,603
232,7,483
233,7,641
234,7,43
235,7,395
236,7,359
237,7,91
238,7,523
239,7,62
240,7,249
241,7,14
242,7,487
243,7,50
244,7,23
245,7,84
246,7,1
247,7,446
248,7,35
249,7,316
250,7,383
251,7,19
252,7,647
253,7,385
254,7,570
255,7,36
256,7,597
257,7,596
258,7,517
259,7,448
260,7,136
261,7,58
262,7,625
263,7,53
264,7,689
265,7,236
266,7,477
267,7,73
268,7,630
269,7,238
270,7,28
271,7,93
272,7,111
273,7,586
274,7,299
275,7,258
276,7,63
277,7,262
278,7,661
279,7,221
280,7,33
281,7,469
282,7,326
283,7,181
284,7,107
285,7,246
286,7,310
287,7,482
288,7,474
289,7,618
290,7,147
291,7,670
292,7,171
293,7,384
294,7,39
295,7,530
296,7,283
297,7,412
298,7,348
299,7,78
300,7,223
301,7,492
302,7,169
303,7,160
304,7,507
305,7,484
306,7,356
307,7,300
308,7,429
309,7,343
310,7,404
311,7,180
312,7,513
313,7,55
314,7,231
315,7,508
316,7,319
317,7,54
318,12,661
319,12,363
320,12,650
321,12,470
322,12,367
323,12,546
324,12,630
325,12,568
326,12,11
327,12,653
328,12,681
329,12,415
330,12,462
331,12,270
332,12,689
333,12,294
334,12,258
335,12,642
336,12,231
337,12,236
338,12,84
339,12,198
340,12,304
341,12,278
342,12,292
343,12,204
344,12,183
345,12,293
346,12,578
347,12,95
348,12,4
349,12,48
350,12,21
351,12,519
352,12,600
353,12,522
354,12,103
355,12,431
356,12,572
357,12,68
358,12,132
359,12,556
360,12,500
361,12,345
362,12,690
363,12,553
364,12,511
365,12,669
366,12,417
367,12,325
368,12,18
369,12,217
370,12,25
371,12,176
372,12,362
373,12,273
374,12,39
375,12,91
376,12,207
377,12,353
378,12,567
379,12,301
380,12,316
381,12,656
382,12,625
383,12,280
384,12,628
385,12,441
386,12,497
387,12,218
388,12,451
389,12,283
390,12,358
391,12,566
392,12,469
393,12,663
394,12,87
395,12,165
396,12,611
397,12,53
398,12,359
399,12,172
400,12,420
401,12,97
402,12,376
403,12,613
404,12,377
405,12,314
406,12,347
407,12,315
408,12,265
409,12,267
410,12,490
411,12,216
412,12,459
413,12,120
414,12,487
415,12,355
416,12,245
417,12,447
418,12,74
419,12,215
420,12,114
421,12,647
422,12,479
423,12,233
424,12,191
425,12,458
426,12,168
427,12,570
428,12,523
429,12,584
430,12,612
431,12,214
432,12,466
433,12,413
434,12,516
435,12,323
436,12,295
437,12,508
438,12,622
439,12,480
440,12,450
441,12,341
442,12,239
443,12,285
444,12,219
445,12,634
446,12,342
447,12,196
448,12,189
449,12,242
450,12,483
451,12,262
452,12,585
453,12,565
454,12,548
455,12,637
456,12,50
457,12,134
458,12,188
459,12,596
460,12,627
461,12,274
462,12,96
463,12,599
464,12,184
465,12,163
466,12,19
467,12,442
468,12,618
469,12,593
470,12,260
471,12,597
472,12,438
473,12,641
474,12,472
475,12,513
476,12,671
