,TF,Target,Label
0,14,12,1
1,14,195,1
2,14,238,1
3,14,395,1
4,14,7,1
5,14,167,1
6,14,241,1
7,14,369,1
8,14,234,1
9,14,162,1
10,14,451,1
11,14,330,1
12,14,554,1
13,14,353,1
14,14,385,1
15,14,417,1
16,14,27,1
17,14,393,1
18,14,257,1
19,14,510,1
20,14,201,1
21,14,270,1
22,14,159,1
23,14,384,1
24,14,178,1
25,14,164,1
26,14,465,1
27,14,55,1
28,14,34,1
29,14,166,1
30,14,457,1
31,14,214,1
32,14,293,1
33,14,256,1
34,14,383,1
35,14,243,1
36,14,8,1
37,14,117,1
38,14,154,1
39,14,202,1
40,14,522,1
41,14,414,1
42,14,253,1
43,14,283,1
44,14,49,1
45,14,225,1
46,14,70,1
47,14,553,1
48,14,32,1
49,14,479,1
50,14,144,1
51,14,3,1
52,14,432,1
53,14,380,1
54,14,26,1
55,14,351,1
56,14,239,1
57,14,183,1
58,14,483,1
59,14,42,1
60,14,211,1
61,14,206,1
62,14,423,1
63,14,145,1
64,14,230,1
65,14,337,1
66,14,453,1
67,14,371,1
68,14,326,1
69,14,517,1
70,14,438,1
71,14,462,1
72,14,281,1
73,14,323,1
74,14,410,1
75,14,151,1
76,14,392,1
77,14,123,1
78,14,91,1
79,14,488,1
80,14,99,1
81,14,21,1
82,14,318,1
83,14,524,1
84,14,472,1
85,14,251,1
86,14,203,1
87,14,477,1
88,14,108,1
89,14,61,1
90,14,78,1
91,14,505,1
92,14,491,1
93,14,260,1
94,14,288,1
95,14,0,1
96,14,374,1
97,14,396,1
98,14,523,1
99,14,111,1
100,14,507,1
101,14,147,1
102,14,373,1
103,14,398,1
104,14,305,1
105,14,300,1
106,14,2,1
107,14,499,1
108,14,487,1
109,14,120,1
110,14,224,1
111,14,347,1
112,14,309,1
113,14,549,1
114,14,420,1
115,14,512,1
116,14,79,1
117,14,250,1
118,14,509,1
119,14,161,1
120,14,456,1
121,14,400,1
122,14,376,1
123,14,119,1
124,14,275,1
125,14,114,1
126,14,360,1
127,14,131,1
128,14,331,1
129,14,280,1
130,14,354,1
131,14,216,1
132,14,76,1
133,14,317,1
134,14,23,1
135,14,59,1
136,14,97,1
137,14,282,1
138,14,328,1
139,14,304,1
140,14,511,1
141,14,367,1
142,14,278,1
143,14,513,1
144,14,95,1
145,14,364,1
146,14,356,1
147,14,109,1
148,14,158,1
149,14,10,1
150,14,500,1
151,14,192,1
152,14,329,1
153,14,102,1
154,14,558,1
155,14,334,1
156,14,482,1
157,14,146,1
158,14,345,1
159,14,46,1
160,14,60,1
161,14,9,1
162,14,247,1
163,14,489,1
164,14,210,1
165,14,368,1
166,14,525,1
167,14,57,1
168,14,35,1
169,14,83,1
170,14,274,1
171,14,261,1
172,14,163,1
173,14,535,1
174,14,169,1
175,14,15,1
176,14,182,1
177,14,160,1
178,14,84,1
179,14,412,1
180,14,531,1
181,14,363,1
182,14,69,1
183,14,519,1
184,14,17,1
185,14,346,1
186,14,29,1
187,14,473,1
188,14,217,1
189,14,301,1
190,14,498,1
191,14,484,1
192,14,492,1
193,14,227,1
194,14,415,1
195,14,478,1
196,14,533,1
197,14,409,1
198,14,302,1
199,14,542,1
200,14,470,1
201,14,85,1
202,14,440,1
203,14,540,1
204,14,107,1
205,14,86,1
206,14,229,1
207,14,30,1
208,14,299,1
209,14,82,1
210,14,365,1
211,14,343,1
212,14,39,1
213,14,387,1
214,14,213,1
215,14,390,1
216,14,189,1
217,14,149,1
218,14,262,1
219,14,508,1
220,14,424,1
221,14,264,1
222,14,51,1
223,14,445,1
224,14,67,1
225,14,375,1
226,14,444,1
227,71,365,1
228,71,396,1
229,71,535,1
230,71,55,1
231,71,11,1
232,71,291,1
233,71,360,1
234,71,478,1
235,71,139,1
236,71,395,1
237,71,161,1
238,71,531,1
239,71,130,1
240,71,93,1
241,71,77,1
242,71,462,1
243,71,549,1
244,71,91,1
245,71,307,1
246,71,215,1
247,71,485,1
248,71,195,1
249,71,49,1
250,71,47,1
251,71,525,1
252,71,246,1
253,71,117,1
254,71,399,1
255,71,279,1
256,71,520,1
257,71,228,1
258,71,202,1
259,71,83,1
260,71,138,1
261,71,524,1
262,71,558,1
263,71,526,1
264,71,470,1
265,71,73,1
